Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Lake Nash Station: Snapshots of 2014,http://www.abc.net.au/local/photos/2014/12/22/4153153.htm,22/12/2014,http://www.abc.net.au/reslib/201412/r1371454_19348314.jpg,"The sun sets on another day on the land, overlooking the homestead at Lake Nash.",Copyright: ABC | Source: Contributed | Byline: Saul Goodwin,"Arts and Entertainment:Photography, Disasters and Accidents:Drought, Human Interest:People, Rural",ABC Western Queensland,QLD,Mount Isa,"fred hughes, sarah hughes, saul goodwin, lake nash station, cattle, photograph, image, photography, picture, drought, aboriginal community, aboriginie, Alpurrurulam, indigenous, Kennis Campbell, Georgie Whatmore, Ed Ross, Ian Campbell, Aaron Land, Harry Buckley, blythe moore, abc north west queensland, abc western queensland, isa, queensland, northern territory,",-20.7287,139.4897,http://www.abc.net.au/local/photos/2014/12/22/4153153-mediarss.xml, For many graziers 2014 has been an incredibly difficult year with the drought continuing its devastating grip on the land But despite the challenges the bush landscape continues to produce moments of breathtaking beauty Photographer Saul Goodwin spent some time at Lake Nash Station this year on the border of Queensland and the Northern Territory and snapped these compelling shots of life on the land Sarah said as they wrap up 2014 they have a skeleton crew on deck holding the fort until the rain rolls in We've been lucky to receive a few good storms  at the  end of November early December so we're off to a start at Lake Nash with a few dams already full and green shoots in some paddocks she said We're definitely optimistic and hoping for a wet Christmas  I rain dance a lot,"images/0003.png"
Summer rain brings hope to western Queensland farmers,http://www.abc.net.au/local/photos/2014/12/30/4155749.htm,30/12/2014,http://www.abc.net.au/reslib/201412/r1373322_19390815.jpg,"Talk to a farmer and they'll be quick to remind you a few inches of rain won't put the prolonged drought to an end. But recent rain has seen green 'pick' spread throughout western Queensland and, in some cases, dry creek beds are running for the first time in years.",Copyright: AAP | Source: Used with permission | Byline: Marie Bright,"Disasters and Accidents:Drought, Environment, Rural, Weather",ABC Southern Queensland,QLD,Surat,"drought, rain, creek, dry, surat, queensland, water,",-27.1545,149.0669,http://www.abc.net.au/local/photos/2014/12/30/4155749-mediarss.xml, Many parts of the sunshine state have been drought declared for more than a year but recent rain has seen some dry creek beds start to flow again We live from one rain to the next she said It something you learn to manage over the years And it amazing to watch and listen to the water It is the sound of life; the lifeblood of the country Marie says rain was at the top of everyone Christmas wish list It hasn't broken the drought by any means but it gives a bit of hope she said Share your rain photos with ABC Southern Qld via Twitter,"images/0004.png"
Christmas care packages give cheer to drought-stricken western Queensland,http://www.abc.net.au/local/photos/2014/12/23/4153996.htm,23/12/2014,http://www.abc.net.au/reslib/201412/r1372113_19364423.JPG,Catholic priest Matthew Moloney with freight company owner Jenny Wyton and Longreach Rotary member Ed Warren.,Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Community and Society:Charities and Community Organisations, Disasters and Accidents:Drought, Human Interest:People, Rural",ABC Western Queensland,QLD,Longreach,"jenny wyton, ed warren, father matthew moloney, mount isa care packages, longreach rotary, St Brigid's Catholic Parish in Longreach, longreach freight, care packages, christmas ham, donations, drought, drought stricken properties, blythe moore, abc western queensland, rural report, country hour,",-23.3445,144.3475,http://www.abc.net.au/local/photos/2014/12/23/4153996-mediarss.xml, Donated Christmas hams and boxes of goods have been delivered to countless properties in western Queensland in recent weeks to provide some cheer amidst the drought A lot of people are very grateful for it she said I've seen them open the packages and dive in and say this would be good for Sue and this would be good for John and other people are very embarrassed to receive a package like that saying we don't really need this we're doing alright Mrs Wyton says volunteering to take the packages was an easy decision I depend on those people on the properties for our living she said If we don't look after them and make sure that they're still there next year we won't have anything to cart at all The packages have been donated from various groups including St Brigid Catholic Parish in Longreach and Mount Isa Care Packages Longreach Rotary has also done its bit by donating nearly 300 Christmas hams Longreach Rotary member Ed Warren says they wanted to give something useful to property owners A Christmas ham seems to be one of the must do things when organising things for Christmas I know myself a ham at Christmas is something special and it does go a long way he said It lasts a long time too it something that is very useful when you're putting together meals and trying to feed people it just something that we thought would be appreciated by families Mr Warren says Longreach Rotary in conjunction with the Pioneer Valley Rotary Club north of Mackay and charity Aussie Helpers has also donated thousands of bales of hay to properties across western Queensland in recent months Outback Queensland feeling the pinch this Christmas Father Matthew Moloney from St Brigid Catholic Parish in Longreach says this will not be an extravagant Christmas for many people in western Queensland I know a lot of people are staying in the area and looking after their places and stock what stock they have left he said They're gathering in their community for their Christmas celebrations so that a really important thing Father Moloney says while some parts of western Queensland have recently received a small amount of rain it is far from enough He says the care packages from the church are simply intended to give people a small boost So many people still haven't had any rain or it been very very patchy so we're just trying to bring a bit of cheer and bring a smile to some of the faces of people who are doing it tough he said Certainly some people have experienced a little bit of rain to the east of  Longreach  around Barcaldine Blackall Tambo down that area they've experienced some rain It been patchy but they've had some good falls so there a bit of hope down there Father Moloney says the parish has filled its care packages with locally bought products so that people in town can also receive some of the benefit,"images/0012.png"
Christmas spirit lives on for outback Queensland family despite drought,http://www.abc.net.au/local/photos/2014/12/17/4150730.htm,17/12/2014,http://www.abc.net.au/reslib/201412/r1369973_19316990.JPG,"James Walker and his wife Manny with their three children Sophia, Chloe and baby James at the entrance to their cattle property.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Disasters and Accidents:Drought, Human Interest:People, Rural,",ABC Western Queensland,QLD,Longreach,"james walker, manny walker, christmas tree, camden park, hay, destocking, longreach, drought, blythe moore, abc western queensland, abc rural,",-23.0445,144.7475,http://www.abc.net.au/local/photos/2014/12/17/4150730-mediarss.xml, As one of the worst droughts on record continues its crippling hold on much of Queensland one outback family is refusing to let the devastating conditions destroy their Christmas spirit This year he has completely destocked his property of cattle and has almost no hay left - except for a single bale he has saved for this annual tradition I just wanted to put it up this year because it pretty tough going out here for a few people so it good to see something a bit different on the skyline he said Mr Walker says he felt it was important to continue with his tree tradition to give people a morale boost at the end of a difficult year It turned into a sort of community thing he said People have been decorating it and scattering lollies around it - we don't know who - and some people have put letters and cards on there saying Merry Christmas In the absence of hay Mr Walker used some old farm equipment to form the base of the tree We built it out of an old poly spinner he said The old poly spinner done about 70 kilometres of poly and we're still using it  it spins when the kids sit on it so it sort of like a merry-go-round Mr Walker property Camden Park is in the drought-declared shire of Longreach western Queensland He remains optimistic about the potential for rain over summer Hopefully before Christmas we can crack a few storms and get a bit more cheer he said We're thinking of having a Christmas tree decorating and rain dance party out here  hopefully we can attract a bit of rain Eighty per cent of Queensland is still drought declared,"images/0018.png"
Step inside outback Queenslandﾒs best pub of 2014,http://www.abc.net.au/local/photos/2014/12/17/4150464.htm,17/12/2014,http://www.abc.net.au/reslib/201412/r1369784_19312893.JPG,"Ian and Marilyn Simpson have run the local pub in Windorah, south-west Queensland, for almost two decades.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Business, Economics and Finance:Small Business, Disasters and Accidents:Drought, Human Interest:People, Rural",ABC Western Queensland,QLD,Windorah,"ian simpson, marilyn simpson, windorah, western star hotel, pub, best outback queensland pub, outback queensland tourism awards, blythe moore, abc western queensland, drought,",-25.0234,142.6554,http://www.abc.net.au/local/photos/2014/12/17/4150464-mediarss.xml, The pub in the tiny town of Windorah in remote south-west Queensland has been part of Marilyn Simpson life since the day she was born Her great grandparents bought the place in the early 1900s and it has been owned by relatives ever since She says her family long-time connection to the bush watering hole made the win even sweeter when it was named the best pub in outback Queensland for 2014 After that it was owned by her grandparents then her uncle until she and her husband Ian bought it 19 years ago Not only is the pub the place she has lived and worked for two decades but it is also home to many fond childhood memories I was reared right next door she said Marilyn says the establishment has changed dramatically since her early life It totally different to when I was a kid back then you totally survived off drovers and the people on the land she said  Then  the properties that got smaller the staff aren't there anymore so you do have to change to survive She says these days many more tourists than drovers walk through the front door but it is still an important place for local people on the land to gather - particularly during times of drought I'd like to think that when they come to the pub it  gives  them relief to chat to someone else to see other people to meet up and to try and forget about it for the short period of time she said This year the Windorah pub was named the best pub in outback Queensland at the Outback Queensland Tourism Awards Marilyn says the win was a great reward for the hard work she and her husband have put into building a friendly atmosphere at the pub We are proud of our little pub and we do get a lot of positive feedback from it she said It was special for us but it was also special for Windorah; the pub can't be without Windorah and Windorah needs the pub The pub is the hub of town in all little small towns because it where people have a bit of company a chat and just get away It the only social aspect especially for the township in the quieter time - which is our time now - it where everyone meets up and has a yarn and has a good time,"images/0026.png"
Colourful business provides escape from grim reality of drought,http://www.abc.net.au/local/photos/2014/12/15/4148813.htm,15/12/2014,http://www.abc.net.au/reslib/201412/r1368798_19291245.JPG,"Sherilee Honnery spends her workdays surrounded by vibrant colours before she returns home each afternoon to her drought-stricken property just outside of Hughenden, in north-west Queensland.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Arts and Entertainment:Design:Fashion, Business, Economics and Finance:Small Business, Disasters and Accidents:Drought, Human Interest:People",ABC Western Queensland,QLD,Hughenden,"sherilee honnery, millinery, hats, hat, head piece, fascinator, Eelireh's, small business, drought, hughenden, country races, flinders shire council, blythe moore, abc western queensland, abc north west queensland",-20.8455,144.1992,http://www.abc.net.au/local/photos/2014/12/15/4148813-mediarss.xml, Many people who live on the land could probably not imagine turning their back on a full-time wage in the middle of a drought but milliner Sherilee Honnery says it was a chance she had to take Sherilee who owns a grazing property with her husband near Hughenden in north-west Queensland quit her permanent job with the local council to open a shop selling her unique headpieces 18 months ago She says the colourful business provides a haven from the harshness of drought It was probably not the best time to buy in a drought and I'm certainly not going to be a millionaire by any means but I tell you what I'm a lot happier here she said I actually have my weekends back and my night times back except for about six weeks before Melbourne Cup because that was a bit stressful - I had headpieces everywhere going all over Australia Sherilee started making headpieces more than a decade ago but says she only became serious about millinery as a potential business venture five years ago When a small shop became available in Hughenden 18 months ago she weighed up the risk and decided to go for it  Making the decision  was more difficult than anyone will ever really know until you do it yourself she said It is a really big step because you do have that security of that full-time job; I'm really lucky to have a husband who backed me all the way and likes to see I'm using my creativity She says despite the drought many country women are still buying headpieces to wear to country races - a trend that helps her business survive Everyone keeps on going with that  although  a lot are questioning whether they can spoil themselves she said We live on the land as well so we understand that side of life Sherilee says she considers herself very lucky to be able to escape the difficulties of the land each day to run her business in town We've had a lot of things to handle in the last few years we don't have much green grass well we don't have any green grass at home like everybody else she said  The shop  is a bit of a haven it an escape and then it a harsh reality to go home in the afternoon But it a good reality as well because it exactly that - it is reality and it life and it what we live and that what we like about it,"images/0034.png"
Holy men spread Christmas message on outback Queensland road trip,http://www.abc.net.au/local/photos/2014/12/11/4146723.htm,11/12/2014,http://www.abc.net.au/reslib/201412/r1367479_19264296.JPG,"Catholic priest for St Maryﾒs Parish in Charleville Peter Doohan, with the Uniting Churchﾒs remote area patrol minister for Frontier Services, Reverend John Case.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Community and Society:Religion and Beliefs, Community and Society:Religion and Beliefs:Catholic, Community and Society:Religion and Beliefs:Christianity, Disasters and Accidents:Drought",ABC Western Queensland,QLD,Windorah,"father peter doohan, reverend john case, uniting church, frontier services, st mary's parish, catholic church, christmas service, drought, allen hubbard, galway downs, maureen scott, moothandella station, windorah, quilpie, eromanga, toompine, abc western queensland, blythe moore, paula tapiolas,",-25.5234,142.2554,http://www.abc.net.au/local/photos/2014/12/11/4146723-mediarss.xml, Their churches might have their differences but when it comes to spreading the Christmas message Catholic priest Peter Doohan and Uniting Church reverend John Case are on the same path The two men are on an outback road trip this week delivering pre-Christmas services to tiny towns in western Queensland Reverend Case started this tradition 13 years ago through his work as a remote area patrol minister for Frontier Services before Father Doohan jumped on board almost a decade ago Both say despite the differences in their churches they are great mates We talk about lots of things ranging from the cricket to occasionally some theology  but  not too much Reverend Case said But we get on really well and just have general conversations as we travel This week they have delivered services at Quilpie Eromanga Windorah and Toompine This year they have also been joined on the road by Anglican priest Jeff Reeder who has come along from Brisbane to see what the men do on their Christmas road trip Father Reeder says having ministers of different denominations on the road together would never happen in a city He says it is a wonderful thing to see At the end of the day we're Christ team and we've all got different positions to play but we're all on the one team Father Reeder said Christmas services at end of tough year The road trip comes at the end of a tough year for many people on the land in outback Queensland Reverend Case says the drought has been a regular topic of conversation this week I think most people are fairly stoic and know that drought a part of life out here but some have got to the point where they're at the end of their tether Reverend Case said Some are saying we've had enough we need to get out and others are saying we're going to beat this thing Father Doohan says there has never been a more important time to reach out to people I think that important because what they need is to have their spirits lifted they know that we are concerned about them if we travel all this way out to do a church service he said It lifts the spirits which is basically what we're about Allen Hubbard from Galway Downs attended the service in Windorah this week and says it means a lot that the men have made such an effort to visit the area They've come from over a 1000 kilometres to come here it shows that they are at least concerned and interested in you Mr Hubbard said It good to know that somebody knows you're a part of society and has got you in mind and is prepared to make an effort to add a bit of hope to your life Maureen Scott lives on Moothandella Station near Windorah and says the Christmas services provide a morale boost to locals You get to see all the little kids in town having a ball and enjoying the sing along it lifts your spirits definitely she said End of an era for Christmas road trips This week marks the closing of a chapter for Reverend Case After 13 years this is his last Christmas road trip before he retires I look forward to them every year it an opportunity to catch up with people I mightn't get to see during the year Reverend Case said So it a highlight of the patrol and of the year for me and I'm going to miss them,"images/0044.png"
Crowds flock to outback races despite drought,http://www.abc.net.au/local/photos/2014/12/08/4144152.htm,8/12/2014,http://www.abc.net.au/reslib/201412/r1365935_19231732.JPG,Cameras were at the ready as horses thundered towards the finish line at Corfieldﾒs annual race meet in August.,Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Disasters and Accidents:Drought, Human Interest:People, Rural, Sport:Horse Racing",ABC Western Queensland,QLD,Longreach,"longreach jockey club, rob luck, president, crowds, numbers, drought, fashions on the field, popularity, country racing season 2014, corfield, aramac, mount isa, blackall, barcaldine, tambo, prairie, angie lindsay, charlie prow, blythe moore, heather hale, abc western queensland",-23.3445,144.0475,http://www.abc.net.au/local/photos/2014/12/08/4144152-mediarss.xml, As outback Queensland struggles through one of its worst droughts on record you could be forgiven for thinking that having a day out might be low on the priority list for many people in the region When it comes to country race meets it appears the opposite is the case He says despite the drought country race meets are seeing a growth in crowds at the track The overall trend that I'm seeing is that country racing is again on that upward spiral and people are really enjoying a day at the races Mr Luck said They're prepared to just splurge that little bit on that occasion but they're picking their time to do it and they're supporting their local community Because they can see that in supporting their community that injecting a little bit more into the economy He said racing is an area that has traditionally thrived in times of crisis If you go back to the Great Depression and the era of that race numbers boomed on race courses he said That was the year of Phar Lap and people saw the opportunity to back a sure thing I'm not saying that would be the case today because we don't have that many sure things apart from the Black Caviars in recent times  But  people can see a day at the races as that sense of enjoyment that shot in the arm things are bad but they can go out and relax and enjoy for a little bit and come back and face the everyday problems we have with the drought situation Fashions on the field has been a particular growth area this season according to Mr Luck I know that really increased this year I'm sure the shops in the different towns have really enjoyed the impact of that whether it be the clothes and the fascinators that are being bought he said I think anything that adds to the circular flow of income adds to the benefit The outback Queensland racing season wrapped up on the weekend with the region last meet of the year in Aramac,"images/0054.png"
Drought Call-back to provide a familiar voice in tough times,http://www.abc.net.au/local/photos/2014/11/19/4131714.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1357874_19067346.jpg,A dry river bed near Mitchell. Drought Call-back has been set up to provide support to drought-affected communities.,Copyright: ABC | Source: Used with permission | Byline: Jude Roberts,"Disasters and Accidents, Disasters and Accidents:Drought, Health, Health:Mental Health",ABC Wide Bay Qld,QLD,Bundaberg,"news, queensland, drought, bundaberg, lifeline, drought call-back, drought, destocking, crisis, suicide, mental health",-24.7683,152.8459,http://www.abc.net.au/local/photos/2014/11/19/4131714-mediarss.xml, In communities across Queensland the drought continues to bite with almost 80 per cent of the state drought declared Stock are dying due to lack of water; it is enough to make anyone on the land break In moments of crisis services like Lifeline (13 11 14) run by Uniting Care Community in Queensland are available But it a one-off The person you speak to is lost in a sea of call centre cubicles To combat the issue the Bundaberg branch of Lifeline is launching a pilot call-back service to provide a familiar voice to people in crisis on the land We have got the Lifeline telephone counselling support service and people are ringing in; over 8500 people called from drought-affected communities between May and September this year and that was before it became ever drier said Angela Williams from Drought Call-back So we know people are ringing in and wanting support Angela says previously many of the counsellors have wanted to contact people back to provide a follow-up but they are unable to due to the strict confidentiality of the service Drought Call-back will be integrated into the existing Lifeline service in Queensland so a call-back can be arranged with the consent of the caller We know there are a lot of people out there feeling alone We do know that they are a bit hesitant to talk to a neighbour or someone else in their community Angela said Sometimes it is difficult to burden other people that you may feel are actually worse off than yourself So this is a chance to do that anonymously and then actually get that support both for yourself or your family members That is another important part; it not just the landholder it also the family unit the extended family and the broader community Businesses for example that are doing it tough in those communities as well Like catching up with a mate There are two ways Drought Call-back can be accessed by the public It can be a call-back after a referral from Lifeline (13 11 14) or anyone can call the service direct on 1800 54 33 54 The service is set to run until at least the middle of next year It is based in Bundaberg a city in Queensland which has been through a number of natural disasters in recent years Angela believes this makes the local operators uniquely qualified for the job  Bundaberg  has done it tough times over the last few years as well so I think we've got that empathy we've the capability and the skills and expertise in regional Queensland and we believe that we can actually show that she said People can hear that on the phone They can hear that empathy when they call so we wanted it out of  Bundaberg  rather than a metropolitan area It is a drought now and eventually and hopefully it will break soon But there will be other crises in Queensland as well and we know that we will have to be able to provide a call-back service into the future after other events This is our first go and we just felt that people were in need If you need help or know someone who does contact Lifeline on 13 11 14 To contact the Drought Call-back Service directly call 1800 54 33 54,"images/0122.png"
How to create a garden oasis in a drought,http://www.abc.net.au/local/photos/2014/10/17/4109013.htm,17/10/2014,http://www.abc.net.au/reslib/201410/r1343103_18760128.jpg,Gardening guru Tom Wyatt says there's a number of steps you can take to ensure a healthy green space when dealing with drought conditions.,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Disasters and Accidents:Drought, Environment:Water Management, Environment:Water Supply, Lifestyle and Leisure:Gardening",ABC Capricornia,QLD,Rockhampton,"gardening guru Tom Wyatt, drought, gardening in drought, saving water",-23.7782,150.2106,http://www.abc.net.au/local/photos/2014/10/17/4109013-mediarss.xml, With almost 80 per cent of Queensland officially in drought gardening guru Tom Wyatt shares some tips to create a green oasis in your parched backyard And it does not involve a rain dance He says a few simple changes in the garden can make water go a long way Grab a piece of hessian and wrap the end of the hose in it and then turn the tap on he said That slows down the flow of water over the ground and you only have to water a plant for half an hour and that will probably last it seven to 10 days The secret to saving water Tom says creating humus in the soil cuts down the amount gardeners need to water because it is Mother Nature slow-release water supply The only way you can get it is by using heaps of organic matter as a mulch he said Paper is the best soil conditioner Paper is a wonderful mulch in maintaining surface soil moisture or grassy hay or sugarcane hay any type of that material but keep applying it every month or every couple of months Raise those garden beds Tom says building raised garden beds with plenty of organic matter will help retain water Say you lived in the west and you're on a cattle property go to where the cattle yards are the most intense and there the chopped manure he said If that mixed up with two parts of sand to one of that and put into a raised garden bed that holds moisture over a long period of time and that where you can grow your intermediate plants whether they be flowers or vegetables He says growers can be guaranteed a flourishing garden if they plant tuber vegetables which grow underground and thrive in hot summer climates Tom says grevilleas are also a popular native that will tolerate real drought and wander on the dry side life Using the garden for your sweat session Tom says if you're needing to relax after a busy day in the paddock jump into the garden There people who live in the country who are the salt of the earth but they go through stressful times like people in the city go through stressful times and some people like putting themselves through more stress like jogging up a road and sweating or going to a gym and stressing out he laughed But the best gym in the world where you exercise all the muscles of your body evenly is in the garden and that where you get spiritual enhancement of the mind and that where you go to get peaceful interaction with Mother Nature He says gardens are a great escape from Queensland hot summers If you want to rest in a place that very cool very soothing you go where there higher humidity he said All green plants sweat so they're giving off all this moisture to the atmosphere and if you're in that range it will lower your temperature by three degrees and make you feel like you're somewhere on a deserted island,"images/0220.png"
