Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Meet the man behind the NYE fireworks display,http://www.abc.net.au/local/photos/2014/12/17/4150431.htm,17/12/2014,http://www.abc.net.au/reslib/201412/r1369777_19312546.jpg,Craig will be setting off fireworks at Daydream Island this New Year's using his GPS barge.,Copyright: ABC | Source: Daniel Battley | Byline:,"Arts and Entertainment, Arts and Entertainment:Design, Arts and Entertainment:Digital/Multimedia, Arts and Entertainment:Events",ABC Tropical Queensland,QLD,Whitsundays,"fireworks, whitsundays, mackay, airlie beach, daydream island, pyrotechnician, new years",-20.278,148.915,http://www.abc.net.au/local/photos/2014/12/17/4150431-mediarss.xml, Standing on the water edge at Shute Harbour Craig Tatnell looks like a young boy playing with a remote control boat Except he doesn't tinker with toys he prefers playing with fireworks One of those destinations is Daydream Island in the Whitsundays which brings us back to the water edge and why Craig has a remote control in his hand I am delivering a firing platform for fireworks Craig said I built this GPS barge and we are going to send it over to Daydream Island On New Year we are going to load our fireworks onto it push it down a ramp on Daydream Island press a button on the remote control which will tell it to go to a predetermined GPS position and then we can fire the fireworks Judging by the excitement on Craig face he is clearly chuffed with the new design Lighting up Queensland sky Craig isn't the only one in his family obsessed with bright lights and loud noises and says his two daughters are licensed pyrotechnicians For New Year he says they will help him set up fireworks on Hayman Island Airlie Beach Palm Island and Bundaberg We will have 18 people on deck helping with fireworks out of those numbers nine will be licensed and  the  others will be firework assistants he said It just a great gig and people often say Oh you've got to work for New Year but it not like that When there is a crowd of 10000 people and we put on the fireworks display at midnight and everybody claps and cheers we are having as good of time as anybody in that crowd And Craig adds that certaintly sometime after midnight they might have a beer Different types of fireworks Craig says that preparations for the big event started three months ago First he travelled to China with their main supplier to design fireworks and from there they tagged onto the end of large orders that went into Europe and the US making the designs more cost efficient He says firework types are many and varied and their colours are derived from metal sulphides There are only a couple of different formats to firing a firework they generally consist of a lift charge and a secondary charge Craig explained One propels the secondary charge into the air and it goes up and everybody watches it and the crowd goes ooooh and then it explodes in the air and they go ahhhh Designing a fireworks display Craig says whether you're planning an outdoor or indoor event there are fireworks for every occasion There is a firework that when it explodes it explodes into a big heart shape we get a lot of those requested for weddings and it usually end in the bride crying Craig said When it comes to designing a musically synchronised display Craig says they use a software program that does it for them In the end the program will tell us what fireworks we need where they need to be set up and what other equipment we need it very good he said Craig says he encourages as many people as possible to get off the couch and watch a fireworks display this New Year Eve Because midnight isn't that late on New Year he joked,"images/0022.png"
Endangered species: scientist discovers the cause of the decline of the technicolour Gouldian finch,http://www.abc.net.au/local/photos/2014/12/09/4145484.htm,9/12/2014,http://www.abc.net.au/reslib/201409/r1327347_18440432.jpg,Bushfire can have a devestating effect on the grass seeds Gouldian finches rely on for food. (file),Copyright: ABC | Source: Sarah Pryke | Byline:,"Disasters and Accidents:Fires, Environment:Environmental Management, Science and Technology:Animals:Birds,",ABC Kimberley WA,WA,Fitzroy Crossing,gouldian finch bird conservation management Kimberley: Mornings mornington marion downs sarah legge bushfire wildfire burn controlled,-18.1985,125.5654,http://www.abc.net.au/local/photos/2014/12/09/4145484-mediarss.xml, One of the world most colourful birds has been rapidly disappearing from across northern Australia for decades but now a scientist has discovered what killing Gouldian finches and shown the trend can be reversed When we first arrived at Mornington we really needed to find out what was making these birds tick and what we could do to make conditions better for them she told Vanessa Mills on ABC Kimberley Local Radio As recently as 50 to 100 years ago large flocks of the birds formed moving rainbows across Northern Australia People would report seeing them in flocks of thousands Now if you imagine the colours of one bird and then multiply that up by thousands it must have been an absolutely spectacular sight Dr Legge said But around 40 years ago people started to notice Gouldian finches were disappearing rapidly The large flocks are gone and the finch is presently listed as an endangered species Now they're only found usually in rather small groups of four to six birds and mostly in the Kimberley some in the NT and very rare sightings in Queensland So it quite a dramatic reduction said Dr Legge Where have all the finches gone? Trapping for the pet industry introduced predators and disease are all suspected as possible causes for the decline As a specialist seed eater and tree-hollow nester fire is also suspected as part of the Gouldian finch problems Dr Legge wanted to determine once and for all exactly what role fire was playing Instead of just simply going out and counting birds in different areas we used quite a novel approach We would catch birds and then give them a full physical she said By measuring the health of Gouldian finches and relating that to the recent fire history Dr Legge discovered that the birds were very sensitive to the impacts fires were having on a critical food plant The birds rely on a couple of species of spinifex for seed at that changeover  time  from the late dry to the early wet Those particular spinifex species will only produce seed if they've not been burnt frequently So they need two or three years without fire before the seed will actually come out on the flower stalks she said This meant that in areas where grasses had been recently burnt there was little seed and the finches were running out of food What we found is that when birds are living in areas with frequent fire they lost a lot of condition a lot of health in that December-January-February period to the point where many individuals were dying Dr Legge said Applied science The importance of Dr Legge work in revealing fire role in the decline of Gouldian finches was brought home when the impact was reversed by careful management of fire across a huge area of the Central Kimberley We've been working with our neighbours for the past seven or eight years particularly in a program called Ecofire designed to change fire management across big landscapes said Dr Legge An increase in the numbers of birds has been the satisfying culmination of Dr Legge work Not only were we able to find a really important cause for the decline in Gouldians by applying the right management intervention we were then able to reverse the problem So it was a very powerful bit of science and very useful for our management,"images/0056.png"
Friday Rewind: Mt Gambier Christmas parade - fires on floats and the ﾑladiesﾒ of OGR,http://www.abc.net.au/local/photos/2014/11/14/4128353.htm,14/11/2014,http://www.abc.net.au/reslib/201411/r1355377_19014578.jpg,"Bikinis, wigs and bare feet: 1962 float entry by OG Roberts amuses spectators.",Copyright: Audience submitted | Source: Supplied | Byline: Stan Moody Collection,"Arts and Entertainment, Arts and Entertainment:Events, Community and Society:History, Human Interest",ABC South East SA,SA,Mount Gambier,"history, mount gambier, christmas parade, pageant, 2014, santa, father christmas, commercial street, blue lake brass band festival, mount gambier city council, fire, 1979",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/11/14/4128353-mediarss.xml, It a classic shot symbolic of a time when health and safety regulations were unheard of and local businessmen were more than happy to embrace their inner lady all in the name of Christmas cheer The long-running parade celebrating its 55th year this Saturday has continued to flourish through the decades despite a few notable hits and misses In 1979 a near disaster occurred when a giant crepe paper snowman caught fire and caused minor burns to six children sitting on a float Eyewitness accounts in the Border Watch reported seeing a mass of flames as a suspected cigarette caused the flammable creation to go up just before the float began to move Although more than 30000 spectators were gathered in Commercial Street awaiting the parade start not one image of the fire has come to light But there are photos of the 1969 Christmas Parade Queen Nance Mitchell wearing a flowing fur cape and ornate crown waving regally to the crowd atop her float the now outdated tradition hugely popular with the crowd of the times So many half-naked men - absolute gold Library Assistant Danni Reade had the task of collating all the old images and said the response from the community was overwhelming One of her favourite photographs is an image showing the beginning of the 1968 parade the comparisons between past and present most evident in the people casually standing on rooftops and children perched precariously with their legs dangling off the lip of tall buildings Ms Reade said it speaks volumes about the popularity of the parade In so many of our old photos there are people clambering on roofs and in window frames because they just wanted the best spot to see the parade she said Also of note said Ms Reade was the racy attire on some of the city most prominent businessmen in some of the shots So many half-naked men - absolute gold she said The blokes just loved a chance to dress up and get into bikinis dresses with wigs and full makeup The photo in question shows off the men of Mount Gambier car business OG Roberts where 88-year-old Kevin Harris used to work as the panel shop manager in the 1960s Pretty scanty he declared with a smile Imagine those fellas going into the pub toilets afterwards Mr Harris has seen more than a few parades in his time and said he still remembers the inaugural event There were some beautiful floats in there he said Those were the good old days One thing that has changed through the years is the rigorous safety measures employed by Mount Gambier City Council to keep those on the floats and those watching the floats safer The 1979 fire was to have immense safety repercussions for further parades Council now insists that all floats must have a fire extinguisher and first aid kit and participants also sign an indemnity waiver which includes injury from falling physical exertion and weather extremes It used to be OK to for Santa and those atop floats to pitch lollies headfirst at delighted children and unsuspecting adults now participants are encouraged to gently hand them over from the sidelines Water pistols used to be a fun way to cool off the crowd in the November heat but they've also become a victim of occupational health and safety regulations Other entry form small print includes no demonstrations or making a wag of yourself in front of the official party or cameras But the most important rule is there is only one Father Christmas No one else is permitted to wear the famous red outfit but Santa himself on the last float his appearance heralded by cries of anta SANTA! long before he can be seen and possibly the one Christmas tradition which will remain untouched by time or regulation The Mount Gambier Christmas parade and Blue Lake Brass Band Festival will begin at 11am on November 15 and the exhibition will run during business hours at the Main Corner until November 21 ABC South East is featuring a great history picture each week in our Friday Rewind segment You can contribute by emailing hillkate@abcnetau</strong>,"images/0158.png"
Curl hangs up his hat one last time,http://www.abc.net.au/local/photos/2014/11/12/4126796.htm,12/11/2014,http://www.abc.net.au/reslib/201411/r1354675_18999972.jpg,Childers Fire Captain Col Santacaterina hangs up his helmet after his over 35 year career in the fire service.,Copyright: ABC | Source: ABC Wide Bay | Byline: Scott Lamond,"Disasters and Accidents, Disasters and Accidents:Emergency Incidents, Disasters and Accidents:Fires, Human Interest",ABC Wide Bay Qld,QLD,Childers,"news, col santacaterina, childers, backpaers fire, queensland fire service, retirement",-25.2387,152.2776,http://www.abc.net.au/local/photos/2014/11/12/4126796-mediarss.xml, Across Queensland it does not matter if you are the lowest ranked officer or the fire commissioner when you turn 65 years old it is time to retire from the Queensland Fire and Emergency Service This is the urban brigade not the rural brigade; you have to retire and a lot of people don't like it but that the fact and it the same for everybody he said It a young man job and that just the way it is Mr Santacaterina or Curl as everybody knows him was born and bred in the small town of Childers He joined the fire service just over 35 years ago and has seen a huge change in the way fires are fought Years ago when I first started we used to go out fighting fires in shorts and a t-shirt he said with a laugh We used to go out years ago no radio no one knew where we were They could just see the smoke on the horizon and said that where they must be It wasn't workplace health and safety oriented I suppose but over the years it sort of got a bit better We'll probably look at it in the next 20 years and think how antiquated the gear was in 2014 Worst night of his life One night in June 2000 Curl pager went off to call him to a job that he now remembers as one of the worst night of his life - the Palace Backpackers Hostel fire where 15 people died He was one of the first on the scene of the fire and knew straight away it was going to be bad I just knew the time was against us because just the way the smoke was coming out I thought this is going to end badly and it did he said There were flames and smoke everywhere and just by the look of the smoke I knew we were going to be in trouble because it was just like it was going to be a flash-up shortly and we had to get as many people out as we could A flash-up is a build up of fire in a room that burns so much it starves itself of oxygen When air is reintroduced it can cause an explosion It can just about blow a building apart Mr Santacaterina said It can be scary it was going to happen I just didn't know when Mr Santacaterina was one of only four Childers firies on the scene; Bundaberg fire crews were delayed due to the heavy fog that evening Four of us turned up for the first call and we all had about 10 jobs each he said We could have lost a lot more I think we were lucky to get away with what we did It was a job it happened It not out of my mind it in the back of my mind but you just push it aside and just get on That was a busy week that week I think we had another two house fires and we had a bad crash on the old Isis River bridge We were that busy we didn't have time to sit back and feel sorry for ourselves Silver linings Mr Santacaterina says there is no getting around that fact that when the fire service is called out it means someone is in trouble But he takes with him some fun memories as well including helping one elderly lady put up her Christmas decorations So we put them up and then she said would you like a rum laced  rum ball  and holy hell! he said We just sat there eating those for a while; we had to leave one fella to drive because I think we were all over the limit had to have been,"images/0171.png"
Latrobe Valley parents call for election candidates to act for next generation,http://www.abc.net.au/local/photos/2014/11/05/4121911.htm,5/11/2014,http://www.abc.net.au/reslib/201411/r1351548_18935601.JPG,"Craig Gittos, with his sons Liam and Blake, who said he's ready to leave if the Hazelwood mine catches fire again.",Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Industry:Coal, Disasters and Accidents:Fires",ABC Gippsland Vic,VIC,Morwell,abc gippsland hazelwood mine fire morwell election victoria labor the greens coalition independent,-38.2371,146.3935,http://www.abc.net.au/local/photos/2014/11/05/4121911-mediarss.xml, Parents in the Latrobe Valley are calling on candidates in the Victorian Election to ensure the rehabilitation of the Hazelwood mine after the fire of earlier this year and to allocate more resources to any future health effects on the next generation It on days when the temperature creeps up that Ms McMahon thinks back to the Hazelwood mine fire and smoke and worry sets in What going to happen in 10 15 20 years time? That what concerns me and everyone actually Ms McMahon said During the mine fire she and her family were evacuated four times Her eldest son suffers from asthma which worsened from the smoke and ash that blanketed the Latrobe Valley for weeks afterwards Ms McMahon youngest son was assessed at a community health centre set up during the fire and was found to have high levels of carbon monoxide She said her children still show signs of stress from the event months after the smoke has cleared They're not seeing it like an adult; they see the smoke and they think their town is going to go Ms McMahon said From time to time she said her 10 year-old son still looks out the window and asks her is that fog or smoke? He constantly worried that  the mine  is going to catch on fire again she said He isn't the only one; Ms McMahon said she is considering moving if the mine catches fire once more I'm a bit paranoid that come this summer it going to flare up again and I'm more worried about  my kids  she said Ms McMahon said her vote in the upcoming election will depend on which candidate promises to hold the mine operators GDF Suez accountable for the fire and ongoing rehabilitation I just think  the mine operators have  got away with it once they'll get away with it again she said Across town in Morwell Craig Gittos is renovating his house while his wife and three kids are home for the holidays A thick layer of ash has built up on a pane of glass waiting to be installed There also ash in the roof of his house from the mine fire that he said he hasn't been able to clean out yet Everyone in his family apart from his wife has asthma which worsened during the mine fire Blake his 13 year-old son used to wake during the night with a blood nose which Mr Gittos put down to the smoggy atmosphere Mr Gittos kept his kids inside during the mine fire until they had to go to school at Hazelwood North Primary just east of where the mine fire was burning Every weekend his family went to Lakes Entrance to escape the smoke and ash As a football trainer Mr Gittos has seen the number of children playing football drop off after the fire They don't want to get out there if they're sick because of the ash he said His family was advised by a paediatrician to move out of town because of the health effects of the mine fire but Mr Gittos is reluctant to leave his job He said he wants to see election candidates who are dedicated to preventing the mine from catching fire again but who will also allocate more resources to the Latrobe Valley health sector to deal with any future health complaints If  the fire  happens again I will definitely think about packing up selling up and moving out of the Valley Mr Gittos said What the candidates are promising Coalition</strong> Current member for Morwell Russell Northe said there have been measures taken to ensure that another fire won't occur in the Hazelwood mine We have said to the mine operators that we will be seeking to amend their licences to ensure that by 2015 they indicate obligations surrounding fire suppression prevention and mitigation he said Things could have been done better during the mine fire that is reflective in the Board of Inquiry report One of the Inquiry recommendations was for a long-term health study which the Coalition Government has endorsed announcing that Monash University will lead the 20-year study Labor</strong> Labor candidate for the seat of Morwell Jadon Mintern said Labor would provide specialised face masks if there were any more fires at the mine and look at recruiting more respiratory specialists to the Latrobe Valley Mr Mintern said the recent changes to CFA fire regions would make it difficult for volunteer fire fighters to deal with any future flare-ups at the mine We don't want the mine fire to ever happen again but if it does first and foremost we need to respond a lot better One of the first priorities will have to be making sure that the changes that have been made in the CFA regions will not hinder their capacity to fight a mine fire he said Greens</strong> Daniel Caffrey Morwell candidate for The Greens said his party backs the current 20-year study into the health impacts of the mine fire He said in light of of an United Nations Intergovernmental Panel on Climate Change report  the Latrobe Valley must move away from coal mining Mine rehabilitation is going to be a top priority for The Greens We'd be looking at a transition away from digging any coal in the Valley at all that would ensure future generations don't have to suffer the ill effects that coal has produced in the past Mr Caffrey said Independent</strong> Tracie Lund the candidate elected in an open pre-selection contest organised by Latrobe Valley First said her priority is that the Hazelwood mine fire rehabilitation be accelerated The exposed coal faces of the open cut mines pose on ongoing threat to community safety The single most effective and only long-term solution to protect the community from mine fires is to rehabilitate the disused areas of the mines she said Ms Lund said that if she were elected she would ensure that other recommendations from the Hazelwood Mine Fire Inquiry such as a health advocate and health conservation zone for the Latrobe Valley would be implemented as soon as possible,"images/0181.png"
Wiluna Rangers put fire fighting skills to the test,http://www.abc.net.au/local/photos/2014/11/07/4124084.htm,7/11/2014,http://www.abc.net.au/reslib/201411/r1352974_18967381.jpg,The Matuwa Rangers help suppress a fire near Lorna Glen Station,Copyright: ABC | Source: Barry Hooper | Byline: Supplied,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Disasters and Accidents:Fires:Bushfire,",ABC Goldfields WA,WA,Wiluna,Bushfire Fire Matuwa Rangers Wiluna Remote Suppression Department of Parks and Wildlife Environment,-26.5934,120.2226,http://www.abc.net.au/local/photos/2014/11/07/4124084-mediarss.xml, In their first experience of fire fighting the Wiluna Rangers this week helped suppress a fire threatening a native wildlife enclosure near Lorna Glen But this week they had the opposite task of putting out flames when lightening caused a fire near the remote station Often remote bushfires are left to burn themselves out but in this instance a 1000ha native mammal reserve  as well as Carnegie Road and the Gunbarrel Highway was under threat Ranger coordinator with the Central Desert Native Fire Service Barry Hooper said the collaborative effort between the Rangers and DPaW saw the fire contained early this week There a lot of Spinifex out this way on Lorna Glen and Matuwa out to Wiluna so we do a lot of preventative type burning he said But this fire started from a lightning strike about a week ago and given the conditions out here these fires can burn for months if they don't get rain on them With DPaW we worked together formed a team and did some fire break construction and work through the night and were able to contain that fire on Monday Mr Hooper said the Rangers who are completing certificates two and three in conservation and land management were proud of their efforts The feedback given to me was that they felt they were part of a team and they learnt a lot from the experienced DPaW staff as well The fact that they did this burn three months ago to reduce the fuel levels and when the main fire hit that it virtually went out means they could see the value in the prescribed burning efforts There that sense of satisfaction that the preventative work was not done in vain They also like getting back on country and using fire as a tool that been part of their culture for hundreds of years Mr Hooper said the animal enclosure under threat was a high value asset that keeps native re-introduced species safe from wild cats and other predators but not fire The fire didn't enter the enclosure and none of the animals were threatened so it was a good result We worked very hard There are 15 men involved in the Wiluna Rangers and a female ranger program started this year with six women involved,"images/0182.png"
Old School Trades- Blacksmith,http://www.abc.net.au/local/photos/2014/11/07/4123724.htm,7/11/2014,http://www.abc.net.au/reslib/201411/r1352722_18961550.jpg,Phil Spark is based in Lithgow and has been blacksmithing for some 30 years.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Community and Society, Community and Society:Work,",ABC Central West NSW,NSW,Lithgow,"Old School Trades, job, employment, history, work, life, people, trades, apprenticeships, Orange, NSW, New South Wales, Australia, 2014, ABC, ABC Central West, ABC Western Plains, Robert Virtue, blacksmith, metal, coal, heat, fire, flame, State Mine, Lithgow",-33.4827,150.1357,http://www.abc.net.au/local/photos/2014/11/07/4123724-mediarss.xml, Phil Spark admits that being able to whack something with a hammer is one of the best things about being a blacksmith Nestled in the rugged hills around Lithgow in central west NSW is the almost-deserted State Mine The tower above the mine shaft still stands and large long workshops sit around the disused coal mine site In one of the old brick workshops Phil Spark holds a long bar of steel and thrusts it into a glowing pit of coke pieces Sparks flare-up and the noise of combustion fizzes and hisses Traditionally blacksmithing is about manipulating hot metal said Mr Spark with his prominent English accent The reason it is called a blacksmith is the metal is black as it cools Originally from northern England Mr Spark completed an engineering degree before moving to Australia in the 1980s where he fell in love with forging He since been blacksmithing for over 30 years and declares he in paradise Blacksmiths use a range of tools to do their work including forges (a heating pit reaching up to 1400 degrees Celsius) hammers anvils tongs power hammers and presses I use a fire to heat the metal- some people use gas forges- and then when the metal gets hot it gets softer and you can shape it said Mr Spark There are various sub-trades within blacksmithing  including  farriery industrial blacksmithing and decorative blacksmithing I suppose nowadays and probably in the old days you'd take on whatever work you could get really When welding became more common a lot of blacksmiths became fabricators The same workshop where Mr Spark is based at Lithgow used to be home to industrial blacksmiths during the mine heyday Up to 20 men reportedly worked there repairing the coal skips and horse shoes that were integral to life at the mine As a decorative blacksmith Mr Spark makes gates balustrades and sculptures To do so he has to finely craft the hot malleable steel into the shapes he wants A basic thing with hot metal is you can't touch it You hammer some things and then you use a shape (called a jig) to wrap the hot steel around It an interesting thing- the hotter it gets the softer the steel is If it gets up to close to white heat it incredibly soft but at white heat it starts to burn Even though the metal is softer when it hot it not like plasticine Mr Spark said most blacksmiths are quite strong but working in the trade is reliant on an understanding of simple physics principles like leverage Having worked as a blacksmith for over three decades Mr Spark said it a passion in his life I really like to make stuff I'm a bit of a controlled pyromaniac When it goes right it beautiful I don't have the temperament for carpentry or any of that fiddly stuff It good to just whack something with a hammer     Discover the trade of blacksmithing,"images/0184.png"
Firefighters climb to new heights for emergency rescues,http://www.abc.net.au/local/photos/2014/11/03/4120390.htm,3/11/2014,http://www.abc.net.au/reslib/201411/r1350535_18913839.JPG,"Technical rescue technician Wayne Bridgeman operates the Queensland Fire and Rescue Service elevated work platform, or cherry picker, at Cyclone Sunday from 39 metres up.",Copyright: ABC | Source: ABC Local | Byline: Kathleen Calderwood,"Disasters and Accidents:Cyclones, Disasters and Accidents:Emergency Incidents, Disasters and Accidents:Emergency Planning, Disasters and Accidents:Fires",ABC North Qld,QLD,Townsville,"fire fighter, Queensland Fire and Rescue, cherry picker, elevated work platform, cyclone season, storm season, cyclone sunday",-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/11/03/4120390-mediarss.xml, Technical rescue technician Wayne Bridgeman was driving the elevated work platform at Cyclone Sunday and also trains firefighters how to operate it He says the platform makes a lot of their work much safer The most challenging thing is getting it into position initially Mr Bridgeman said If your positioning is poor you'll think that you can reach the job that you need to do and you'll get to it and you can't reach it so then you've got to pack the whole thing up reposition again and you've wasted a lot of time Fire service ready for cyclone season The elevated work platform can also be used to evacuate people from tall buildings; the challenge is they have to climb down a ladder attached to the crane to reach the ground which can be as high as 40 metres I think giving them just a sense of reassurance when they come through the cage that everything going to be safe Mr Bridgeman said of calming people nerves in an emergency At the end of the day we'd put somebody on the ladder with them climbing with them and we'd try to get the ladder  on a less steeper angle If people are coming out of a dangerous situation and this is the way to go to get out I think you'll find a lot of people will go oh well I'd rather climb the ladder than stay here and put up with that but definately reassurance to them and just a kind word from us tends to calm a lot of people down Mr Bridgeman says fire season is at the front of their minds at the moment but they are also preparing for cyclone season Our motto if it flooded forget it (is) definately something that we always push with the community he said Most of the guys here we're swift water technicians and the last thing we want to be doing is going into the water in north Queensland to go and rescue somebody from a car that they shouldn't have been driving into that anyway Keep an eye on ABC Emergency this cyclone season for weather warnings and information,"images/0201.png"
In pictures: emergency services stage mock cyclone clean up,http://www.abc.net.au/local/photos/2014/10/31/4118921.htm,31/10/2014,http://www.abc.net.au/reslib/201410/r1349572_18895961.JPG,As part of Exercise Crater Hill the Army was tasked to help reinforce a fire break at the Greenvale train line fire break north of Townsville. 67 soldiers and eight rural firies were part of the exercise which covered a distance of about seven kilometres.,Copyright: ABC | Source: ABC Local | Byline: Kathleen Calderwood,"Defence and National Security:Defence Forces:Army, Disasters and Accidents:Cyclones, Disasters and Accidents:Emergency Incidents, Disasters and Accidents:Emergency Planning",ABC North Qld,QLD,Townsville,"army, rural fire service, firies, cyclone, training, preparation, fire, swift water, electrical, disaster",-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/10/31/4118921-mediarss.xml, The emergency services and Defence Force have been in training all this week in preparation for cyclone season While the Army brought the manpower the Rural Fire Brigade was coordinating the operation If it was a big incident we establish an incident control point like this one is here and from there all our teams are worked out and everyone is responded to the job Rangewood Rural Fire Brigade First Officer Jim Besgrove said And then a place like this would be receiving support from the regional operations centre in town,"images/0203.png"
How St Stephens rose from the ashes,http://www.abc.net.au/local/photos/2014/10/27/4115321.htm,27/10/2014,http://www.abc.net.au/reslib/201410/r1347314_18845252.jpg,"""I think it's wonderful it is still being used,"" architect Barry Whisson said. Originally built in 1883, the gothic designed building suffered major damage in 1989. ""Not too many architects get to redesign and rehash old buildings. I count it a privilege to have worked on it.""",Copyright: AAP | Source: ABC Southern Qld | Byline: Peter Gunders,"Arts and Entertainment:Design, Arts and Entertainment:Design:Architecture, Community and Society, Community and Society:Religion and Beliefs",ABC Southern Queensland,QLD,Toowoomba,st stephens toowoomba uniting church fire 25 years twenty five restoration photos barry whisson,-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/10/27/4115321-mediarss.xml, It has been 25 years since a fire gutted Toowoomba St Stephens Church The architect behind the restoration says it is important to keep buildings with oul Recently retired the architect also worked on the restoration of the Royal Bulls Head Inn in Drayton in 1975 This kind of work is fairly rare he said It good to make something good out of something old and decrepit,"images/0227.png"
