Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Construction well underway on 'awe-inspiring' Yeppen crossing,http://www.abc.net.au/local/photos/2014/12/04/4142510.htm,4/12/2014,http://www.abc.net.au/reslib/201412/r1364775_19208653.jpg,"A domestic aircraft passes by the Yeppen South Project piles. Almost 1,300 piles have been driven into the ground as part of the $296 million project.",Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Road Transport, Disasters and Accidents:Floods,",ABC Capricornia,QLD,Rockhampton,"Yeppen South Project, Yeppen, Rockhampton, floods, Department of Transport and Main Roads, construction",-23.3782,150.5106,http://www.abc.net.au/local/photos/2014/12/04/4142510-mediarss.xml, It will be the longest bridge on the Bruce Highway when it is completed and principal engineer Gavin Hill says it is awe-inspiring In 2011 major flooding cut roads around Rockhampton essentially splitting northern Queensland from its southern half But with the new road more than three metres above the original the project will prepare the Bruce Highway for a one-in-100-year flood event Mr Hill says there are nearly 1300 piles that will be driven into the ground They're very awe-inspiring standing up so close and realising they've got to go nearly 35 metres in length into the ground he said Mr Hill says they hope to complete the project by the beginning of 2016,"images/0002.png"
How to survive a thunderstorm,http://www.abc.net.au/local/photos/2014/12/08/4144340.htm,8/12/2014,http://www.abc.net.au/reslib/201412/r1366042_19233998.jpg,A bolt of lightning seen from Merewether Ocean Baths during one of the many thunderstorms that have hit Newcastle in the past week.,Copyright: ABC | Source: contributed | Byline: jay eff,"Weather, Weather:Storm,",ABC Newcastle NSW,NSW,Newcastle,severe weather warnings thunderstorms storms lightning hail floods wind bureau of meteorology forecasts 1233 abc,-32.5298,152.0828,http://www.abc.net.au/local/photos/2014/12/08/4144340-mediarss.xml, Thunderstorms have battered Newcastle and the Hunter over the past week rolling in every day and bringing wild winds heavy rain and spectacular lightning displays The Bureau of Meteorology says a warm humid air mass sitting above eastern NSW for more than a week has produced the series of storms There was a severe thunderstorm warning for large hailstones and damaging wind for the Hunter on Monday afternoon which was later cancelled But the Hunter forecast says there also a chance of thunderstorms on Tuesday Wednesday and Thursday Thousands of thunderstorms occur in NSW each year but not all are considered severe The bureau definition of a severe thunderstorm is hailstones bigger than 2cm in diameter wind gusts of 90km/h or more and flash flooding or tornadoes Although severe thunderstorms can occur at any time there is a marked tendency for them to occur from September through to March referred to as the severe thunderstorm season in NSW As well as a seasonal pattern there also a distinct daily pattern for severe thunderstorms peaking between 2pm and 6pm due to the heating of the earth surface by the sun Why do we get severe thunderstorms? Thunderstorms require three main ingredients a source of moist air an unstable atmosphere and a mechanism to initiate their development These mechanisms can be fronts troughs or regions of low pressure When moist air condenses to form cloud heat energy is released making the rising air more buoyant and fuelling further cloud growth An unstable atmosphere is necessary so that developing cloud is able to rise freely to great heights in the atmosphere At times thunderstorms can be arranged in lines hundreds of kilometres long or in large circular clusters producing severe weather over large areas Safety tips Everyone should identify the best place to shelter within their home or office preferably a small interior room or stairwell Ideally it will have walls reinforced with pipes or concrete such as a bathroom or basement Maintain an emergency pack with a battery-powered torch and radio food supplies first aid blankets and extra clothing When a severe thunderstorm warning is issued put away loose objects such as garden furniture and park vehicles under cover Bring children and pets inside and close all windows and doors To stay safe from lightning </strong>strikes close windows and doors and stay away from windows doors and fireplaces Before the storm hits unplug appliances such as radio televisions and computers and don't touch electrical items or telephones during the storm Don't take a bath as both water and metal are electrical conductors If you're outside get inside a vehicle or building avoid water and objects that conduct electricity such as golf clubs umbrellas and metal fences Do not stay in open space or under tall objects such as trees or poles and if no shelter is available crouch down To stay safe from extreme winds</strong> keep windows and doors shut and stay away from them shelter in a bathroom or lower floor or crouch under heavy furniture and protect your head with a cushion or mattress If outside avoid sheltering in a car or caravan and if no shelter is available lie flat in a low dry spot or under a low bridge To stay safe from hail</strong> stay away from windows and glass doors if outside seek cover face away from the wind and protect your head In a car keep your head and face away from windows To stay safe from flooding</strong> seek shelter and don't try to walk through flash floods or drive through flooded areas If your house is in a low-lying area be prepared to move to higher ground You can find the latest weather warnings forecasts and radar images on the Bureau of Meteorology website,"images/0047.png"
Restored Bundaberg loco steams again,http://www.abc.net.au/local/photos/2014/11/28/4138022.htm,28/11/2014,http://www.abc.net.au/reslib/201411/r1361874_19148279.JPG,The 1952 Bundaberg Fowler steam locomotive has been restored to its original colour scheme of green and red.,Copyright: ABC | Source: Used with permission | Byline: Ross Driver,"Community and Society, Community and Society:History:20th Century, Community and Society:History, Education",ABC Wide Bay Qld,QLD,Bundaberg,"news, bundaberg, locomotive, australian sugar cane railway, ross driver, bundaberg floods",-24.852645,152.336476,http://www.abc.net.au/local/photos/2014/11/28/4138022-mediarss.xml, With a lot of engine grease and even more elbow grease a steam locomotive that was manufactured in Bundaberg Queensland over 60 years ago has been painstakingly restored in the sugar city Now chugging and puffing its way around the track at weekends is a new addition to the Australian Sugar Cane Railways fleet; a restored 1952 Bundaberg Fowler steam engine The big significance of this train is that it worked in the Bundaberg area for quite a lot of its life said Ross Driver secretary of the volunteer organisation I even had the fortune to drive this locomotive out in the cane fields actually hauling cane We'd haul roughly 300 tonne per trip and the engine used to work very very hard When the engine was retired it was painted yellow and black in a effort to improve visibility at rail crossings Now it has been restored to its original colouring and it just as eye catching; bright green with red pinstripes We actually restored it to what it actually looked like as it came out of the Bundaberg foundry when it was built in 1952 Mr Driver said I'd have to go through our record books because we keep records all the time but it would be many thousands of hours of work by volunteer tradesman We've got a lot of different skills that keep these locomotives going Not let a bit of water beat them The Australian Sugar Cane Railway is a volunteer group filled with the expertise of former boilermakers engineers and retired sugar cane industry workers The service runs a steam engine tourist loop around the botanic gardens in Bundaberg every Sunday However the group was hit hard during the 2013 Australia Day floods with the workshop area inundated with water Years of work and hundreds of tools and parts were washed away but it didn't deter the volunteer crew from wanting to put it all back together When the flood came through here it came through at about 75 kilometres-per-hour so it ripped up quite a lot of stuff Mr Driver said It got the cabin of this locomotive and tipped it upside down and took it down the creek There were a lot of parts that went missing; they were strewn everywhere We thought what do we do? Do we walk away from it? I said to the fellas listen it as simple as this We're bloody Aussies and we're not going to let a little bit of water beat us! Nobody walked away Nobody walked away from that and I was really proud of that We all hung in,"images/0087.png"
Now and then: Burnett River scars transformed into riverside park,http://www.abc.net.au/local/photos/2014/11/26/4136705.htm,26/11/2014,http://www.abc.net.au/reslib/201411/r1361033_19131761.jpg,A section of river bank in Bundaberg has been restored after collapsing due to flood erosion almost two years ago.,Copyright: ABC | Source: ABC Wide Bay | Byline: Brad Marsellos,"Disasters and Accidents, Disasters and Accidents:Floods,",ABC Wide Bay Qld,QLD,Bundaberg,"news, bundaberg, floods, flood recovery, mal forman, david crisafulli, queensland government, bundaberg regional council",-25.2683,152.4459,http://www.abc.net.au/local/photos/2014/11/26/4136705-mediarss.xml, In February 2013 after the record-breaking Australia Day floodwaters had receded a section of the bank of the Burnett River in Bundaberg collapsed The floodwaters eroded the foundations underneath Midtown Marina with a section of the building falling into the sinkhole It was an eyesore it was a scar on our city it was a remnant of the flood we had to fix up said Councillor Mal Forman mayor of Bundaberg Regional Council There was a really large sinkhole pretty much where we're standing now and that was a danger to the whole of the area What we have here today is a wonderful park we're calling it Midtown Riverside Park I think it a wonderful complex It going to get a lot of use by many many people The Queensland Government contributed over $2 million to the project with $300000 coming from the council Minister for Community Recovery and Resilience David Crisafulli hopes the new parkland will instil confidence in the Bundaberg community I didn't want to see this just filled in I didn't want to see another area that was just repaired it need to be more than that he said The people of this part of the world have been absolutely hit by mother nature too often and it has really dented the psyche of the community We've taken the opportunity through facilities like this to create a vibe to create some sense of community But the long-term job has a long way to go and that involves things like long-term mitigation The riverside park includes a flood marker and a 75-metre long steel sheet-pile retaining wall stabilising the river bank There is no point saying flooding won't occur again Mr Crisafulli said What I've wanted to do across the state is use half a decade of heartache to actually make sure we can get some good across the state We have delivered more infrastructure projects to mitigate against flooding in the last two years than we have in the last two decades But there is a long way to go and the job not finished until big projects are done here in Bundy as well,"images/0090.png"
Finding strength in flood tales,http://www.abc.net.au/local/photos/2014/10/03/4099853.htm,3/10/2014,http://www.abc.net.au/reslib/201410/r1337282_18638296.jpg,Stories of strength and resilience during the 2013 Bundaberg floods are told in the new book Finding Strength in Words. (file photo),Copyright: ABC | Source: ABC Open | Byline: Brad Marsellos,"Disasters and Accidents, Disasters and Accidents:Floods, Health, Health:Mental Health",ABC Wide Bay Qld,QLD,Bundaberg,"news, mental as, bundaberg, floods, 2013, disaster, recovery",-24.4683,152.7459,http://www.abc.net.au/local/photos/2014/10/03/4099853-mediarss.xml, During the 2013 floods across the Wide Bay water rose to record levels What soared higher were the levels of strength and courage in the region resilient communities Stories of survival and heartbreak have been told and retold ever since So many in fact you could fill a book It a long road for everybody and we've certainly seen lots of rebuilding and lots of people moving on but people are still having to deal with it said Anne McWhirter community services manager at UCC We know that this is a particularly difficult time of the year coming up to another  emergency  season so we're very busy preparing people for the season and helping them get their plans together I think that is where this book will be really useful in moving into the new season and helping people to reconnect with some of their strengths as they move forward Ms McWhirter says in between the immediate clean-up and the long-term disaster response the organisation held a series of get-togethers to focus on the mental health of people affected It was here that the idea for a book began We worked with groups and people about how they could move forward how they could understand what was happening for them after the flood dealing with their emotions and what was going on for them she said What is your story? Working with arts group Creative Regions as well as the Bundaberg Writers Group Uniting Care then began the process of taking these shared tales of disaster and recovery and put them on paper The majority of stories used in the book come from people at the get-togethers; others are based around stories the editors heard as the city and the region recovered We came together and asked how can we start to build a booklet that is going to be really useful for people into the future Ms McWhirter said Can I learn from someone story and re-write that into a new story for me to help me move forward? Ms McWhirter says she is inspired by the tales within the book and hopes others are as well It just helps us to understand just how the human spirit is so resilient and how in tough times we manage to find something to move forward with she said I think that can encourage other people to hear those stories and to remember what they pulled out of the little bag of tricks that we have within us From October 5 - 12 ABC is supporting Mental Health Week and the ABC is going Mental As We're inviting you to join the conversation about mental health in Australia For full details of our week long initiative for Mental Health Week visit abcnetau/mentalas If you need help or know someone who does you can contact any of these support services Lifeline 13 11 14 - wwwbeyondblueorgau Mensline Australia 1300 789 978 - wwweheadspaceorgau Kids Helpline 1800 551 800 - wwwkidshelpcomau,"images/0273.png"
Plans unveiled for Beechworth's leaky lake,http://www.abc.net.au/local/photos/2014/09/30/4097602.htm,30/09/2014,http://www.abc.net.au/reslib/201409/r1335721_18604883.jpg,"Beechworth's Lake Sambell, 29th September 2014. A $3 million dam wall reconstruction project has been proposed after cracks were discovered in the lake's embankment.",Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Business, Economics and Finance:Industry:Tourism, Community and Society:Regional, Disasters and Accidents:Floods, Government and Politics:Local Government",ABC Goulburn Murray,VIC,Beechworth,"abc, abc goulburn murray, beechworth, lake sambell, history, flood, indigo shire, dam, engineer, richard rodd, garry jarvis,",-36.0598,146.8846,http://www.abc.net.au/local/photos/2014/09/30/4097602-mediarss.xml, Locals have raised concerns over a $3 million reconstruction plan for Beechworth Lake Sambell but engineers say it necessary for safety reasons The lake was proposed in 1928 on an old gold-mining area which Council reclaimed from a grazier who had been leasing it for 1 pound per year The Forward Beechworth Committee had just won 200 pounds to beautify the town in a Sun News Pictorial competition so with that money in hand construction began within three weeks of approval The lake became a tourist attraction but now almost 90 years after its construction there are questions being asked about its future On the night of 29th September about 60 people gathered at the Beechworth Town Hall to hear about a $3 million plan focussed on repairing cracks in the dam wall After the cracks were discovered in early 2012 the lake water level was lowered two metres to avoid potential structural failure of the wall Consulting engineer Richard Rodd who made a presentation at the meeting said the embankment had been poorly built in 1928 and remained unfixed after more work was done in the 1960s Mr Rodd said their investigations revealed that instead of stripping the foundations back to solid rock crews built the embankment on top of alluvial material The fact that  seepage  has occurred over decades doesn't help Mr Rodd said The dam is now in a position where its stability has to be brought into question Mr Rodd said while overtopping of the embankment was unlikely the consequences of a flood meant that reconstruction needed to occur That has consequences downstream because you've got the lake as well as the flood event that overtopping it he said The consequences of that would be severe property damage and or loss of life downstream Questions asked Around a dozen people at the meeting posed questions to Indigo Council staff landscape architects and engineers One woman said that tourists in Beechworth think we have the worst lake in the world because of its low water level Another man questioned the impact the construction would have on the town Chinese Gardens which he said many locals had worked hard to create Lake Sambell Committee member Garry Jarvis said the lake was special to him because as a boy he had helped his father (a local engineer) survey the area for the caravan park Mr Jarvis said the risk of the lake flooding did not justify the cost of the reconstruction project Beechworth relies on tourism and it is a huge tourist attraction A big concern is the number of tourists who are so disappointed with the way the lake looks he said My concern is taxpayers money of  $3 million  for something that could happen once in 100000 years Indigo Shire Council will provide $500000 for the project and are seeking a further $528000 while the Victorian Government has given a $2 million grant     Consulting engineer Richard Rodd says there would be ugly consequences downstream if the Lake Sambell embankment failed,"images/0282.png"
Trevor from The Gorge: Clarence Valley's early flood warning,http://www.abc.net.au/local/photos/2014/09/23/4093125.htm,23/09/2014,http://www.abc.net.au/reslib/201409/r1333051_18550604.jpg,Trevor from the Gorge,Copyright: ABC | Source: ABC | Byline: Margaret Burin,"Community and Society, Disasters and Accidents, Disasters and Accidents:Emergency Incidents, Disasters and Accidents:Floods",ABC North Coast NSW,NSW,Copmanhurst,"trevor, from the gorge, wingfield, abc, north coast, photos, article, story, margaret burin, radio, cattle, farmer, fine flower, clarence, river, valley, flood, flooding, floods, abc, radio, upper, warning,",-29.4833,152.75,http://www.abc.net.au/local/photos/2014/09/23/4093125-mediarss.xml, During every flood on the New South Wales north coast Clarence community members await word from one man upstream Upper Clarence farmer Trevor Wingfield is one of the first to see how much water is roaring down the mighty river After more than six decades there the third generation farmer has seen the same valleys inundated with water on many occasions after the Clarence River has broken its banks Water from Queensland and inland NSW meets and surges down the gorge on his Fine Flower property It just roars like the sea and there waves 20 foot high coming over the rocks Mr Wingfield said It unbelievable Getting to his home involves a 30-minute drive from the main road up and down mountains and crossing 11 creeks At times Mr Wingfield his wife and two sons can be isolated from the outside world for up to two weeks until the causeways clear We've got four deep freezers here full of tucker Mr Wingfield said Then if we've gotta we just go into the paddock and get ourselves a vealer Mr Wingfield family settled in the area in 1890 Today between his brother and sister the family have 5000 acres of land and run 600 head of mixed cattle During summer the soggy paddocks and muddy roads make it almost impossible to muster or transport cattle The road that wet the only time we muster and sell is September/October Mr Wingfield said The farm position on the upper Clarence River means it is the first to experience flooding after major rainfall That is why today many farmers and residents downstream have come to rely on Mr Wingfield weather reports Steel poles embedded in the mountain serve as a reminder of previous flood heights The markers allow him to forewarn people in other parts of the Clarence Valley about the scale of flooding they can expect in comparison to other years My brother I ring him first and tell him to get out and everybody watches him and say oh he on the move he got the message from the gorge to get out he said I've only got to say it 2009 level and they have their levels down there and they know what going to happen The 2013 flood was the worst he has experienced reaching 27 feet (83m) higher than the second largest flood in 2011 But Mr Wingfield says in the 1800s Aboriginal people warned his grandfather about floodwater that reached heights never seen since the area was settled Two elder blokes said Mr Winter where you've built your tin shed to live in we've seen the flood go over that he said That 80 foot higher than 2013 so Grafton going to get a surprise one day if it ever comes to the same height There is nowhere else Mr Wingfield would rather live But there is one rather unfortunate aspect of living at the gorge In his lifetime 11 bodies have ended up on the rocks at the bottom of the waterfall Mr Wingfield says people have to see the river in flood to understand the sheer power of it I try to explain it to people and show them my pegs in the trees he said They just can't believe 70 feet (213m) of water goes down the mighty Clarence,"images/0293.png"
Flooding in the Preston River: pictures,http://www.abc.net.au/local/photos/2014/08/29/4077481.htm,29/08/2014,http://www.abc.net.au/reslib/201408/r1322837_18332716.JPG,The Argyle Rd .has been closed this afternoon,Copyright: ABC | Source: ABC Local | Byline: SK,"Weather:Rainfall,",ABC South West WA,WA,Donnybrook,"southwest, flood, weather, donnybrook",-33.5725,115.823,http://www.abc.net.au/local/photos/2014/08/29/4077481-mediarss.xml, the river was expected to reach a high of 45m this afternoon According to Bureau of Meteorology duty forecaster Luke Huntington on ABC South West Mornings the rain will continue today as the front is moving very slowly It won't be until late today and this evening when it will start to ease he says By Saturday the rainband should have shifted to the north of the South West with just some isolated showers hanging around The next cold front coming up during Sunday is not as strong It not going to deliver too much rain except for the south coast where there could be some thunderstorms associated Falls will most likely by in the range of 5 -10mm with Sunday front Flooding Most rainfall has occurred along the lower Preston catchment says hydrologist Syed Islam from the WA Flood Warning Centre Upper areas of the catchment from Bunbury through to the Ferguson Mumballup and Louden Rd received about 20mm Minor flooding may cause some difficulties with crossings under water or roads may be impassable says Syed Complacency is the main problem during minor flooding he feels as drivers don't expect danger and may try to cross flooded areas without due care River heights Department of Water</strong> river information page  The latest flood advice can be found at,"images/0358.png"
Heavy rain in the lower Preston catchment leads to flooding,http://www.abc.net.au/local/stories/2014/08/29/4077154.htm,29/08/2014,http://www.abc.net.au/reslib/201408/r1322837_18332716.JPG,The Argyle Rd .has been closed this afternoon,Copyright: ABC | Source: ABC Local | Byline: SK,"Weather:Rainfall,",ABC South West WA,WA,Donnybrook,"southwest, weather, rain, flood",-33.2725,116.023,http://www.abc.net.au/local/stories/2014/08/29/4077154-mediarss.xml, The Preston River is expected to reach a moderate flood peak of about 45m today According to Bureau of Meteorology duty forecaster Luke Huntington on ABC South West Mornings the rain will continue today as the front is moving very slowly It won't be until late today and this evening when it will start to ease he says By Saturday the rainband should have shifted to the north of the South West with just some isolated showers hanging around The next cold front coming up during Sunday is not as strong It not going to deliver too much rain except for the south coast where there could be some thunderstorms associated Falls will most likely by in the range of 5 -10mm with Sunday front Flooding Most rainfall has occurred along the lower Preston catchment says hydrologist Syed Islam from the WA Flood Warning Centre Upper areas of the catchment from Bunbury through to the Ferguson Mumballup and Louden Rd received about 20mm Minor flooding may cause some difficulties with crossings under water or roads may be impassable says Syed Complacency is the main problem during minor flooding he feels as drivers don't expect danger and may try to cross flooded areas without due care River heights Department of Water</strong> river information page  The latest flood advice can be found at,"images/0358.png"
Flood barrier to stop car park disasters,http://www.abc.net.au/local/photos/2014/08/25/4073639.htm,25/08/2014,http://www.abc.net.au/reslib/201203/r915013_9442243.jpg,"A woman looks into a flooded carpark, where her car is parked, at a unit block in Maroochydore on Queensland's Sunshine Coast, March 23, 2012.",Copyright: AAP | Source: ABC Multiplatform | Byline: Janel Shorthouse,"Community and Society, Disasters and Accidents, Disasters and Accidents:Floods, Environment",ABC Sunshine & Cooloola Coasts Qld,QLD,Maroochydore,"Weather, severe weather, flood warning, flood emergency, flash flooding, research, flooded carparks, flood barrier",-26.5617,153.2985,http://www.abc.net.au/local/photos/2014/08/25/4073639-mediarss.xml, A university student has created a flood relief barrier to stop water from entering underground car parks during flash flooding events The device designed like a vertical underground pit runs the width of the driveway and is made out of metal and foam Not visible from the road the pit fills up with water during a flood and this causes a wall to raise The wall then seals and locks into place stopping any water from entering the car park Senior lecturer Dr Helen Fairweather says the flood defence device is now ready to undergo trials This design is very elegant it requires no electricity to operate Dr Fairweather said That of course is very important in flood conditions due to power outages Also the device only raises when it absolutely necessary Dr Fairweather says the barrier will help to alleviate the impact of future flood disasters Currently it a real problem in Maroochydore when extreme rainfall events hit she said Obviously if those conditions coincides with a king tide or a very high tide or a storm surge then that problem is exacerbated Future climate change impacts Dr Fairweather says their research also focuses on the coastal response to climate change and its impacts particularly rises in sea levels We're monitoring king tides because we're expecting this century with a high level of confidence to see the present king tides that we're experiencing likely to become an everyday phenomenon she said That means that the king tides under a future climate will be comparatively very dramatic so monitoring those king tides serves two purposes for us Firstly it helps us develop an understanding of the mechanisms for sand movement within our estuaries and also the erosive mechanisms from the beaches And secondly we're also doing some monitoring to ascertain the energy available to us in the tide to produce electricity to power street lights for example Dr Fairweather says research results are being analysed by students and the findings will be released at the end of the year,"images/0372.png"
