Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Mittagong Greeny Flat shows eco-living made easy,http://www.abc.net.au/local/photos/2014/05/26/4012255.htm,26/05/2014,http://www.abc.net.au/reslib/201405/r1280295_17329764.jpg,Andy Lemann in front of his environmentally sustainable Greeny Flat in Mittagong.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Electricity Energy and Utilities, Environment:Alternative Energy:Solar Energy, Science and Technology:Energy",ABC Illawarra NSW,NSW,Mittagong,"greeny flat, andy lemann, mittagong, energy, building, efficiency, housing, southern highlands, abc illawarra, justin huntsdale",-34.4516,150.4445,http://www.abc.net.au/local/photos/2014/05/26/4012255-mediarss.xml, How would you like to live in a house that generates more electricity than it uses you never have to turn on the air conditioner and heater and it doesn't cost that much more than a regular house to build Step inside Mittagong Greeny Flat I'd been living in the United States for 20 years in Montana where it gets down to minus 50 degrees celsius at times so energy efficiency is a whole different kettle of fish he says Coming back here it seems really easy to do this After returning to Australia he sized up his mother backyard and designed and built his Greeny Flat - a two bedroom fully functional unit that is now producing almost twice as much energy as it using He started with two main goals - to make it energy positive and to show people that it can be affordable My philosophy is regardless of what you think about global warming at some point we have to learn to live without fossil fuels because they won't last forever This experiment is to see if we can do it now and if we can why not do it? The flat is meticulously designed to capitalise on available daylight for solar energy and natural heating while shade and the floor slab will help regulate the inside temperate during the hottest and coldest parts of the year There a water tank out the back to capture rain water and last week the flat underwent a blower door test by University of Wollongong researchers to ensure it was airtight He and his girlfriend have just spent their first month living in the flat Early indications are that it will work really well Andy says Winter will be the real test but I have no doubts in the summer we'll make more energy than we're using Just over the last week since we had our solar panels installed we're making twice the energy we're using He says it likely his mother will move into the flat in her later years so he also designed the house to make it compatible for the elderly There are ramps as well as sufficient door space to move a walking frame through the indoor and outdoor space is low maintenance and the corrugated iron cladding outside means not a drop of paint has been used outside I've been working on this full time for a year now in designing planning and building it I've just finished it and I'm about to take a holiday but when I get back I'll be thinking about what I'll do for a crust The Greeny Flat doesn't only just stand out for its striking metal design it miles more energy efficient than most houses built in Australia today Andy says when he left the country 20 years ago Australia was ahead of the US on energy efficient housing design Now we have fallen behind and we are even further behind Europe where houses need to be designed to withstand extreme temperatures and make use of natural energy options We're an energy producing nation and we have cheap energy but we're all starting to realise energy prices are going up Threats of global warming are making people conscious of the energy we use and the carbon we produce You can stay up to date on how the Greeny Flat is performing with Andy blog,"images/0001.png"
The Bombala Line: Nimmitabel Railway Station,http://www.abc.net.au/local/photos/2014/11/26/4136381.htm,26/11/2014,http://www.abc.net.au/reslib/201411/r1360748_19125199.jpg,Rail motors carried passengers between the towns on the Bombala line. The goods train is likely heading to Cooma or Sydney.,Copyright: ABC | Source: Flickr | Byline: Ray McDermott,"Business, Economics and Finance:Industry:Rail Transport, Community and Society:History,",ABC South East NSW,NSW,Nimmitabel,ourstories Bombala Line Nimmitabel Railway Station railway Cooma sheep transport locomotive,-36.4833,149.25,http://www.abc.net.au/local/photos/2014/11/26/4136381-mediarss.xml, When the railway reached Nimmitabel in 1912 it connected the remote Monaro town with the rest of the world The railway was vital to the town and affected every aspect of life and work Nancy Burke the station master daughter remembers the locomotives as living things Local farmer Ian Blyton recalls Even the Canberra road in 1950 was still a dirt road He said that vehicles created three ruts two on the outside and one in the middle and both north and south bound traffic used the rut in the middle of the road for their inside wheels Between those wheel tracks was just a dust pile he said It was a wild road He said it wasn't until the 1950s that trucks with stock crates were being used to transport sheep but that before then if you wanted to send sheep for sale you had to walk them there So the coming of the rail meant that sheep could be loaded and shipped to any of the saleyards between Nimmitabel and Sydney Nancy Burke whose father was the station master at Nimmitabel during the 1940s recalls how the station was the hub of the community Special trains would be put on to take people to race meetings show days and football matches as far away as Cooma Queanbeyan and Goulburn And Bombala replaced Cooma as Nimmitabel main service centre after the train line reached there in 1921 The Sydney mail train passed through Nimmitabel to Bombala in the morning and returned through Nimmitabel in the afternoon on the way back through Cooma - perfect timing for a day in Bombala You had time to do some shopping and then have lunch said Nancy And then catch the train back at about half past two and you were back here at five o'clock I love the trains I really do she said of the old steam trains The smell of them and because they were live They're living things Diesels no They're dead things The steams The old 32s and 36s Oh wonderful Listen to the attached audio for the full interview with Kevin and Nancy Burke,"images/0003.png"
Australia's national dish: Bolognese,http://www.abc.net.au/local/photos/2014/12/19/4152135.htm,19/12/2014,http://www.abc.net.au/reslib/201412/r1370749_19333536.jpg,"Onions, carrots and celery for the sofritto. Lean beef from Steve Jackson's farm. Guanciale, pork cheek bacon, made by Steve from his farm-bred pig. Homegrown garlic. Tomato paste. Homemade red wine. Fresh tomatoes and a can of tomatoes",Copyright: ABC | Source: ABC South East NSW | Byline: Bill Brown,"Lifestyle and Leisure:Food and Cooking, Lifestyle and Leisure:Recipes,",ABC South East NSW,NSW,Bega,"Bolognese, cooking traditional Italian method recipe spaghetti tagliatelle pork Pancetta Guanciale Steve Jackson chef Geoffrey Guiffre",-36.6755,149.8406,http://www.abc.net.au/local/photos/2014/12/19/4152135-mediarss.xml, Maybe you thought Australia national dish was a meat pie Aussie chef Steve Jackson says it actually spaghetti bolognese Though it seldom cooked the right way he says and should be eaten with tagliatelle rather than spaghetti So we cooked an Italian style with the traditional ingredients and method and an Aussie style to compare Italian Australian performance poet Geoffrey Guiffre judged which one measured up to his Mama bolognese And look here if you've ever wondered if a baguette can be made in Australia that tastes like a French one,"images/0003.png"
UNTOLD: Cabbage Tree Island,http://www.abc.net.au/local/photos/2014/11/05/4122298.htm,5/11/2014,http://www.abc.net.au/reslib/201411/r1351589_18936890.jpg,Palm trees at sunrise on Cabbage Tree Island.,Copyright: ABC | Source: ABC | Byline: Margaret Burin,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Indigenous Culture, Information and Communication",ABC North Coast NSW,NSW,Cabbage Tree Island,"UNTOLD, cabbage tree island, abc north coast, margaret burin, justine frazier, jeff licence, massacres, aboriginal, indigenous, stories, articles,",-28.979777,153.45662,http://www.abc.net.au/local/photos/2014/11/05/4122298-mediarss.xml, ABC North Coast is proud to bring you UNTOLD an initiative that explores the stories you rarely hear The first stop is Cabbage Tree Island From its rich history to current-day achievements we bring you a collection of stories gathered over recent months culminating in a special live broadcast Digby Moran growing up on Cabbage Tree Island Native Title sorting through the puzzle of a scrambled Aboriginal history Cabbage Tree Island and the vision for a self-sufficient Aboriginal community The story behind the object Collection of audio stories Where should the next UNTOLD be? We are looking for a spot in our region to hold the next UNTOLD The initiative is a vision to share the stories of the whole NSW North Coast community locally and nationally because we think our stories are important and inspiring The idea of UNTOLD is to focus on communities whose stories are rarely heard; a time to both celebrate and also reveal issues and histories we should all know about Our very first UNTOLD live broadcast was in the community of Cabbage Tree Island Have an idea about where we can hold the next one? Email us at abcnorthcoast@yourabcnetau,"images/0003.png"
"Endometriosis sufferers speak out, want others to understand severity of condition",http://www.abc.net.au/local/photos/2014/12/11/4146911.htm,11/12/2014,http://www.abc.net.au/reslib/201412/r1367677_19269362.jpg,Wollongong drama and singing teacher Anna Chaplin has formed a support group for women living with endometriosis - a painful disease affecting the uterus.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Health:Women's Health,",ABC Illawarra NSW,NSW,Wollongong,"endometriosis, anna chaplin, disease, women, health, uterus, pain, medicine, surgery, abc illawarra",-34.4263,150.8927,http://www.abc.net.au/local/photos/2014/12/11/4146911-mediarss.xml, It can cause painful periods painful sex pelvic pain ovulation pain pain in the lower back and thighs bowel and bladder trouble reduced fertility nausea lethargy and hormone imbalances And all the while women either keep it to themselves or get accused of overreacting to standard period pain when they call in sick to work Everyone has the right to have a pain-free happy life Anna Chaplin said If you're in pain on a regular basis and it affecting your quality of life and you're exhausted that stops you from living up to your potential and following your dreams and that a tragedy The Wollongong-based United States-born singing and drama teacher discovered she had endometriosis two years ago She said in the early days before she was diagnosed she would talk about her symptoms and people would accuse her of being a hypochondriac If men had extremely painful sex it would've been cured already but it completely taboo Ms Chaplin said People don't want to talk about it because it can be very embarrassing and they just want to go on with their lives or not let people know because it can be shameful for them but it shouldn't be The more people talk about it while doctors keep doing great work  the better  Cures can happen She said there was an explosion in breast cancer awareness but almost just as many women have endometriosis as breast cancer Treatment often invasive Currently the most effective way to diagnose the condition is through laparoscopic surgery which can be invasive and uncomfortable Anna said on top of the embarrassing symptoms the idea of having your abdomen cut open is enough to turn women off having it investigated Similarly surgery to clean out the affected area is the most effective treatment but she said the condition can return any time after the operation Support network crucial Like any taboo health topic having a support network of people with similar ailments can be invaluable Anna established a Wollongong-based support group called Endo No as well as an Instagram account that is gathering international interest It been amazing for me to feel like I'm giving back or doing something she said When you're sick often people get tired of hearing about it and that understandable but it doesn't mean you don't need to vent or you don't need support Even having a group of women saying they had a crap day and then someone can say me too  is helpful  - you don't have to involve everyone else If we can get it in the open and share stories then it all worthwhile The Endo No support group will meet Sunday December 14 at His Boy Elroy in Wollongong at 1100am</strong>,"images/0004.png"
The Big Fish Saturday the 27th of December,http://www.abc.net.au/local/photos/2014/12/27/4154881.htm,27/12/2014,http://www.abc.net.au/reslib/201412/r1372716_19377525.jpg,Mud Monster and Stinker,Copyright: ABC | Source: ABC Local | Byline: Stinker,"Lifestyle and Leisure,",ABC Central Coast NSW - The Big Fish,NSW,Gosford,"podcast, the big fish,",-33.4246,151.3441,http://www.abc.net.au/local/photos/2014/12/27/4154881-mediarss.xml, The NSW Minister for Fisheries Katrina Hodgkinson joins us on The Big Fish to talk about the changes to fishing regulations in some of the Marine Protection Zones and the Weighmaster talks about breaking rods and fishing with fine gear Bushy teaches Scott how to fish with overhead reels and Stinker battles a monster from the mangrove swamp     Listen to The Big Fish Saturday the 27th of Dec,"images/0007.png"
And then there was one: Broken Hill and the outback pools,http://www.abc.net.au/local/photos/2014/12/22/4153280.htm,22/12/2014,http://www.abc.net.au/reslib/201412/r1371415_19347478.JPG,Alma pool in 1963.,Copyright: ABC | Source: ABC Local | Byline: Supplied,"Environment:Water,",ABC Broken Hill,NSW,Broken Hill,"aquatic centre, broken hill, pool, summer, jason jones, peter black",-31.958038,141.465138,http://www.abc.net.au/local/photos/2014/12/22/4153280-mediarss.xml, More than 125 years after the city first pool was built the aquatic centre is the last one standing But the options for swimming weren't always so sparse At one point people enjoyed a selection of four public pools before drought and cash problems claimed all but one There was the Zinc Mine pool the Iodide Street baths the City pool the Imperial dam and the Alma in the south All enjoyed long spells of popularity as an escape from the oppressive desert heat Keeping cool in Broken Hill has always been a problem said Jenny Camilleri a family historian and Broken Hill local It would have been a nightmare in the late 1880s water was considered a luxury Luxury or not from the beginning the citizens of Broken Hill have always found a way to get their heads underwater A man named John Silverthorne owned the city first pool in the late 1800s He would pump water from a well nearby and when that dried up there or you wanted to save some coins there was also his Imperial dam nearby to swim in Even after new facilities were built people never stopped using Mr Silverthorne old dam The city Mayor at the time threatened to severely deal with the citizens of Broken Hill who were caught swimming in the dam and there are reports that the police were called on the swimmers more than once although with varying degrees of success in getting people out of the water Mrs Camilleri said one swimmer is reported to have told the policeman it is too hot and that he needed to remain in the water to keep cool The city has come a long way since then The aquatic centre in the north is a shiny and well-kept facility and on a blue-sky day it sparkles in the sun It was the subject of a $10 million redevelopment in 2008 While there were attempts to label that a controversial spend Peter Black former mayor of Broken Hill summed it up saying at the time that when it comes to pools it a quality of life issue A price on water Like many things in Broken Hill the city pools are connected with its mining history The Zinc Mine pool was sponsored by the eponymous Zinc Corporation It was originally just for employees and their families and no doubt acted as a competitive advantage when the mine was hiring Of all the pools this one conjures some of the fondest memories of Broken Hill swimming heyday It was just the best said Mrs Camilleri The mines always made time for the local people not like the mining companies of today who hardly support Broken Hill It was the place to be on a hot summer afternoon The pool reportedly hit a record of most number of people at one time with 435 while in 1934 more than 5800 people used the pool Olympian Dawn Fraser came to train there one year; such was the quality of the facilities It was closed down in the summer of 1969 Another much-loved pool the Alma in the south closed some years later succumbing to the region drought and the council financial struggles The water first dried up when it became difficult to rationalise continually pumping water into it and council later filled it in with concrete The loss of a pool for the south and the later decision to put the new aquatic centre in the north briefly inflamed the town traditional divide Broken Hill south citizens would have to travel around the mullock heap to go swimming from then on What a heatwave? If water was a luxury in the 1880s then no doubt it is even more valuable today The city is down to about 12 months supply of water and level one water restrictions that started in December mean filling up private pools is prohibited That includes things like the plastic shell pools for dogs When it been raining the Menindee Lakes an hour south-west fill with water and wildlife and Broken Hill citizens holiday there in the summer But now when Menindee Lake itself has become a green pasture where livestock graze the jet skis and boats for the most part collect rust on the banks of the lake And then there the heat For the first time ever in the month of October Broken Hill reached 35 degrees for five days in a row By 2060 onwards the NSW government predicts the region will experience up to an extra 10 days on which the temperature peaks above 35 degrees With the scarcity of water only increasing the new aquatic centre in the north also brought a more careful approach to water usage The centre recycles the pool water which means there is no need to pump the town water supplies continually into the system It was a necessary innovation The aquatic centre has an Olympic-sized lap pool a splash pool for kids a water slide and a hydrotherapy pool inside Safety first for outback lifeguards Picture the city last pool on a 43 degree day in January Sweltering heat that invades every space not constantly air-conditioned It is school holidays and too hot to play outside so kids and parents converge on the pool It makes a busy day for the lifeguards with up to 600 bodies in the water at one time As soon as the hot weather hits and the school holidays arrive bang the pool is full said Jason Jones the pool operations manager Mr Jones 44 has been a lifeguard for eight years He learnt to swim in the 25-metre pool here and when he spotted a job advertisement for a pool attendant one day he decided to jump on it and earned his lifeguard licence a year later  The pool  is the only one left in town so for the whole community whether you're south north west that what where here for  You've  just got to keep an eye on the water make sure they're all behaving themselves their heads are above the water and just do what you're trained to do It not an easy job it is not glamorous and he can see in new lifeguards faces the stress on those busy days The pool is also where local children learn to swim a crucial lesson and arguably for an Australian one that hits that quality of life issue The role of the outback pool in providing swimming lessons seems all the more important when you consider that it is on the country rivers and creeks and dams and not the kilometres of coastline where the most drowning deaths occur each year Which makes Broken Hill last pool even more valuable,"images/0013.png"
Remembering the Newcastle Earthquake 25 years on,http://www.abc.net.au/local/photos/2014/12/23/4153765.htm,23/12/2014,http://www.abc.net.au/reslib/201412/r1371910_19358646.jpg,"A then-and-now photo blend of the Hamilton Ambulance station after the earthquake, and in 2014.",Copyright: ABC | Source: ABC and Newcastle Museum | Byline: Robert Virtue / supplied from Newcastle Museum,"Community and Society, Community and Society:History, Disasters and Accidents, Disasters and Accidents:Earthquake",ABC Newcastle NSW,NSW,Newcastle,"1233 ABC Newcastle, ABC, Newcastle, New South Wales, NSW, Australia, Hunter, city, urban, community, life, people, ABC Upper Hunter, Robert Virtue, Newcastle Earthquake, 25th anniversary, natural disaster, death, injury, Hamilton, Beaumont Street, rescue, recovery, 1989, December 28, Newcastle Workers Club, buildings, collapse, rubble, 2014, people, bodies, killed, photos, photography, Newcastle Museum",-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/12/23/4153765-mediarss.xml, On December 28th 2014 Newcastle will stop to remember the 25th anniversary of the city devastating earthquake An earthquake measuring 56 on the Richter scale rumbled across the Hunter region destroying buildings cracking roads and leaving the city bewildered It was a natural disaster that forever changed the region and would have an indelible impact on the city psyche The quake At the time of the earthquake clocks stood still with 1027am left etched on their faces Reports state that the quake lasted several seconds and sounded like a loud bang People wandered out of buildings dazed and confused about what had happened Some thought there'd been an explosion while others thought it was mine subsidence Electricity was cut and clouds of dust billowed into the sky But as more and more reports flooded in from areas as far away as Sydney it became clear that there'd been no explosion but rather a significant earthquake The aftermath As the dust settled over Newcastle the extent of the damage and the high-pressure emergency that was unfolding became apparent Reports of significant damage to the Newcastle Workers Club as well as shops in Hamilton spread Emergency crews rushed to the crisis points to begin sifting through the rubble and rescue those trapped Then-NSW Premier Nick Greiner cut short an overseas holiday to return to Australia and visit Newcastle Initially  I felt  shock and disbelief and then it was care and concern for the people and families; and I'd say finally dear God why Newcastle? he told ABC News at the time The then-Prime Minister Bob Hawke also expressed to ABC News shock over the extent of the damage This is something new; we haven't had the experience of dealing with death and devastation from an earthquake but we all accept that there will be varying degrees of responsibility he said We will talk together and we will try and ensure that everything is done that can possibly be done to assist Newcastle in its rehabilitation The job for rescue teams proved increasingly difficult Unstable sections of buildings teetered on the verge of collapse while heat-seeking devices were used to find the dead and injured and excavators were used to shift the rubble  We're  very very tired police rescue worker Ron Gibson told ABC News I think the eyes would tell it all -  they're very blood shot  Too much diesel dust and work Over 300 rescue workers were involved in the recovery operation Ambulance paramedic Alan Playford described what it was like to try and save people It was very disconcerting that we had to withdraw at one stage because the building was so unstable and it was moving Everyone withdrew and we put coats and blankets over them (the trapped people) to save the rubble coming on them; and  we  told them to hang on and  that we  would be back as soon as we could he said We unfortunately had to leave them; the Disaster Commander thought that it (the building) was going to come in on the rest of us so we had to leave Mr Playford said the rescue crews returned 20 minutes later and began work again One man  who was trapped  was offering encouragement to two other ladies; it was the bravest thing I'd ever seen He kept talking to them and it turned out he was the one that was critically injured; and just as we got him out he was very very ill from the loss of blood Remembering the victims In total 13 people died in the earthquake and its aftermath Three people died on Beaumont Street Hamilton; nine people were killed at the Newcastle Workers Club; and one person died after the quake because of shock Newcastle City Council reports 50 000 buildings were damaged while 300 had to be demolished The damage bill is reported to have been about $4b Some 25 years on the city continues to remember that fateful day and those who lost their lives Click on the audio players to hear ABC coverage of the disaster from 1989 Archival photos provided by the Newcastle Museum      1233 ABC Newcastle on air when the Newcastle earthquake struck in 1989,"images/0014.png"
The summer pilgrimage of fruit picking backpackers,http://www.abc.net.au/local/photos/2014/12/11/4146623.htm,11/12/2014,http://www.abc.net.au/news/image/6001236-16x9-700x394.jpg,Orange cherry pickers,Copyright: ABC | Source: | Byline: Robert Virtue: ABC Local,"Community and Society, Community and Society:Work, Rural:Agricultural Crops, Rural:Agricultural Crops:Fruit",ABC Central West NSW,NSW,Orange,"Cherry, cherries, orchard, fruit, apples, backpackers, pickers, picking, tourists, people, international, Orange, NSW, New South Wales, 2014, December, central west, ABC Central West, ABC, Australia, vineyards, produce, food, rural, Robert Virtue, Caernarvon Cherry Company, Mehdi Rouabah, France, Bernard Hall",-33.2846,149.0988,http://www.abc.net.au/local/photos/2014/12/11/4146623-mediarss.xml, Over summer many residents of the NSW central west form a mass exodus as they head to the coast for a hit of salty air But while they're leaving a brigade of backpackers swamp the region ready to begin a long stint fruit picking Collectively they've helped the city earn its reputation for being a hub for fresh produce and fine wine Over summer the orchards come alive with a throng of people feverishly working to pick the thousands of kilograms of fruit they provide particularly cherries A major part of the workforce is a stream of itinerant workers - mainly backpackers - who try to earn enough money so they can continue their travels around the unburnt country It now become an annual pilgrimage with the workers forming an essential part of Orange social fabric over summer Mehdi Rouabah is a 25-year-old man from Lyon in France He arrived in Orange to pick cherries at a local orchard but previously picked fruit in Young and before that capsicums in Bowen in Queensland I like this country because  of the  weather and because it a big country If you want to change and go to the mountains the beach or the desert it very good for that he said with a thick French accent Now I come to Orange ready to make money The life of a fruit picker is tough Mr Rouabah wakes at a quarter to five in the morning and arrives at work ready for a six o'clock start There he works until around three o'clock in the afternoon picking and picking and picking Per day I pick 12 or 13 lugs (containers) and one lug is 16 kilograms he said So I pick more than 200 kilograms per day easy With many pickers coming from colder northern hemisphere climates one of the other challenges facing the workers is the harsh Australian weather When you start in the morning  it  cold very cold So you need to start working with all your clothes on; then just as the sun wakes up its good weather said Mr Rouabah Bernard Hall is the manager of the Caernarvon Cherry Company - the orchard where Mr Rouabah works in Orange The property is some 100 hectares in size and a combination of cherries and apples are grown on site Mr Hall said that as an employer trying to accommodate the influx of backpackers can be a struggle They come with tents they come with anything and you try and help them out the best you can; but you've got to give them decent amenities In town unfortunately there nothing without costing them a bomb he said Mr Hall said backpackers from a variety of nationalities arrive in the central west over summer Normally you get quite a lot of French and French-Canadian people This year there been a lot more Taiwanese and Koreans  but  there been a mixture of all he said They're all willing to work and they need a couple of dollars  and  they're all working for different reasons You get all sorts and you've got to have a handle on how to deal with a lot of people and a lot of different nationalities I've met some incredible people and I've made some incredible relationships too I can't speak their lingo but we manage The pickers are paid depending on how much fruit they bring in which averages to a pay rate of about $110 per kilogram Good pickers can make some really good coin said Mr Hall The other pickers can make enough to get by and to get around Australia to the next job What money they earn they tend to spend here in Australia Mr Hall agrees that working in an orchard is a tough gig My philosophy is to get the fruit packed as quickly as we can because it far better and  you get  a far longer shelf-life; so we work as hard as we can for as long as we have to he said If they can't hack it they've just got to move on and do something that they can do I'll help anyone out; they're helping me out so I've got to do the right thing by them as well I've got young children too and one day they might go overseas and do the same thing  as the backpackers  so what goes around comes around,"images/0015.png"
In photos: the end of an era with rail line set to be cut,http://www.abc.net.au/local/photos/2014/12/22/4153418.htm,22/12/2014,http://www.abc.net.au/reslib/201412/r1371676_19353280.jpg,On December 26th 2014 ﾖ Boxing Day ﾖ it's planned the Newcastle rail line will be ripped-up.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Industry:Rail Transport, Government and Politics:States and Territories",ABC Newcastle NSW,NSW,Newcastle,"1233 ABC Newcastle, ABC, Newcastle, New South Wales, NSW, Australia, Hunter, city, urban, community, life, people, ABC Upper Hunter, Robert Virtue, railway, transport, passengers, city, revitalisation, development, 2014, December, history, people, society, Hamilton, State Government, Wickham, Newcastle, light rail",-32.5298,151.4828,http://www.abc.net.au/local/photos/2014/12/22/4153418-mediarss.xml,"1233 ABC Newcastle, ABC, Newcastle, New South Wales, NSW, Australia, Hunter, city, urban, community, life, people, ABC Upper Hunter, Robert Virtue, railway, transport, passengers, city, revitalisation, development, 2014, December, history, people, society, Hamilton, State Government, Wickham, Newcastle, light rail","images/0015.png"
Sniffer dog called in to find weed in Kosciuszko National Park,http://www.abc.net.au/local/photos/2014/12/10/4145947.htm,10/12/2014,http://www.abc.net.au/reslib/201412/r1367006_19254182.jpg,Orange hawkweed.,Copyright: ABC | Source: Flickr | Byline: Neville Walsh (National Herbarium of Victoria),"Environment:Conservation:National Parks,",ABC Riverina NSW,NSW,Jindabyne,"Kosciusko National Park, orange hawkweed, steve austin, pete turner, national parks",-36.418,148.6231,http://www.abc.net.au/local/photos/2014/12/10/4145947-mediarss.xml, With the help of a new canine assistant authorities hope to thwart orange hawkweed attempts to spread across Australia alpine region In NSW we only have 04 of a hectare  of hawkweed  but we have 04 of a hectare across a large wilderness area and what we're trying to do with this weed is eradicate it fully remove it before it becomes the next serrated tussock Pete Turner from the Pest Management Unit at the NSW National Parks and Wildlife Service told ABC Riverina Chris Coleman You might think this is just a small daisy but it has these runners that put out daughter plants next to each other and they form this monoculture and what they also do is put chemicals into the soil which excludes other plants Mr Turner said A European native the weed was most likely introduced as a garden plant in Tasmania in the early 20th century It has gained a hold in and subsequently ruined vast tracts of land in North America and New Zealand In New Zealand they've seen it replace a lot of other weeds a lot of native species a lot of pasture species so it very competitive Mr Turner said Particularly in alpine areas the weed competes with native plants and disrupts local ecosystems filling the spaces between grass tussocks that are necessary for the regeneration and survival of native species according the NSW Department of Primary Industries Its other names include devil paintbrush red devil and grim-the-collier The plant spreads through its runners and on the wind but can also be carried on ski equipment between Australian resorts and overseas The threat it poses to Australia native wildlife has called for innovative measures from authorities Dog trainer Steve Austin specialises in wildlife conservation and protection He has spent the last 12 months training his English springer spaniel to sniff out individual hawkweed plants growing within the alpine expanse that is Kosciuszko National Park At first he was worried the dog would not be able to discriminate between different weeds I mean the dog could easily find odour - that was an easy part But to discriminate between all the other weeds that were growing that was going to be my problem as a trainer he said But as usual and always they proved me wrong and the dog at this point in time is going quite well He admits the idea of using dogs to hunt a pest weed is new and suggests it is innovative of Parks and Wildlife to consider the option It is too early to judge but if using the dog is a successful approach authorities hope orange hawkweed might be totally eradicated from Kosciuszko National Park,"images/0020.png"
