Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Alice Springs photographer helping refugees after rare desert event,http://www.abc.net.au/local/photos/2014/12/10/4146313.htm,10/12/2014,http://www.abc.net.au/reslib/201412/r1367245_19259943.jpg,Looking east over Alice Springs from the top of Anzac Hill,Copyright: Unspecified | Source: with permission | Byline: Peter Carroll,"Weather, Weather:Phenomena, Weather:Storm,",ABC Alice Springs,NT,Alice Springs,"storm, cloud, alice springs, photography, sky, landscapes, desert, news, storm,",-23.6989,133.8829,http://www.abc.net.au/local/photos/2014/12/10/4146313-mediarss.xml, Cloud magic A recent light show in the desert town is helping support refugees in Uganda The stunning cloud formations were photographed within a 20 kilometre radius of Alice Springs over about three days Mr Carroll is now selling prints of the images via his Facebook page to help raise funds for projects in Uganda including bedding for orphans at the Rwamwanja Refugee Camp in Western Uganda There are  thousands of  people in this refugee camp and there about four groups of orphans and unaccompanied minors that live in pretty atrocious conditions he says They've got a large white UNHCR tent and they've built beds out of sticks and they just sleep on sticks and cardboard when they can find it Mr Carroll and his family spent four weeks volunteering in Uganda last year and visited the camp during that time With the help of non-profit organisation Street Swags money raised from the sale of the images will be used to deliver durable bedding for the children Peter son Xaver has also raised money for the Kamwenge Youth Soccer Team in the same district Xaver and schoolmates Coco Cavalier Toby Roberts and Samual De Graaff busked in Todd Mall raising $700 dollars for boots shinpads gloves and balls Cloud magic in the desert</strong> Mr Carroll says he hasn't seen weather conditions like this in the region for about eight years We often get big dumps of rain but we don't get amazing cloud formations every afternoon he says The rain sort of spreads across the sky and filters the light so beautifully It changes so rapidlyyou get these beautiful dark parts then you've got blue sky behind that and orange colours coming through all at the same time around one storm Funds raised from the sale of the images will also be directed towards other projects in Uganda including infrastructure for a local school,0091.png
Colourful quilts delight in Alice Springs,http://www.abc.net.au/local/photos/2014/11/03/4120697.htm,3/11/2014,http://www.abc.net.au/reslib/201411/r1350781_18920019.jpg,"'Quilt Police' by Liz McAinsh, Marilyn Hall, Mavis Wright, Barb McIlvain and Elizabeth McCallum",Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Arts and Entertainment:Design, Arts and Entertainment:Design:Craft,",ABC Alice Springs,NT,Alice Springs,"elizabeth mccallum, alice springs quilting club, quilts, quilting, araluen, arts, crafts, sewing",-23.6989,134.1829,http://www.abc.net.au/local/photos/2014/11/03/4120697-mediarss.xml, A diverse array of quilts from all over the Northern Territory is on show at the Araluen Arts Centre The quilts were judged last week and Elizabeth McCallum a member of the Alice Springs Quilting Club won the Best of Show for her work Chinese Coins for Tigers which she made in just three weeks The border print is a tiger print and I've used some tigers throughout the surface of the quilt she said It a chinese coin quilt which means that you just use scraps of fabric and put them together with sashing The winning quilt will now compete against Best of Show winners from every state and territory at the 2015 Australasian Quilt Convention in Melbourne It the ultimate accolade when it comes to quilting Ms McCallum said If you win Best of Show for Australia it means that your quilting is par excellence! Ms McCallum who grew up on a farm in South Australia north said mistakes were hard to avoid when first starting out Most people are not careful enough with their cutting out she said Our blocks must be cut accurately otherwise when you put them together you sit there and swear quite volubly that they're not matching! Other works in the exhibition included a range of quilts commemorating the Darwin Patchwork and Quilting Club 30th anniversary quilted dolls houses and a quilt depicting spring in central Australia There was also a group quilting effort called the Quilt Police that depicted five women poring over a colourful quilt We made a little quilt that had oodles of mistakes in it Ms McCallum said One person is noting all of the issues and the rest of us are measuring examining cutting off threads The Alice Springs Quilting Club was formed in 1981 and currently has about 50 members The 2014 Territory Quilting exhibition is on at Witchettys at Araluen Art Centre until Saturday November 8 Admission is free,0318.png
Aboriginal contribution to pastoral industry honoured,http://www.abc.net.au/local/photos/2014/09/18/4090406.htm,18/09/2014,http://www.abc.net.au/reslib/201409/r1331304_18631884.jpg,Fred Edwards is one of more than 300 Aboriginal former pastoral workers who shared their stories for researcher Delyna Baxter,Copyright: Unspecified | Source: Supplied | Byline: Delyna Baxter,"Community and Society:History, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Rural, Rural:Pasture",ABC Alice Springs,NT,Alice Springs,"alice springs, news, australian stockman's hall of fame, cdu, indigenous, aboriginal,",-23.6989,133.4829,http://www.abc.net.au/local/photos/2014/09/18/4090406-mediarss.xml, More than 300 Aboriginal station workers have shared their stories for an exhibition honouring the role they played in pastoral history Researcher Delyna Baxter has spent thousands of hours travelling through remote northern Australia speaking to men and women who worked on stations throughout northern Australia I was welcomed with open arms everywhere I went said Ms Baxter People were really interested in talking to me and wanting to share their stories The interviews will form the basis of a permanent exhibition at the Hall of Fame which will celebrate the lives and contribution of Aboriginal people to the pastoral industry Located in the Queensland town of Longreach the hall currently has five galleries celebrating Australia outback heritage but none dedicated to Aboriginal workers I was on the road about three-and-a-half years she said I mainly only travelled in the winter and the dry season and it was totally amazing actually I saw a lot of country Ms Baxter said many of the stories she heard were difficult to hear Men whose fathers had gone off to war so at a very young age they had to go out and work to support the family stories of people being born to Aboriginal mothers and white fathers and not being accepted by their white fathers Stories like that which were quite sad But Ms Baxter said most of the men and women she spoke with were positive about their time as pastoral workers I found that the attitude of Aboriginal people to their life on stations was that they enjoyed their time there she said It out there in the literature that Aboriginal stockmen were regarded as the best so therefore they had that sense of pride that they were appreciated for what they did This pride was reflected in many of the old ringers dressing up for the interviews They all brought out the old hat and in some cases they brought out the new one because you've got to have your going to town hat and then you've got the mustering the cattle hat she said Often a lot of the men who'd been in the rodeos who'd won big belt buckles they'd wear those and the jeans and the boots I did actually have a couple of marriage proposals by men in their eighties! The research has lead to a PhD which Ms Baxter is currently completing at the Alice Springs campus of Charles Darwin University There was such a lot of information that I'd collated so I approached the hall and asked them if they would allow me to use some of the themes that came out to create a PhD I want to look at all those stories and build a bigger picture of what life was like The exhibition at the Stockman Hall of Fame is due for completion next year and Ms Baxter said she is excited at the prospect of it I have grown an emotional attachment to a lot of the people whose stories I collected and I am really looking forward to it for them and their families and also for that part of history that been missing she said,0563.png
Camp dog program success,http://www.abc.net.au/local/photos/2014/08/25/4073940.htm,25/08/2014,http://www.abc.net.au/reslib/201409/r1324738_18379251.jpg,This puppy in the community of Ampilatwatja is benefitting from a new animal health program,Copyright: Unspecified | Source: AMRRIC | Byline: John Skuja,"Science and Technology:Animals,",ABC Alice Springs,NT,Tennant Creek,"dogs, camp dogs, alice springs, darwin, amrric, vets, barkly, indigenous, communities, campdog, campdogs, news, tennant creek, barkly",-19.6523,134.1882,http://www.abc.net.au/local/photos/2014/08/25/4073940-mediarss.xml, A pilot program to improve the lives of camp dogs is having a big impact in the Barkly region The not-for-profit organisation Animal Management in Rural and Remote Indigenous Communities (AMRRIC) rolled out the program in 2012 in response to the vexed issue of sick camp dogs on Indigenous communities Project manager for AMRRIC Animal Management Worker Project Dr John Skuja said the results have been particularly noticeable in communities in the Barkly In the Barkly region there was no real effective program running whatsoever so the difference has been enormous he said Up to 90 per cent of the female dogs are  now  desexed so you don't see a lot of the juvenile mangy unwanted dogs running around and every dog pretty much is owned and looked after by an individual or a family So it been good for the dogs good for the people and good for the overall atmosphere in the community The Animal Management Worker program employs Indigenous workers to act as liaisons between the vets and the community The workers also perform vet nursing tasks data collection and play a role in community education Dr Skuja said the continuity of the workers and their relationships with community members is the key to the program success If you've got local people who are employed and who are going to stay here they know the story  and  it that familiarity that makes people happy and comfortable and more likely to get on board get their dogs desexed and feel comfortable if they do want a dog euthanased he said Scott Spurling 24 is one of two animal management workers employed by the Barkly Regional Council and regularly visits communities including Ali Curung Arlparra and Ampilatwatja When we first started we'd go out with two vets and we were doing over a hundred dogs a week he said Now we're struggling to get 10 dogs a week because all the work is done They all look healthy it makes you feel good that you're part of a program that actually works Sam Hodges Animal Control Ranger for the Barkly Regional Council said the program has also resulted in health benefits for people living on the communities There been a huge decrease in skin complaints in some communities over 50 per cent he said Cheeky dogs can sometimes be a problem but workers are receiving training in dog handling and AMRRIC sends out education officers to schools and communities to teach proper dog care and handling In Arlparra community on a recent visit all the kids got up and washed their hands under the tap after playing with their dogs The project currently employs eight Aboriginal animal management workers (AMWs) across the East Arnhem Roper Gulf and Barkly regions of the Northern Territory AMRRIC will mark its 10 year anniversary with a conference in Darwin on 23 - 25 September,0712.png
Early Aboriginal drawings showcased at the National Museum,http://www.abc.net.au/local/photos/2014/08/14/4066967.htm,14/08/2014,http://www.abc.net.au/reslib/201408/r1316179_18164106.jpg,"Paddy Japaljarri Stewart drawing at Warlukurlangu Artists Association, Yuendumu, 2011",Copyright: Unspecified | Source: Reproduced with permission | Byline: Vanessa Bertagnole,"Community and Society:History:20th Century, Community and Society:History, Community and Society:Indigenous (Aboriginal and Torres Strait Islander),",ABC Alice Springs,NT,Alice Springs,"alice springs, news, canberra, nma, national museum australia, warlpiri, indigenous, art, anthropology, history,",-23.5989,133.5829,http://www.abc.net.au/local/photos/2014/08/14/4066967-mediarss.xml, An exhibition of crayon drawings show the perspective of Aboriginal people newly transported to a settlement in central Australia Warlpiri Drawings Remembering the Future showcases a collection by anthropologist Mervyn Meggett who spent 10 months collecting drawings from Warlpiri people in the early 1950s Mr Meggett was living in the new government settlement of Hooker Creek (now Lajamanu) and working with Warlpiri people relocated from their traditional lands Guest curator of the exhibition Dr Melinda Hinkson said the collection is an important one  Meggett  was collecting drawings from Warlpiri men and women just months after they'd been trucked up to that settlement so the drawings that were made in that time are incredibly interesting and important she told ABC Nadine Maloney Dr Hinkson said the works predate the Aboriginal art movement by several decades and have little in common with the dot painting style that Warlpiri art is now known for  The drawings  depict country they depict animals they depict the new government settlement and they depict experiments with the medium of drawing itself she said Included in the exhibition are drawings given to well known anthropologist Olive Pink by Warlpiri people in the 1930s and works by children at Yuendumu School in the 1960s More than 20 Warlpiri people attended the exhibition opening in Canberra including the Chairman of the Warlukurlangu Artists Aboriginal Corporation (in Yuendumu) Otto Sims We are really proud and happy to share with everyone these drawings made a long time ago by our elders he said We hope that these drawings will help people understand what Aboriginal people went through during the early years of first contact,0853.png
The five weirdest bugs in Australia's Top End,http://www.abc.net.au/local/photos/2014/07/04/4039331.htm,4/07/2014,http://www.abc.net.au/reslib/201407/r1298502_17739910.jpg,Australian tiger beetle is the world's fastest runner for its size.,Copyright: Unspecified | Source: Used with permission | Byline: Graham Brown,"Science and Technology:Animals:Invertebrates - Insects and Arachnids,",ABC Darwin,NT,Darwin,"insect, fastest runner, quickest, Australian tiger beetle, giant fish killer, giant stick insect, goliath stick insect, atlas moth, bird eating spider",-12.4668,130.8433,http://www.abc.net.au/local/photos/2014/07/04/4039331-mediarss.xml, Think you know the world fastest runner? Here is a clue It isn't Usain Bolt it is an Australian insect The tiger beetle moves at what seems a modest 9km/h but when you consider how quickly its little feet move you realise just why it is recognised as the quickest runner If scaled up to human size it would be running at 770km/h more than 20 times faster than Olympic sprint king Usain Bolt I have seen them near the mouth of Rapid Creek on sand I have seen them in national parks around the place says entomologist Dr Graham Brown He says they are hunters and nature has given them such speed so they can catch other invertebrates They prey on other invertebrates so they need to be able to catch them he explains from home in Darwin suburbs The tiger beetle is just one of the unusual insects that make the Northern Territory Giant fish killer You may think of insects landing in your food or nibbling your plants but one 10cm bug that lives in waterways feeds on fish tadpoles and other aquatic creatures Looking like a cockroach on steroids the giant fish killer - yes that is its official name - has two large pincers and a beak-like mouth it uses to catch unsuspecting fish Basically they will hang just below the water surface amongst a bit of weed and a fish or a tadpole or something comes past doesn't know it is there and suddenly it will just grab it impale it on the spines stick the mouth parts in and start sucking Dr Brown says They are found across the Top End but can't differentiate between light on car park puddles and actual streams so often are seen lying around on bitumen after it rains Bird eating spider Australia largest spider is the bird-eater and it is the sort of critter you wouldn't want to come across True to its name it occasionally catches small birds to eat and is one of several aggressive spiders found across northern Australia With a legspan that can reach 16cm it has enough venom to kill a dog or make a person very sick and tends to live in burrows on the ground rather than in noticeable webs Sometimes called barking or whistling spiders you may hear one of these spiders long before you see it They usually stick to their burrows that can be one metre deep but do come out sometimes during heavy rain Birds aren't their preferred food but frogs toads and large insects should watch out Atlas moth Australia second largest moth the atlas moth is the size of a dinner plate it is hard to forget if ever you have seen one With broad wings with reddish-brown markings the atlas moth used to exist in Darwin but became locally extinct decades ago The moths are now only located in some parts of the Top End and in the Kimberley in Western Australia As well as being spectaculr to see in some parts of the world they are harvested for their silk while in Taiwan their cocoons are turned into purses Goliath stick insect One of the longest insects in the world is the goliath stick insect but you don't often see it unless you are an avid tree climber or are lucky enough to spot one that has been blown onto the ground Coloured bright green it blends in well with its surrounds and is usually found hanging out high on acacia trees Reaching a foot long the insects have long claws and while they can give you a nasty nip they aren't dangerous to people preferring to munch away on leaves They are a leaf eater explains Dr Brown He said they could give a nasty bite but don't nip unless scared and are safe to people Join the Facebook discussion on the Top End weirdest bugs     The Northern Territory is home to many of Australia largest fastest and scariest bugs,1071.png
Harmony event full of surprises,http://www.abc.net.au/local/photos/2014/05/31/4016257.htm,31/05/2014,http://www.abc.net.au/reslib/201406/r1284151_17413850.jpg,Moses Ligavatu from Fiji made quite an impression,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Community and Society, Community and Society:Multiculturalism,",ABC Alice Springs,NT,Alice Springs,"harmony day, alice springs, multiculturalism, news, fiji, mcsca,",-23.8989,133.6829,http://www.abc.net.au/local/photos/2014/05/31/4016257-mediarss.xml, Culture came alive on the council lawns over the weekend for the Big Day Out in Harmony The Big Day Out in Harmony was held on the council lawns over the weekend an event celebrating the broad range of cultures we have here in Alice Springs While last year standout were a group of very energetic Southern Sudanese dancers  this year it was Fiji that stole the show Dancer Moses Ligavatu representing the newly formed Fijian Association of Alice Springs made quite an impression jumping off the stage at one point to perform directly in front of the crowd We are very proud to share our traditional dances says President of the association Ivamere Motonicocoka This is the first time I've  come to  a multicultural gathering it really good to show our culturewe are proud to be Fijian Also taking part in the event was the Alice Springs Malayalee association (representing the Indian state of Kerala) Children performed a variety of Bollywood dances as well as more traditional performances President Jacob Koshy says there are about 130 Malayalee families in Alice Springs and they often hold performances for each other I think this is probably the first time they've put it out to the wider community he says  It  something we want to see much morewhere not just our community enjoys our dance but people from the local community also get the opportunity The Big Day Out in Harmony was presented by the Alice Springs Town Council and Multicultural Community Services of Central Australia (MCSCA)     A diverse array of cultures on show at the Big Day out in Harmony,1249.png
Bass in the Grass 2014,http://www.abc.net.au/local/photos/2014/05/26/4011872.htm,26/05/2014,http://www.abc.net.au/reslib/201405/r1280964_17342087.jpg,Enjoying Bass in the Grass 2014.,Copyright: ABC | Source: ABC Local Radio | Byline: Kate O'Toole,"Arts and Entertainment:Music,",ABC Darwin,NT,Darwin,Bass in the Grass 2014,-12.6668,131.3433,http://www.abc.net.au/local/photos/2014/05/26/4011872-mediarss.xml, Nearly 7000 people attended Darwin music festival Bass in the Grass on Saturday Organisers were happy with the crowd of 6883 just shy of the venue 7000 capacity Among those on show were lesser known bands OK Kaleidoscope a group of Darwin high school students which had won the Battle of the Bands group performance and solo winner Michael Lindsey who is from Alice Springs Police said that overall the event was successful although an 18-year-old man who was drunk and being ejected from the venue punched officers getting one in a headlock and causing the policeman to collapse The policeman was taken to hospital but did not suffer any serious injuries The teenager is facing charges including assault resisting police and disorderly conduct,1290.png
Dogs on show in shelter fundraiser,http://www.abc.net.au/local/photos/2014/05/18/4006867.htm,18/05/2014,http://www.abc.net.au/reslib/201405/r1277569_17270585.jpg,'Gwapa' the Superdog makes an appearance at the weekend's Pets on Parade event,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Community and Society, Community and Society:Charities and Community Organisations, Science and Technology:Animals,",ABC Alice Springs,NT,Alice Springs,"pets on parade, alice springs town council, rspca, community, dogs,",-23.9989,134.1829,http://www.abc.net.au/local/photos/2014/05/18/4006867-mediarss.xml, Penny the poodle was one of dozens of dogs who frocked up for the Pets on Parade event in Alice Springs Around a hundred people and their pooches attended Pets on Parade on Sunday an annual fundraiser for the Alice Springs Animal Shelter (RSPCA) After a march down Todd Mall dogs (and their owners) competed for awards in categories including Best Shelter Dog Cutest Pet and Look-a-Like Quite a few were vying for the coveted Best Dressed award and local dog groomer Anne Marie provided plenty of inspiration I have Max a Malteze Shih Tzu and I do him black and white with a little goatee and a mohawk and I have Maxine who I do in shocking pink with her mohawk she says I absolutely love my animalsit been my life I've been grooming for 37 years and I wouldn't trade it for the world Later in the morning there was an exhibition by the Alice Springs Obedience Dog Club and a Dunk-a-Ranger event courtesy of the Alice Springs Town Council rangers The big winners of the day were Mikayla Thomas with her dog Mip who took out four awards including Best Dressed and Best on Parade Mip and Mikayla were dressed as devils She fun and fluffy and playful says Mikayla I'm very proud of her Ranger manager Kevin Everett says the event is all about responsible pet ownership and fun It a great public eventpeople love showing off their animals and it just the best thing for social interaction for the pets and the people he says Shelter Manager of the Alice Springs RSPCA Jill Hall says the organisation relies on the community to survive All the money that given to us is from the Alice Springs community which makes it special because it their shelter then she says We've re-homed quite a lot of dogs and cats over the past month which is really good but there always more there     Hear from some dedicated owners of Alice Springs best dressed pets,1331.png
Tuyu Buffaloes triumphant at Tiwi grand final,http://www.abc.net.au/local/photos/2014/03/17/3964509.htm,17/03/2014,http://www.abc.net.au/reslib/201403/r1250172_16650419.JPG,The triumphant Tiwi Buffaloes win the Tiwi Islands grand final,Copyright: ABC | Source: ABC | Byline: Caddie Brain,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Sport:Australian Football League,",ABC Darwin,NT,Nguiu,"afl, football, tiwi islands, buffaloes, magpies, game, bathurst, indigenous",-11.75,130.6333,http://www.abc.net.au/local/photos/2014/03/17/3964509-mediarss.xml, Not even transport troubles and a cyclone threat could put a dampener on Tiwi Islands grand final day They retainied an early lead winning the game by 16 points 139 (87) to 115 (71) The game took place on Bathurst Island one of the larger of the Tiwi Islands situated about 80km to the north of Darwin where the Arafura Sea joins the Timor Sea Eight teams compete in the Tiwi Islands Football League and with a population of just 2500 people the participation rate in the sport is thought to be the highest in the country To state the obvious the Tiwis love their football and they're not afraid to show it The crowd began roaring from the second the teams ran onto the ground and didn't stop But for many punters it was almost the grand final they missed For the first time in Tiwi history three ferries were to service the island in a single day bringing visitors to the game and art fair But a problem with the barge engine left passengers stranded on the first ferry for more than an hour While a tinny managed to get them ashore a few at a time it delayed the next two ferries and some people chose not to risk coming And then of course there was a cyclone warning thrown in the mix and the threat of heavy rain Not that it would have made much difference to some Our footy here is like a religion one Warumungu resident Dulcie explains People here don't care if it rains or not they usually sit under the rain and watch the game But in the hour before the game the cloud parted the sun baked down on the freshly cut grass and many fans facepaint began to run It was just as it was meant to be     Caddie Brain reports from the deafening Tiwi Islands footy grand final,1642.png
Airborne couple capture the outback,http://www.abc.net.au/local/photos/2014/01/02/3919867.htm,2/01/2014,http://www.abc.net.au/reslib/201401/r1220737_15993472.jpg,"Gnarled skeletons, Sturt Stony Desert, South Australia.",Copyright: ABC | Source: Supplied | Byline: Richard Green,"Arts and Entertainment:Photography, Business, Economics and Finance:Industry:Air Transport, Environment, Human Interest:People",ABC Goulburn Murray,NT,Darwin,"abc, abc goulburn murray, richard green, art, photography, helicopter, aviation, australia, environment, outback,",-11.9668,131.2433,http://www.abc.net.au/local/photos/2014/01/02/3919867-mediarss.xml, After retiring 20 years ago Richard Green decided he wasn't done - so he and wife Carolyn got their helicopter licences and became Australian landscape photographers Keep imagining and you might then roll over and see a helicopter - the helicopter that you piloted there to photograph the stunning natural beauty around you That been the life of landscape photographer Richard Green for the last several decades After selling his business for a substantial amount and retiring about 20 years ago Mr Green decided to get his helicopter pilot licence The Englishman said he'd been to Australia before and loved the bush I think I blame it on Crocodile Dundee because when I saw that film and I saw what that guy was getting up to I thought That for me he said Since then he and wife Carolyn (who also has her pilot licence) have flown themselves to all corners of Australia to pursue the art Locations in Arnhem Land the Kimberly Lake Eyre and the Tasmanian mountains are just some of those Mr Green has scouted from his airborne vantage point The photos themselves are panoramic colourful and when displayed in galleries enormous in size Many of them are up to four metres long so a typical four metre photograph would be probably 10 individual photographs taken with a 21 megapixel high definition camera he said Those photographs are then joined together to make a panorama which usually would go about 180 degrees The scientist and conservationist says he hopes his photographs convey an environmental message to the audience I'm hoping that people will see these images and realise that the environment out there really is very beautiful and hence worth protecting he said An exhibition of Richard Green photography is showing at the Wangaratta Art Gallery until 27th January     Landscape photographer Richard Green has been flying himself and wife Carolyn around Australia by helicopter for the last 20 years,2010.png
