Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Indigenous student from outback Queensland wins international modelling prize,http://www.abc.net.au/local/photos/2014/10/01/4098040.htm,1/10/2014,http://www.abc.net.au/reslib/201410/r1336129_18613089.JPG,"Venessa Harris, 12, with her mother Karen Monaghan and her grandmother, Lyn Harris.",Copyright: ABC | Source: Contributed | Byline: Tamblyn Models,"Arts and Entertainment, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Human Interest:People,",ABC Western Queensland,QLD,Windorah,"venessa harris, karen monaghan, modelling, model, aboriginal, indigenous, tamblyn models, way out west fashion quest, native title, Wangkangurru-Yarluyandi, ash moore, blythe moore, abc western queensland, birdsville, windorah, brisbane",-25.4234,142.6554,http://www.abc.net.au/local/photos/2014/10/01/4098040-mediarss.xml, The mother of a 12-year-old Indigenous student who has won a major modelling prize says it is really special for Aboriginal culture to be represented in the fashion industry The competition run by Tamblyn Models awards the winner a three-year modelling contract and a chaperoned overseas trip to investigate industry opportunities Venessa mother Karen Monaghan says she was gobsmacked when her daughter name was called as the major winner I really just didn't know what to do until the last minute until they said her name I couldn't think that it was going to be her Ms Monaghan said We just all lost the plot and screamed the house down it was extremely emotional and overwhelming for  Venessa grandmother  It was a really strange feeling Ms Monaghan says she knows of only a handful of Indigenous models in Australia which makes Venessa achievement even more extraordinary There literally half a dozen  Indigenous models  that we could find so it really special for us to be able to represent our culture in this area she said It huge for the Wangkangurru-Yarluyandi people our whole family is talking about it it a huge thing for a 12-year-old Aboriginal girl She says it is a particularly special time for her people with a native title determination happening this week in Birdsville in south-west Queensland A spokesperson from Tamblyn Models says Venessa will be involved in training development and other age-appropriate activities until she is considered old enough to participate in the chaperoned overseas trip Venessa is the youngest entrant in the competition 26-year history to take out the major international prize She won the Way Out West Fashion Quest held in Longreach in July which automatically qualified her to enter the Brisbane competition,"images/0001.png"
Construction well underway on 'awe-inspiring' Yeppen crossing,http://www.abc.net.au/local/photos/2014/12/04/4142510.htm,4/12/2014,http://www.abc.net.au/reslib/201412/r1364775_19208653.jpg,"A domestic aircraft passes by the Yeppen South Project piles. Almost 1,300 piles have been driven into the ground as part of the $296 million project.",Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Road Transport, Disasters and Accidents:Floods,",ABC Capricornia,QLD,Rockhampton,"Yeppen South Project, Yeppen, Rockhampton, floods, Department of Transport and Main Roads, construction",-23.3782,150.5106,http://www.abc.net.au/local/photos/2014/12/04/4142510-mediarss.xml, It will be the longest bridge on the Bruce Highway when it is completed and principal engineer Gavin Hill says it is awe-inspiring In 2011 major flooding cut roads around Rockhampton essentially splitting northern Queensland from its southern half But with the new road more than three metres above the original the project will prepare the Bruce Highway for a one-in-100-year flood event Mr Hill says there are nearly 1300 piles that will be driven into the ground They're very awe-inspiring standing up so close and realising they've got to go nearly 35 metres in length into the ground he said Mr Hill says they hope to complete the project by the beginning of 2016,"images/0002.png"
Lake Nash Station: Snapshots of 2014,http://www.abc.net.au/local/photos/2014/12/22/4153153.htm,22/12/2014,http://www.abc.net.au/reslib/201412/r1371454_19348314.jpg,"The sun sets on another day on the land, overlooking the homestead at Lake Nash.",Copyright: ABC | Source: Contributed | Byline: Saul Goodwin,"Arts and Entertainment:Photography, Disasters and Accidents:Drought, Human Interest:People, Rural",ABC Western Queensland,QLD,Mount Isa,"fred hughes, sarah hughes, saul goodwin, lake nash station, cattle, photograph, image, photography, picture, drought, aboriginal community, aboriginie, Alpurrurulam, indigenous, Kennis Campbell, Georgie Whatmore, Ed Ross, Ian Campbell, Aaron Land, Harry Buckley, blythe moore, abc north west queensland, abc western queensland, isa, queensland, northern territory,",-20.7287,139.4897,http://www.abc.net.au/local/photos/2014/12/22/4153153-mediarss.xml, For many graziers 2014 has been an incredibly difficult year with the drought continuing its devastating grip on the land But despite the challenges the bush landscape continues to produce moments of breathtaking beauty Photographer Saul Goodwin spent some time at Lake Nash Station this year on the border of Queensland and the Northern Territory and snapped these compelling shots of life on the land Sarah said as they wrap up 2014 they have a skeleton crew on deck holding the fort until the rain rolls in We've been lucky to receive a few good storms  at the  end of November early December so we're off to a start at Lake Nash with a few dams already full and green shoots in some paddocks she said We're definitely optimistic and hoping for a wet Christmas  I rain dance a lot,"images/0003.png"
Summer rain brings hope to western Queensland farmers,http://www.abc.net.au/local/photos/2014/12/30/4155749.htm,30/12/2014,http://www.abc.net.au/reslib/201412/r1373322_19390815.jpg,"Talk to a farmer and they'll be quick to remind you a few inches of rain won't put the prolonged drought to an end. But recent rain has seen green 'pick' spread throughout western Queensland and, in some cases, dry creek beds are running for the first time in years.",Copyright: AAP | Source: Used with permission | Byline: Marie Bright,"Disasters and Accidents:Drought, Environment, Rural, Weather",ABC Southern Queensland,QLD,Surat,"drought, rain, creek, dry, surat, queensland, water,",-27.1545,149.0669,http://www.abc.net.au/local/photos/2014/12/30/4155749-mediarss.xml, Many parts of the sunshine state have been drought declared for more than a year but recent rain has seen some dry creek beds start to flow again We live from one rain to the next she said It something you learn to manage over the years And it amazing to watch and listen to the water It is the sound of life; the lifeblood of the country Marie says rain was at the top of everyone Christmas wish list It hasn't broken the drought by any means but it gives a bit of hope she said Share your rain photos with ABC Southern Qld via Twitter,"images/0004.png"
Woodford Folk Festival broadcast: a variety show on steroids,http://www.abc.net.au/local/photos/2014/12/19/4152082.htm,19/12/2014,http://www.abc.net.au/reslib/201412/r1370779_19334240.jpg,"Mary-Lou Stephens says the broadcast will be ""the place to be; we have a really good mix and a really good flow.""",Copyright: ABC | Source: ABC | Byline: Jess Hinchliffe,"Arts and Entertainment:Events:Carnivals and Festivals, Community and Society:Community and Multicultural Festivals,",ABC Sunshine & Cooloola Coasts Qld,QLD,Woodford,"Woodford Folk Festival, Mary-Lou Stephens, ABC broadcast, New year's eve, Rob Blackmore, Kylie Auldist,",-26.9556,152.778,http://www.abc.net.au/local/photos/2014/12/19/4152082-mediarss.xml, The ABC is gearing up for another energy-packed broadcast from the Woodford Folk Festival this year Presenter Mary-Lou Stephens says it is shaping up as one of the best yet I explain to our guests that you have to be in two frames of mind she said You have a live audience in front of you but you also have to be aware that this is going out on radio where people can't see what going on The trouble is her advice will be difficult to heed for one of her favourite performers of the day - Mario Queen of the Circus a young slim Freddy Mercury look-alike who performs circus skills to Queen songs But Mary-Lou says the solution is obvious This year  ABC Sunshine Coast Breakfast  Rob Blackmore will do a live commentary explaining to listeners how  Mario  is juggling his balls to Another One Bites The Dust she said Mary-Lou says the previous ABC broadcasts from Woodford have been hugely popular because they have condensed the best performers of the festival into a two-hour program The big difference with this broadcast is the high turnover and the high volume of guests and musical guests she said It a challenge for the musicians because they have to be able to set up quickly with no soundchecks play songs then have a chat with me; it like a variety show on speed On the bill Mary-Lou says the show will be recorded at Bill Bar from noon on December 30 and will attempt to mirror the festival unique atmosphere It the vibe of the festival and that to me is the most important thing she said Even chilling out at Woodford is an experience; sitting around a tree and knowing you're in this magical place surrounded by all these fabulous people The broadcast will include the soulful voice of Bamboo singer Kylie Auldist folk singer-songwriter Kristina Olsen and legendary Warumpi Band member Neil Murray The New Orleans-inspired Brass Knuckle Brass Band and modern folk group Black Market Tune will also perform Mary-Lou will get an insight into a digital life from Tubby the Robot and hear why astrophysicist Tamara Davis is obsessed with hoverboards She will also meet New Zealand national treasures the Topp Twins and talk to journalist Nigel Brennan who was held captive by Somali militants for 462 days in 2008-2009 And they are just a few of the 30 guests on offer To be part of ABC National NYE Broadcast from the Woodford Folk Festival tune in to your <div id=twitter_dunnart_wrapper><a class=twitter-timeline href=https//twittercom/search?q=woodfordff data-widget-id=278753941460754432>Tweets about woodfordff !function(dsid){var jsfjs=dgetElementsByTagName(s) 0 ;if(!dgetElementById(id)){js=dcreateElement(s);jsid=id;jssrc=//platformtwittercom/widgetsjs;fjsparentNodeinsertBefore(jsfjs);}}(documentscripttwitter-wjs);</script>,"images/0005.png"
Bargara celebrates with happy new beer,http://www.abc.net.au/local/photos/2014/12/30/4155716.htm,30/12/2014,http://www.abc.net.au/reslib/201412/r1373272_19389690.JPG,"Alex Pretorius, Jack Millbank and Tim Hill are all smiles at the launch of their new brewery.",Copyright: ABC | Source: ABC Wide Bay | Byline: Ross Kay,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Industry:Food and Beverage, Business, Economics and Finance:Industry:Tourism",ABC Wide Bay Qld,QLD,Bargara,"news, beer, bargara brewing company, bundaberg, tourism, craft beer",-24.8163,152.4615,http://www.abc.net.au/local/photos/2014/12/30/4155716-mediarss.xml, It sounds like the set-up to a joke A vet a lawyer and an agronomist meet under a tree most Sunday afternoons After consuming a fair amount of amber ale they came up with the idea to start their own brewery We're just mates from Bargara and we started off by having a regular Sunday session under a fig tree out the back of Alex place and that where this idea was born Tim said the vet of the group Jack started all of us off tasting a few craft beers and commenting on the different beers and how they tasted That went on for probably 18 months or so and over a few of these sessions we decided that tasting craft beer was probably the wimps way out and we better get serious So we started germinating the idea of starting a brewery And so the Bargara Brewing Company was born; on the logo it says established 2014 and the trio can't help but smile when talking about what the future holds To own a brewery is almost every man dream It mine! Jack said laughing We're a motley crew; Hilly is a vet I'm an agronomist and Alex is a lawyer so we've all got different strengths and everything just came together My background is in fermentation for agriculture and I also work in agronomy We started research into the different hops varieties that we could use identifying the different styles of beers that might be suitable or that we liked At this stage the beer is brewed in hired vats in an existing brewery but the plan is to build a factory in the Bundaberg region as well as brew house which will serve as a shop front The group hope to showcase the produce of the area in order to tap into the existing beverage-related tourism market in Bundaberg The trend worldwide is to move towards better quality beers better quality foods and better quality wines Alex said In this area where we're renowned for our food fresh produce rum and ginger beer; it just something that compliments the rest As for the name of their first beer; they imagined the ancient mariners that annually visit the beaches around the region had built up a real thirst after their long journey The most fun to be honest was coming up with the beer names Jack said We joke about how far these poor turtles had to have swum to come all the way to Mon Repos So we figured they've got to be absolutely parched by the time they arrive We  also  want to contribute some of the revenue from the sale of the beer towards conservation and that paired in pretty well,"images/0006.png"
Woodford Folk Festival embraces 17 years of rock'n'roll,http://www.abc.net.au/local/photos/2014/12/24/4154331.htm,24/12/2014,,,,"Arts and Entertainment:Events:Carnivals and Festivals, Community and Society:Community and Multicultural Festivals,",ABC Sunshine & Cooloola Coasts Qld,QLD,Woodford,"Darren Middleton, Bill Hauritz, Woodford Folk Festival",-26.4556,152.678,http://www.abc.net.au/local/photos/2014/12/24/4154331-mediarss.xml, Former Powderfinger guitarist Darren Middleton will take to the Woodford Folk Festival stage as a solo artist on the event first and second days this year It has been 17 years since he last played the event in support of one of Australia greatest rock bands Darren says his memories of the event are sketchy I can't really remember when we played he said Midnight Oil were playing as well and we thought who cares about our set let check their set It was amazing Woodford evolution The concert drew over 20000 people - the largest crowd in the event history - but was not seen in a good light by many reviewers who believed it had changed the face of the event forever The Woodford Folk Festival was in its 11th year had just changed its name from the Maleny Folk Festival and was finding its feet amongst the line-up of larger festivals like the Big Day Out and the Livid Festival Lismore newspaper The Northern Times railed against the festival choice of headline acts saying the mainstream fans they attracted did not appreciate real folk The Woodford Folk Festival may be hard to define but few found it hard to enjoy they wrote in a review But what is folk? Is it a rollicking bush band mediaeval singers or Afro-Caribbean dancer? Even festival organisers struggled for a definition Festival director Bill Hauritz remembers how the concert was received in 1996 We got reaction from a few people he said But that rock music was the voice of the people Mr Hauritz says he clearly remembers the concert and how the audience reacted to Midnight Oil iconic song the Beds Are Burning which calls for Indigenous land rights The entire audience sang; I've never heard it so loud he said If that not the definition of folk then I don't know what is As festival organisers we should represent the true essence of folk and that is the expression of ordinary people Folk lore The Woodford Folk Festival will host over 100000 punters this year and rock music will accompany its extensive menu of folk and traditional music comedy art and comment Mr Hauritz says folk music will always play a part in the event It a positive snapshot of Australia in the here and now and there is still a strong essence of traditional folk music still in there he said Singer-songwriters and the originality of musicians at Woodford has always been at the forefront going way back to its early years in Maleny Mr Hauritz says the event is not just a folk music festival; it is a festival that encompasses all things that represent folk culture The Woodford Folk Festival now welcomes people from all walks of life even old rock stars like Darren I've got no concerns about fitting in; this is my  type of  festival he said  The Woodford Folk Festival  leaves you with the feeling that you don't need to rush to the next anything Jon Coghill is also a former member of the rock band Powderfinger,"images/0007.png"
Seafood's the catch of the day for Christmas in the tropics,http://www.abc.net.au/local/photos/2014/12/24/4154367.htm,24/12/2014,http://www.abc.net.au/reslib/201412/r1372380_19369947.jpg,"Mackay Fish Market manager David Caracciolo says the mud crab season is just starting now, and they have been busy sending crabs to Melbourne and Sydney.",Copyright: ABC | Source: | Byline: Sophie Kesteven,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Trade, Community and Society:Regional",ABC Tropical Queensland,QLD,Mackay,"christmas, seafood, mackay, fish market, prawns, feast",-21.155,149.1664,http://www.abc.net.au/local/photos/2014/12/24/4154367-mediarss.xml, You might call us lazy but those living in the tropics prefer the word lucky While festive goers on the other side of the world choose to slave over a hot stove on Christmas day many Australians instead prefer indulging in a cold ocean feast Some fishermen start as early as three or four in the morning and work through the day depending on how busy they are he said David says it is amazing how much seafood people consume on Christmas day and he thinks it is a shame they do not eat it every day of the week We probably do four or five tonnes of prawns in the couple of days towards Christmas where normally you might only do a couple of hundred kilos he said David says it is not just the prawns that are popular; a lot of people are opting for bugs lobsters mud crabs and oysters as well this year Working with the seasons Unfortunately a lot of the seasonal stuff is finished; the prawn closure came on on the 15th of December so we had to stock the prawns early and have them ready for Christmas David said But David says the mud crab season is just beginning and they have been busy packing crabs to send to Melbourne and Sydney Some get exported depending on the price and what we can do at the time of the market he said But apart from that we are organising stuff for the public but also for the local trade and restaurants and the food service industry David says it takes a bit of juggling around this time of the year and they bring fish from the Northern Territory and lobsters from Western Australia You have to co-ordinate the whole lot and hopefully it all turns up on time so people can consume their seafood he said Seafood bigger and better this year David says he is absolutely amazed with the size of the prawns off the Mackay coast this season I think virtually from Yeppoon to the Gulf of Carpentaria everyone has been commenting on how big the prawns are and nobody seems to have an explanation why David said Why seafood is so popular for Christmas David says a seafood menu is easy especially if you get cold cooked options The way the weather is at the moment it is quite beautiful so instead of mum or dad slaving over a hot stove doing chicken or pork in the heat you can buy a couple of kilos of prawns bugs or mud crabs and sit down get straight into it he said This Christmas David says he will probably be sleeping for half the day considering how busy business has been for him But he says he will definitely make time to indulge in some banana prawns mud crabs and local scallops The scallops are beautiful in Queensland; I have eaten them all over the world and I don't know why they are so different but the flavour of the scallop meat is just gorgeous he said I think I might even have some fried scallops for breakfast that sounds like a good Christmas breakfast,"images/0008.png"
Have you heard the word of the tiny herd?,http://www.abc.net.au/local/photos/2014/12/24/4154315.htm,24/12/2014,http://www.abc.net.au/reslib/201412/r1372326_19368591.JPG,"Teddy the pony wonders if the camera is lunch. Fiona has 10 Shetland ponies on her property at Mt Maria, near Agnes Water.",Copyright: ABC | Source: ABC Wide Bay | Byline: Ross Kay,"Human Interest, Human Interest:Animals, Human Interest:People,",ABC Wide Bay Qld,QLD,Mount Maria,"news, fiona toplis, bundaberg, agnes water, mt maria, discovery coast, shetland pony, ponies, little horses, queensland",-24.5333,151.8167,http://www.abc.net.au/local/photos/2014/12/24/4154315-mediarss.xml,"news, fiona toplis, bundaberg, agnes water, mt maria, discovery coast, shetland pony, ponies, little horses, queensland","images/0009.png"
Stable on the Strand tells the story of Bethlehem by the beach,http://www.abc.net.au/local/photos/2014/12/24/4154240.htm,24/12/2014,http://www.abc.net.au/reslib/201412/r1372278_19367582.jpg,"A young girl talks with the inn keeper who has no rooms available and is unable to accomodate the pregnant Mary and her husband Joseph. ""We think it's extremely important kids these days know why we really celebrate Christmas, the birth of Jesus Christ,"" said organiser Richard Hosking. ""We have a generation of kids in Townsville, because we've been going for 13 years, who know that there's more to Christmas then Santa Claus.""",Copyright: ABC | Source: ABC Local | Byline: Kathleen Calderwood,"Community and Society:Community and Multicultural Festivals, Community and Society:Community Organisations, Community and Society:Family and Children:Babies - Newborns, Community and Society:Family and Children:Children",ABC North Qld,QLD,Townsville,"Bethlehem, Jerusalem, Christmas, Jesus, Christ, baby, shepherds, wise men, roman guards, religion, christianity, community, children, education",-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/12/24/4154240-mediarss.xml, For the last 13 years the town of Bethlehem has been reconstructed on the Strand in Townsville to mark the Christmas season The bible teaches that Bethlehem was the birthplace of Jesus Christ; there you can meet everyone from Mary and Joseph to Roman guards on patrol The original goal  of the stable  was to get the churches of Townsville working together Richard said There wasn't a lot of unity amongst the churches but Stable on the Strand has been an absolute catalyst for this unity to happen It just an amazing thing that we have Catholic Anglican Presbyterian Uniting Church Methodists Pentecostals all working together to help present Stable on the Strand About 70 per cent of the volunteers come from the churches and YWAM (Youth with a Mission) while the other 30 per cent are members of the general public We feel very blessed the people of Townsville come and support us in this way Richard said So many families tell us it now part of their tradition to spend a night down at the stable before Christmas  even if  they never come to church,"images/0010.png"
