Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
ABC News Tasmania Weather Calendar 2015,http://www.abc.net.au/local/photos/2014/11/03/4120646.htm,3/11/2014,http://www.abc.net.au/reslib/201411/r1350752_18919371.jpg,Proceeds from the sale of the ABC News Tasmania weather calendar go to the ABC Giving Tree.,Copyright: ABC | Source: | Byline: ABC News Tasmania,"Weather,",ABC Hobart,TAS,,"weather calendar, abc news tasmania, giving tree, charity, donations, landscape",,,http://www.abc.net.au/local/photos/2014/11/03/4120646-mediarss.xml, The 2015 ABC News Tasmania Weather Calendar features some of the best photos from the last year in a special wall calendar Not only is a great example of our beautiful state all proceeds from sales of the calendar go to the ABC Giving Tree The 2015 ABC News Tasmania Weather Calendar showcases photographs of Tasmania spectacular weather sent in by viewers of ABC1 television news The calendars a steal at $15 are available from Tasmanian ABC shops and centres  ABC Studios Hobart - reception is open from Monday-Friday 830am to 515pm ABC Shop Centrepoint Hobart Channel Newsworld in Channel Court Kingston Northgate Newsagency Main Road Glenorchy Fullers Bookshop John Street Launceston Not just books Wilson Street Burnie Fourways Newsagency Williams street Devonport What a great Christmas present; and all proceeds go to ABC Giving Tree charities These calendars always sell out so don't delay,"images/0176.png"
Behind the rise and rise of Richie Porte,http://www.abc.net.au/local/photos/2014/07/15/4046529.htm,15/07/2014,http://www.abc.net.au/news/image/5596644-16x9-700x394.jpg,Richie Porte rides at Tour de France,Copyright: AFP | Source: | Byline: AFP: Lionel Bonaventure,"Sport, Sport:Cycling,",ABC Northern Tasmania,TAS,Hadspen,"richie porte, cycling, tour de france, bicycle, le tour, tour of france, sky racing, grand tour, france, hadspen, launceston, tasmania, penny terry, tim walker, andrew christie-johnson, paul smart",-41.5,147.05,http://www.abc.net.au/local/photos/2014/07/15/4046529-mediarss.xml, Launceston in Northern Tasmania has a favourite son in the form of Richie Porte currently in second place in the world premiere cycling event the Tour de France Behind the success is a lot of drive dedication and a lot of local stories From working as a lifeguard in the local swimming pool to organising bike rides that became longer and longer Richie Porte has developed as a sportsman through swimming triathlons and ultimately professional cycling His former coach Andrew Christie-Johnson first met Richie Porte when he won the local Longford to Campbell Town handicap race in 2006 He was a pretty talented cyclist from the get-go really You could see was quite a developed athlete already through his triathlon days he was just a dedicated guy that loved riding his bike and was willing to put in the hard work It was pretty obvious that he had done quite a lot of work when we first met him The Grand Tours Andrew Christie-Johnson signed him to his Tasmanian based team who he was with for four years before he turned professional at the end of the 2009 season beginning with Team Saxo Bank If you sign with a world tour team you get a bit of security you get to race the biggest races in the world and your career is as big as it can get He made his Grand Tour debut in the 2010 Giro d'Italia where he finished seventh overall and won the young rider classification In 2012 he moved to Team Sky supporting the two previous Tour de France winners Bradley Wiggins and Chris Froome With both of those riders out of this year race Wiggins omitted and Froome retired with injury Porte has emerged as the team leader and a main contender for a podium finish in Paris Richie got a lucrative offer to join Sky for two years which he has just resigned for another year I think he is extremely happy and you can see that it works very well for him because he is one of the world best cyclists From triathlete to cyclist Andrew Christie-Johnson saw that Porte commitment to cycling and natural talent were something special even though he had come to the sport rather late Around the age of 20 he decided that his run leg in triathlon wasn't as good as what it needed to be He spent more and more time on the bike and just decided that he loved racing and thought he would give it a crack to try and make it to the highest level Fellow Launceston triathlete Rick Pilkington remembers Richie Porte as an excellent swimmer It was the leg of the triathlon for which he was known He would regularly be first out of the water in state triathlon races but he didn't like running and loved the bike During the 2000s when Richie was working as a lifeguard at  local swimming pool  Windmill Hill he organised daily 7am rides leaving from the front door of the pool and then go back to work at the pool What set Richie apart was the appetite he had for elite bike mileage - huge miles The rides from the pool got longer and tougher and Richie got better and better Fan Club Richie Porte fan Paul Smart started a social media page in support of the cyclist the day he got signed for Team Saxo Bank in 2009 When Richie got signed I thought wow this is amazing let dedicate a page to him Paul said that when Porte first got signed it took Tasmanians a while to realise that we had a seriously good cyclist on the world stage The Richie Porte Fan Club on Facebook now has over 3000 followers There is now a herogram set up on the page that contains around 150 posts many of them local supporters recalling their encounters with Porte  I remember fondly the 1 or 2 times I managed to win a sprint back into town after one of our rides from the pool and not so fondly that I may have assisted in you biting the dust one day out by the fish shop I remember you swimming with my son Luke Radin at St Patricks Swimming Club We watch the Tour every night and are sooo excited as we will be in Paris for the finish! Go Richie go!! I remember about 7 years ago at the pool when you told me you were riding 600km/week I never imagined that a few years later I'd be sitting up til 3am watching you kill it in Le Tour! Paul planned to pass the messages on to Richie Porte in France during a rest day in the race In Tasmania there is only two degrees of separation there are a whole lot of Tasmanians on there telling their stories about Richie Your Afternoon presenter Penny Terry spoke with former coach Andrew Christie-Johnson and fan page creator Paul Smart as Richie Porte moved into second place overall in the general classification of the 2014 Tour de France after ten days of racing,"images/0584.png"
Steering the bullock team through history,http://www.abc.net.au/local/photos/2014/07/09/4042668.htm,9/07/2014,http://www.abc.net.au/reslib/201407/r1300810_17796010.jpg,The bullock team with driver Brian Fish outside Roche Hall in Oatlands for the recent Heritage Skillls and Trade Day,Copyright: Unspecified | Source: Supplied | Byline: Tim Walker,"Business, Economics and Finance:Industry:Transport, Community and Society, Community and Society:Community and Multicultural Festivals, Community and Society:History:19th Century",ABC Northern Tasmania,TAS,Oatlands,"brian fish, bullocks, steer, cattle, cows, bullock team, dray, wagon, oatlands, tim walker, tasmania, heritage, history, colonial history, rural, farming, logging, transport,",-42.3043,147.3656,http://www.abc.net.au/local/photos/2014/07/09/4042668-mediarss.xml, It not an everyday sight a team of bullocks with wagon going down the main street of town When that town is the historic Oatlands in central Tasmania it becomes a step back in time The main street has been largely restored and maintained and looks much like it would have done 150 years ago But how do you go about recreating a living and breathing bullock team an essential part of early colonial work and transport? Brian Fish has put together an impressive team of 12 bullocks with the help of a bit of local knowledge Going back 20 years or so three other experienced men one from Sheffield one from Derby and one from Oatlands they got involved and I tried to carry their tradition through Brian has built most of the timber and metal equipment needed to put the team together finding that most of the parts were not readily available Most of the old things that we would have used became very valuable as scrap steel and got put in the bin He is one of only two people in Tasmania who have a working bullock team You have to be 90 years old or plus to say that you made a living out of working bullocks There are a couple of old bullockies left Brian has worked with horses most of his life and thought that he would like to try his hand with the bullocks He uses a variety of breeds and is practical about what makes a good team member It the ones you have on hand at the time It a bit like arguing Holden versus Ford cars as to which one is the best in the team You soon know which ones will have any potential which one will make a good leader and if he only just wants to work he'll go into the body and if he is a big strong bullock who is willing to do something he will go into the pole The pole is the wooden bar that comes from the wagon and goes between the rear bullocks in the team The two that carry the pole want to be big and strong in case a wheel drops in a hole Horns Choosing a bullock is also influenced by a good set of horns Some animals will learn to slip the simple yoke and if they have horns they won't do that The other thing is they are good in the bush because they do learn to knock the ferns and the bush out of the way and widen the track a bit For bulls pulling a dray which is two wheeled and often didn't have a brake as they go down a hill the yoke will push forward and the will put their head up and hold it with their horns It looks good too; a good set of horns is pretty impressive Brian doesn't use females in the team as they can cause a problem with the other bullocks becoming distracted Similarly he says that bulls can be a nuisance because they sometimes want to fight The bullocks need to be worked on the farm to keep fit and trained I have to do that; you can't break a bullock in on the showground It like a footballer - you have got to bring them up to it Really a bullock wants 12 months work before they go out in the public Communication Brian uses a lot of body language when he is working the team regularly stepping forward or back raising a hand walking and pointing While he cracks the whip occasionally to get them to pull it is a combination of a few commands and gestures that he uses to communicate Being able to do it without being hard on them is the thing if you are rough on them they get frightened of you If any of them are frightened they aren't going to work If the gear not fitting and the bullock not pulling you need to go and have a look because he his telling you he has a sore foot or the bow got too tight or something You are not going to learn that in 12 months yourself it takes you a while to pick up if a bullock not right Then you can also pick up if he is only squatting on you and the two black and white longhorn cross bullocks I've got they can get in a team and look like they are pulling and they'll even hold the chains up tight The main verbal command is woo to bring them to a stop Brian other commands are get up walk forward gee back and come here for right and left Town and country Brian has run a Working Bullock Festival a number of times every three years as well as attending various shows and events We've been invited to go down to the Wooden Boat Festival in Hobart next year and that is held around the same time as the bullock festival You can imagine the red tape and stuff you have to get through to have bullock team going through Hobart As for life after being in a bullock team Brian is happy for the animals to be retired on his farm I think he has given me a good life and these are bred to do the work not for fattening up The latest project Brian has taken up is wheelwrighting making the wooden wheels and metal bands that go on the wagon That another thing in itself - it probably harder to find someone to help me do that than to run the bullock team The bullocks have really ruled my life for the last 20 years and getting the chance to take them all over the state has been absolutely brilliant,"images/0607.png"
Honouring fallen warriors as NAIDOC Week celebrations begin,http://www.abc.net.au/local/photos/2014/07/07/4040780.htm,7/07/2014,http://www.abc.net.au/reslib/201407/r1299595_17765934.jpg,Nala Mansell and Jeremy Ball listening to Tasmanian Aboriginal Centre State President Dave Warrener at the NAIDOC Week flag raising ceremony in Launceston this morning,Copyright: ABC | Source: ABC Local | Byline: Tim Walker,"Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal Language, Community and Society:Indigenous (Aboriginal and Torres Strait Islander)",ABC Northern Tasmania,TAS,Launceston,"NAIDOC, launceston, nala mansell, dave warrener, jeremy ball, tim walker, tasmania, tasmanian aboriginal, naidoc week, land rights, event, indigeneous",-41.447,147.1386,http://www.abc.net.au/local/photos/2014/07/07/4040780-mediarss.xml, NAIDOC week has begun with flag raising ceremonies beginning a week of celebration and rememberance to honour fallen warriors There will be field trips culture days and sporting events as well as the annual NAIDOC Ball held in Launceston While these events give the Aboriginal community a chance to get together the flag raising ceremonies held around the state are a chance for the wider community to join in the celebrations Speaking at today event were Cultural Promotion Worker Nala Mansell Launceston Council Deputy Mayor Jeremy Ball and Tasmanian Aboriginal Centre State President Dave Warrener There was also a performance by youth dance group kanaplila ripana before the flags were unfurled The national theme for this year National Aborigines and Islanders Day Observance Committee week honours all Aboriginal and Torres Strait Islander men and women who have fought in defence of country This includes the warriors in the Frontier Wars to our warriors who have served with honour and pride in Australia military conflicts and engagements across the globe Ms Mansell highlighted the many Northern Tasmanian men and women who stood and defended their country when the colonial settlements began and grew in Tasmania She also made special mention of the servicemen who fought and were killed in defence of modern Australia John William Miller a grandson of Fanny Cochrane Smith and Alfred Hearps a descendant of Dolly Dalyrymple both died at Gallipoli Marcus Blake Norman Brown of Cape Barren Island was killed in Belgium and is buried at Rouen in France Australians know a lot about those wars but there is little talk or formal recognition about the wars that occurred between Aborigines and the whites that invaded our lands A recent book The Black War Fear Sex and Resistance in Tasmania by historian Nicholas Clements details the thirty year war that was fought on Tasmania soil He describes the event as a whole as the most significant change in Tasmania history and one that needs to be placed at the forefront of reconciliation In Ms Mansell warmly received speech she also pointed to the fact that there are no monuments or memorials to these frontier warriors There is not any sort of recognition has been given to our people who were forced to defend their lands Women such as Walyer and Trukanini Tanganutura and Wathikawitja  Men such as Wurati Manalakina Nikaminik and Piway  Instead of just talking about it let make this year a time when we really get to know the lives of our fallen heroes! After the ceremony a lunch with traditional Tasmanian Aboriginal food was held at the Tasmanian Aboriginal Centre to begin celebrations for NAIDOC Week Follow ABC Northern Tasmania coverage of NAIDOC Week via our website and see the coverage from across Australia  You can also listen to ABC NAIDOC Week radio station online all this week,"images/0613.png"
Seeing the detail in Launceston's built heritage,http://www.abc.net.au/local/photos/2014/07/02/4037931.htm,2/07/2014,http://www.abc.net.au/reslib/201407/r1297662_17721890.jpg,"The iron dome of Jubilee Memorial in City Park, Launceston by James Hodgets from St Patrick College",Copyright: Unspecified | Source: Supplied | Byline: James Hodgetts,"Arts and Entertainment, Arts and Entertainment:Design, Arts and Entertainment:Design:Architecture, Arts and Entertainment:Photography",ABC Northern Tasmania,TAS,Launceston,"heritage, photography, competition, launceston, lcc, launceston city council, jeremy ball, tim walker, architecture, history, building, award, tasmania, cbd, students, schools, photo",-41.447,147.1386,http://www.abc.net.au/local/photos/2014/07/02/4037931-mediarss.xml, Looking to get younger generations excited about the architectural gems of the city built heritage the Launceston City Council Heritage Advisory Committee has introduced a photography competition to complement its existing heritage awards From Georgian colonial buildings to the expanse of Victorian terraces and houses there are many vistas that attract the photographer eye Launceston City Council has held its first Heritage Snap Awards a junior photographic competition organised by the Heritage Advisory Committee Committee chairman Deputy Mayor Jeremy Ball said the competition was aimed at raising awareness of Launceston significant heritage environments across all age groups The standing committee advises council on aspects pertaining to Launceston built heritage and also organises the heritage awards each year recognising renovations that have been faithful to the building style and history It has worked very well Students have zeroed in on the little aspects and details of our heritage buildings At the awards ceremony we recognise the tradespeople and architects as well There are still people in Tasmania who have the skills but we need to make sure that these skills are handed down because the way these buildings have been built; the care the attention and the materials is something that needs to keep on being used The theme for the inaugural photo competition was It all in the detail  highlighting the wide variety of detail that can be found in our built heritage The committee received more than 70 entries from 33 entrants The committee plans to display the works for the public viewing in the near future,"images/0627.png"
Giving up the plastic bag habit,http://www.abc.net.au/local/photos/2014/06/27/4034920.htm,27/06/2014,http://www.abc.net.au/reslib/201406/r1296409_17692129.jpg,"While the light plastic bags have been banned, we continue to use a wide range of heavier plastic bags considered 'reusable' because they are more than 35 microns thick",Copyright: ABC | Source: ABC Local | Byline: Tim Walker,"Environment, Environment:Pollution, Environment:Pollution:Land Pollution,",ABC Northern Tasmania,TAS,Launceston,"plastic bags, ben kearney, do something, environment, pollution, ban, plastic bag ban, shopping, legislation, tim walker, paper bags, biodegradable, reuseable, tasmania, coles bay, epa,",-41.447,147.1386,http://www.abc.net.au/local/photos/2014/06/27/4034920-mediarss.xml, Six months after the plastic bag ban in Tasmania we are still buying them and using them albeit not the disposable lightweight versions Does the ban go far enough or have we created a new normal with heavier versions in the market? He is concerned however that six months after its introduction there are many small businesses that continue to give away the slightly heavier reusable bags therefore side-stepping the dissuasive element the ban intended Overall there is no doubt that the ban is having a positive effect on reducing the use of plastic shopping bags We are seeing some retailers that are giving away those thicker bags and that is not really achieving the aims of the ban at all Retailers are not required to charge for the new plastic bags They can choose to incorporate that cost into their prices for goods When we pushed for the ban originally all three political parties agreed to a ban of both the lightweight and thicker plastic bags and then just shift to biodegradable bags Ultimately when the Labor Party legislation came out it didn't include a ban on the thicker what you would call department store type bags If they are giving them away to the customer there is no incentive for the customer to change their habits The first town to ban In 2003 Coles Bay became the first town in Australia to ban the plastic bag to address the problem of litter in the area Mr Kearney then a bakery owner and president of the local tourism association led the campaign with retailers in the area adopting reusable paper bags and calico bags as alternatives In the intervening years he has continued to be involved in pushing for changes in state and federal legislation to limit the usage of plastic bags Biodegradable bags One of the alternatives envisaged when getting the plastic bags banned was that biodegradable bags could replace those that persist in the environment for a long period of time Few retailers in Tasmania are supplying compostable biodegradable plastic shopping bags because they are more expensive for the equivalent durability According to the Tasmanian Government plastic bag ban information website  plastic material claims to be biodegradable and compostable in Australia must comply with Australian Standard AS 4736-2006 and if requested retailers providing these bags in Tasmania will need to be able to validate their compliance with the Standard by providing certification from the supplier/manufacturer Retailers can also find information on the thickness of plastic required for the bag to be considered reusable No part of a reusable plastic shopping bag they provide can be less than 35 microns in thickness or fines may apply While the thicker plastic bags are still cheaper than the biodegradable ones and the brown paper bag type Mr Kearney acknowledges retailers will likely continue to use them The City of Fremantle has recently proposed a plastic bag ban that would set the thickness of plastic bags at 60 microns which would make the biodegradable and paper ones cost competitive Moving forward Ben Kearney is upbeat about what has been achieved especially in terms of environmental outcomes I'm still positive about it There are some areas that are working perfectly well and some areas that are less so I think that you will find that the number of bags that are being used would have dropped considerably and from the point of view of the types of bags the light weight bags particularly were harmful I think there is certainly a case to question whether we shouldn't go a bit further at some point All three parties originally agreed to ban all plastic bags other than biodegradable ones and that is not what ultimately occurred,"images/0635.png"
Trial Harbour ladies love the extremes,http://www.abc.net.au/local/photos/2014/05/14/4004576.htm,14/05/2014,http://www.abc.net.au/reslib/201405/r1275983_17235298.jpg,"Toni Chapman, left, and Shirley Smith, enjoying the wild view from Shirley's front lawn",Copyright: ABC | Source: ABC Local | Byline: Rick Eaves,"Human Interest, Lifestyle and Leisure,",ABC Northern Tasmania,TAS,Zeehan,"Trial Harbour, west coast, shirley smith, toni chapman, rick eaves, tasmania, afternoons, wind, weather, extreme",-41.8926,145.3391,http://www.abc.net.au/local/photos/2014/05/14/4004576-mediarss.xml, You soon learn if this place is for you adds fellow long-termer Toni Chapman some people do pack their bags pretty quick though Trial Harbour is a remote cluster of 45 shacks that sits between the foot of Mt Heemskirk and the raw Southern Ocean on Tasmania Central West Coast It around a half hour drive from Zeehan on a mostly gravel road and those who live or shack there have to employ wind and solar power and banks of batteries Shirley says the locals are often described as the old-age hippies and she stresses that living at Trial requires a certain practicality and capability The town was established in the 1880s when it was used as a port for landing people and supplies for a tin mining boom in the area at the time The terms port or harbour are hardly appropriate though for a half-sheltered hook in the coast that offers very little protection from regular giant swells and squalls The town took its name from a ship called Trial which was wrecked while anchored in that harbour On long weekends and holidays like Easter the population jumps to more than 100 and at the many barbecues crayfish gets to be as common as sausage Today Shirley and Toni along with their husbands Brian and Sooty are among the 17 permanent residents who enjoy absolute peace and solitude for most of the year Theirs is a life of inescapable connection to a wild landscape and an even wilder ocean I made the mistake of leaving a blind open and we had all our front windows smashed out says Toni Ten to $15000 later and then we had a shade cloth that took out the windows at the back another time as well The Bureau of Meterology wave rider buoy is only about 30km off the central West Coast and at any time of the year can record swells of more than 15 metres Every couple of years the maximum size will nudge 20 metres Those sorts of swells have been known to wash right over the bridge in the middle of town Sometimes huge strands of bull-kelp fishing gear and even logs are left on the bridge which sits a few metres above the beach One morning I got up and the swell had been up during the night I couldn't get out of my driveway it was all logs and debris Shirley says It not all about wild at Trial Harbour though For a boys town where crayfish abalone and shark are almost readily available (to the brave) there is also a strong feminine influence and an enviable sense of community Kids and dogs just love it here and they're just so free and safe here Toni says And we have a lot of community events through the year our New Year Sports Easter Darts the Abalone Cook-Off we even had a band here just recently Toni experiences of Trial go back to shacking there with her grandparents as a child Shirley notes that most of the traditions of those times continue for the Trial kids of today While the wild isn't for everybody it undoubtedly is for Brian and Shirley Smith as evidenced by Brian building of a special platform under their lounge-room couch It lets you sit high enough to look straight out to the waves that break against the cliffs across the way Shirley says Brian sees it as his throne     Shirley Smith and Toni chapman talk about their beloved Trial Harbour and what it takes to live there,"images/0639.png"
Aurora bovinus goes viral for Tasmanian photographer,http://www.abc.net.au/local/photos/2014/06/20/4029806.htm,20/06/2014,http://www.abc.net.au/reslib/201406/r1293336_17620980.JPG,"Joshua Cole's udderly fantastic photo of the Aurora Australis from Nile in Northern Tasmania has created a bit of an online stampede, with some describing it as very 'moooving'",Copyright: Unspecified | Source: Supplied by permission | Byline: Joshua Cole,"Arts and Entertainment, Arts and Entertainment:Photography, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Photography",ABC Northern Tasmania,TAS,Nile,"cows, moo, photo, aurora australis, photography, southern lights, joshua cole, tim walker, exposure, tasmania, landscape, camera, launceston, nile, night photography, weather, sun",-41.6333,147.3167,http://www.abc.net.au/local/photos/2014/06/20/4029806-mediarss.xml, Capturing a photo of the Aurora Australis has much to do with good timing Capturing one along with a herd of cows that then goes viral on the internet well that was part luck and part skill for local photographer Joshua Cole Getting away from the lights and haze of built up areas means a better chance of capturing the colourful phenomenon Joshua Cole travelled 25 kilometres south of Launceston on the Nile Road on a night expected by the Aurora Alert service to have a good chance of producing aurora activity Bovines were not predicted by anyone least of all Joshua On what was an eventful evening for aurora watchers across Tasmania in general the unique moment was captured when a herd of cows decided to photo bomb Joshua view We were nearly ready to leave when my wife took a phone call and I thought I would try for a few more shots Next thing you know a whole bunch of cows wandered up to the farm gate so I thought I would try a few different shots and get them involved I think they saw us there at the gate and wondered what was going on and came up for a look We turned the torch on the paddock and saw about 100 beady little eyes looking back at us After posting the photo on social media it has received thousands of likes and shares and has been picked up by various media outlets How to catch an aurora Joshua interest in capturing auroras in Tasmania comes after witnessing the northern lights Aurora Borealis on a trip to Iceland last year Basically I got the photography bug from an overseas trip with my wife I started taking some landscape photographs and it just took off from there We went to Scandinavia and Iceland to try and track down the northern lights and we were lucky enough to catch one of them but by no means were my photos much chop at that stage they came out quite grainy and out of focus Back in Tasmania Joshua learnt more about photographic techniques bought a better lens followed social media groups online that share aurora photos and information and began heading out when the time was right There are also a couple of apps that I have on my phone that you can get You usually only get a couple of days notice that they are going to happen depending on what the sun is doing at the time This particular night in late April turned out to be a big night for capturing auroras across Tasmania and also a great night for light painting cows While Joshua used a 15 second exposure to capture the aurora the cows were only illuminated for a few seconds using the torch function on his phone Because I was worried that the cows could be moving quite a bit I've basically just passed the torch over them just to light them up long enough for them to appear in the photo For the technical record it was a 15 second exposure ISO-6400 16mm focal length at an f-stop of 35 Social media reaction Joshua did not expect to get the reaction that he did from the photo When he came home from taking the photos he posted it on the Aurora Australia Tasmania Facebook page before heading out to take a few more aurora photos By the time I came back home and looked at my Facebook page it had around 1200 likes I started reading some of the comments and some people said I should watermark the photo given the popularity it was getting I took that one down learnt how to watermark a photo and put another copy up and that got another 800 likes As well as the social media shares locally it was also used in print and digital media outlets The photo also appeared on international social media pages  all with the permission of the photographer I was just quite happy that it was getting a bit of exposure but I thought I'll go off the advice of others and get the image watermarked in case it started popping up somewhere it shouldn't have Another thing out of this it has certainly generated some very bad cow puns This is udderly fantastic you're milking this and very moooving were just a few of the responses but the overwhelming sentiment has been one of amazement at what Joshua captured,"images/0660.png"
"Gotye, Stiff Gins and Urthboy: captured on wax cylinder",http://www.abc.net.au/local/photos/2014/06/16/4026020.htm,16/06/2014,http://www.abc.net.au/reslib/201406/r1290069_17548746.jpg,"Graham McDonald, right, and Gerry O'Neill from the National Film and Sound Archives prepare an Edison Phonograph for recording with a makeshift plastic cone",Copyright: ABC | Source: ABC Local | Byline: Rick Eaves,"Arts and Entertainment,",ABC Northern Tasmania,TAS,Burnie,"burnie, brag, gallery, wax cylinder, nfsa, national film and sound archive, rick eaves, Heinz Reigler, Graham McDonald, Gotye",-41.0573,145.9033,http://www.abc.net.au/local/photos/2014/06/16/4026020-mediarss.xml, Before ipods before vinyl records in fact before the turn of the 20th century wax-cylinder recordings on an Edison phonograph were the state of the art recorded music They are part of a project called ounds Intriguing and they are interested in re-imagining both the past and present of Australian recorded sound Archivists have been working with contemporary artists such as The Basics (Gotye) the Stiff Gins and Urthboy who have all recorded songs using an Edison Standard Model D phonograph Even Keith Potger from The Seekers has participated in the project At a time where vinyl is right back in favour the NFSA has dug a level deeper bringing back the first ever sound recording format These major contemporary Australian acts have all recorded on this very phonograph we have here in the Burnie gallery today said Brendan Smith NFSA Manager of Regional Programs Wax cylinders take us right back to the beginnings of recorded sound The format has a strong connection with Tasmania as some of the earliest known Australian wax cylinders were recorded in Hobart in 1899 by Fanny Cochrane Smith and Horace Watson Sound Archivist Graham McDonald and senior disc preservationist Gerry O'Neil say they have been helped by the natural fascination musicians have with the wax cylinder process Gotye band were travelling through Canberra last year and they came in It was an astonishing afternoon and they made us realise we could do interesting things with this medium We're finding that musicians are fascinated with the technology; actually the lack of technology! O'Neill carefully removes a 10-12cm long black wax-coated cylinder from an authentically old (though actually contemporary) cardboard container complete with slightly faded and colour-muted label The wax which comes in brown and black is manufactured in England by a retro-revivalist who uses the original Edison company recipe While it not attracting anything like the interest of vinyl as a medium for recorded music there are a growing number of sound-geeks experimenting with the medium around the world There no electricity at work here Everything that happens is via a clockwork mechanism and its the acoustic pressure of the sound going down the horn and physically cutting a groove in the wax cylinder Mr McDonald said It a very narrow frequency response lo fi; it sounds like a really old telephone The fascinating thing is that prior to these machines people had never heard recorded sound before The wax cylinder experiments of Sounds Intriguing were brought to Burnie as part of The Art of Sound a collaborative project between the NFSA and selected regional art galleries examining the intersections between sound and the visual arts The current version exhibition at the Burnie Regional Gallery runs until the end of June It features artworks by Ben Quilty Martin Sharp Jan Senbergs and Robert Dickerson matched to iconic recordings by Russell Morris Johnny O'Keefe the Atlantics The Hilltop Hoods and more The sounds self-activate as exhibition goers approach any particular artwork in the show Artworks are also matched with a mix of iconic and sometimes just intriguing archival spoken voice recordings including a science fiction radio serial a broadcast of the 1958 Sandown Cup and Billie Peach the 1930s talking budgerigar Sounds Intriguing also features musician composer and multimedia artist Heinz Riegler who recently created a new sound work Escape from Darling Point by re-imagining the 1930s recording on shellac of Billie Peach Mr Reigler is also performing in Hobart as part of MONA Dark Mofo discussing the challenges and experiences of working with archival sound recordings and bringing them into the 21st century     The National Film and Sound Archives has been recording contemporary artists with the earliest recording technology wax cylinder,"images/0667.png"
Local family stories help tell the history of Relbia,http://www.abc.net.au/local/photos/2014/06/19/4028840.htm,19/06/2014,http://www.abc.net.au/reslib/201406/r1291740_17587600.jpg,"Self published historian of an indepth European history of the Relbia district near Launcestron, Lucille Gee",Copyright: ABC | Source: ABC Local | Byline: Tim Walker,"Arts and Entertainment, Arts and Entertainment:Books (Literature), Arts and Entertainment:Books (Literature):Author, Community and Society",ABC Northern Tasmania,TAS,Relbia,"lucille gee, tim walker, relbia, a history of relbia 1806 2014, self publish, self publishing, history, colonial, mary reibey, tasmania, launceston, research, paterson, mary reibey, genders, corra linn, north esk river, convicts,",-41.5,147.2,http://www.abc.net.au/local/photos/2014/06/19/4028840-mediarss.xml, A family history is one thing but try taking on the history of an entire district Author Lucille Gee has written a history for Relbia near Launceston and has some advice for overcoming the daunting prospect for would-be local historians Her book Relbia Yesterday and Today 1806-2014  has just been self published and is available in local bookstores It has been a four year journey of discovery not just the content of the book but also the process of preparing for publication After her father died she began looking into her family history and discovered a great grandfather who was also a convict I felt it was important to let my children know that they had a convict in the family and the life that he led I actually wrote a short history of my great grandfather and I loved doing the research She married into the Gee family who have a long association with Relbia a district outside Launceston and the rest as they say is history Family members would tell their stories and showed Lucille some of the sites and farms of the district People would say Oh we don't know much and then they would invite me in for a cup of tea and then say Well my Dad did this and his father did that so I found that everyone had these amazing stories Her family connection with the area meant that the locals were happy to share what they knew When they invited me in I was shocked by what they could tell me but I didn't take it at face value because a lot of it is folklore Verify your sources Lucille spent many hours in the Launceston library seeking to connect and verify the stories and characters that she had unearthed I spent many happy hours there because I love the research but some days I would sit there and think wow I've hit it here I got all of that story and then you find that you haven't She has stories that have been left out of the book because they cannot be fully verified Lucille got in touch with the nomenclature board and also found three early maps which showed the initial grants of land Two people associated with the early grants were influential women in early Australian colonial history Elizabeth Paterson with her husband Lieutenant Governor William Paterson had been in the New South Wales colony since 1791 They arrived in the new Tasmanian York Town settlement in 1805 and shortly afterwards Elizabeth was granted 2000 acres of land in Relbia one of the first for the region Later Mary Reibey would buy the land long after Elizabeth Paterson had returned to England Reibey had arrived in the colony aged 13 as a convict in 1792 but had risen to become an influential landowner and business woman in Sydney and through her sons in Tasmania Lucille has researched many of the other early families and their farms I looked at a lot of other books and found that often the only way to do it is to go on a journey to go from farm to farm She has used services such as Trove  but says when you have to find out more details about a specific person other records from the library were required I mainly used Trove to verify what I had found or what I was doing Historical perspectives Apart from triple checking all her information Lucille says it was important to not judge the characters of her study You have got to put yourself in that time people had to suffer a lot and we get things pretty easy they had to scrimp for every penny they got Lucille was careful to add an acknowledgement of Tasmanian Aboriginal cultural connection with the land and lists the tribes that frequented the area It was very important for me and I thought how can you write a history of Relbia without including the original inhabitants Getting in print Lucille found the process of self publishing daunting however her printer in Launceston was very helpful While it was all a new experience for her they advised and encouraged her production They told me that it was the people with an interest in an area who write its history not the academics Lucille has borne the cost of self publishing but making a return out of selling her book was not the motive for printing Many times I thought I'm in a deep hole here but I really felt that these people made Relbia what it is and they deserve their story told and I felt very passionate about that,"images/0668.png"
