Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Giant puppets to roam Sovereign Hill over summer,http://www.abc.net.au/local/photos/2014/12/18/4151361.htm,18/12/2014,http://www.abc.net.au/reslib/201412/r1370354_19325418.jpg,Erth artistic director Scott Wright (front) with Doug the Miner.,Copyright: ABC | Source: ABC Local | Byline: Lily Partland,"Arts and Entertainment, Arts and Entertainment:Performance Art, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Sculpture",ABC Ballarat,VIC,Ballarat,,-37.5675,143.8509,http://www.abc.net.au/local/photos/2014/12/18/4151361-mediarss.xml, Puppet master Scott Wright has brought three new friends home to Ballarat The giant puppets will perform at Sovereign Hill over the school holidays His television repairman father was offered a colour television as a test and the young Scott was soon an avid Sesame Street fan Jim Henson has a lot to answer for he said Scott formed the performance company Erth while still living in Ballarat and is now artistic director of the internationally successful Sydney-based outfit Now a project at Sovereign Hill has brought the artist back home to work in a familiar space As a child Scott spent a lot of time at the then community-run museum One day while participating in a re-enactment of the Eureka Stockade with his father he found himself stranded on the burning roof of a replica Eureka Hotel The only way down was for me to jump I think it was in 1980 there was a photograph of me leaping mid-air from this burning hotel on the front cover of the Ballarat telephone book Despite that slightly traumatic memory Scott says the invitation to come home to work on a project at Sovereign Hill was intriguing His team has created three automata which are 17th century mechanical robots The story goes that a human character called Tinker - who works during the day to repair things - is fascinated by the industrial revolution By night Tinker decides to create the automata that inhabit various locations around Sovereign Hill There a miner who lives in the diggings a school teacher who lives at the school and a blacksmith who lives in the foundry Scott says it important for puppet characters to have a backstory and to interact with visitors because it makes them more than just an object in the landscape He says that as the skills of the puppeteers grow over the summer the characters will further develop and mature At the moment they're like babies and they're learning their environment but eventually they're going to rule The huge puppets are over three metres high and require several people to manoeuvre them They've been specifically designed to blend in with the surrounding environment It was how do we lend from the architecture from the colour palette the general aesthetics of Sovereign Hill and make things that are out of place seem like they belong Scott said It took weeks to train the staff of Sovereign Hill to operate the heavy puppets Scott says usually dancers or physical performers make the best puppeteers We want people who have a sense of anatomy and how the body functions You're looking for people who have a certain sensitivity as well and a good sense of play Scott says with shows such as The Lion King Warhorse and King Kong - not to mention Erth own Dinosaur Zoo - finding huge success puppetry is the new black I think puppetry is something that been underestimated for a very long time and we're only now starting to appreciate its value Majestic Mythical Marvels is showing at Sovereign Hill from the 26th of December till the 26th of January</strong>,"images/0024.png"
A wind swept garden in the middle of Warrnambool,http://www.abc.net.au/local/photos/2014/12/17/4150323.htm,17/12/2014,http://www.abc.net.au/reslib/201412/r1369721_19311169.jpg,A very old (and tall) palm tree in the front garden,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Lifestyle and Leisure:Gardening,",ABC South West Vic,VIC,Warrnambool,warrnambool gardening windy challenging garden plants growing town CBD barbara skilbeck donna ellis abc south west victoria breakfast jeremy lee,-38.3866,142.5053,http://www.abc.net.au/local/photos/2014/12/17/4150323-mediarss.xml, The top of Banyan St in Warrnambool is a windy exposed place for a garden but Barbara Skilbeck has created a lovely oasis on this challenging site Barbara Skilbeck has faced the challenge however and since moving into the house seven years ago has reworked the garden on what is a very windswept site As she says we virtually started the garden off again  it was very overgrown when we moved in She adds the first thing I needed to do was build some sort of wind protection so she put in some Leucadendrons to act as windbreaks in the lower part of the garden It a tricky balance between providing wind protection and maintaining the fantastic view of Warrnambool CBD so many of the plantings are lower growing plants which bring much colour to the garden Some of the garden previous features remain including a towering palm tree as Barbara says it a feature everybody knows the palm tree Our resident gardening expert Donna Ellis was thrilled to find some of the structural aspects and terracing in the garden had also been preserved as she noted this is part of our history and I love the fact you've still got it here  this type of terracing is quite common  and it looks great and it a great way to use a site like this Barbara has plans to develop more protected areas to create places to sit and enjoy the garden Despite feeling quite exposed a high wall separating the garden from the footpath keeps it reasonably private from people passing by There were some other surprises in the garden particularly with some of the plantings which normally wouldn't grow well in windy areas perhaps suggesting some plants are more adaptable than expected!     Barbara from Warrnambool talks about her windswept garden,"images/0027.png"
"300 takes on Jesus, Mary, and Joseph",http://www.abc.net.au/local/photos/2014/12/11/4146714.htm,11/12/2014,http://www.abc.net.au/reslib/201412/r1367497_19264741.jpg,An Australian themed Nativity,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Community and Society:Religion and Beliefs:Christianity,",ABC South West Vic,VIC,Warrnambool,nativity scenes jesus mary joseph christmas father andrew hayes st joseph's catholic church warrnambool abc south west victoria breakfast jeremy lee,-38.5866,142.2053,http://www.abc.net.au/local/photos/2014/12/11/4146714-mediarss.xml, St Joseph Church in Warrnambool is currently hosting an exhibition of around 300 different nativity scenes from around the world They're all a part of a large exhibition of nativity scenes currently on show at St Joseph Church in Warrnambool The exhibition brings together the collections of Fiona Tonkin Keith Linard and Father Andrew Hayes and features nativities ranging in size from a fingernail to more than a meter high collected from around 100 countries Father Hayes owns the oldest piece in the exhibition a ring featuring a nativity scene used to imprint wax seals which dates from the seventh century As he says he started collecting around ten years ago  I spend around $1000 a year  I get on the net and see what I can find The idea of exhibiting the scenes came from his time in Casterton it was the locals there who put me up to exhibiting this collection The various nativities have come from all over the world including Europe Africa and South America and they're quite eclectic in their design and what they represent One of Father Hayes favourite objects is a sheep from a German nativity made in about 1750 which he named Kevin and one of the more unusual ones is a bullet from a Dutch World War Two soldier that been carved into a nativity For Andrew part of the aim of collecting and exhibiting has been about encouraging people to have good art in their homes  I thought if I exhibited some beautiful art people might be encouraged to be looking themselves For Keith and Fiona it been about travelling the world and finding something beautiful Most of the nativities are fairly similar in that they feature Mary Joseph and Jesus but in Middle Eastern culture the mother wouldn't be seeing visitors for around a month after the birth of a baby so one of the nativites in this exhibition comes with two babies allowing you to either display it with Mary holding the baby or with the baby on its own in a crib This is the first time the exhibition has been held in Warrnambool and one of the things the trio like to do is invite locals to display their nativities as a part of the show To that end the exhibition includes a very old and slightly chipped and charred nativity from a local family which was apparently the only thing to survive a house fire The exhibition is open from 930am to 4pm on Thursday the 11th and Friday the 12th of December On Friday night the exhibition will also be open from 7pm to 830pm Over the weekend you can view the exhibition from 10am to 5pm on Saturday and from 8am to 730pm on Sunday     Father Andrew Hayes talks about the nativity scene exhibition at St Joseph,"images/0043.png"
Day nine - a wet trip from Healesville to Lilydale,http://www.abc.net.au/local/photos/2014/12/07/4143974.htm,7/12/2014,http://www.abc.net.au/reslib/201412/r1365833_19229710.jpg,The joy of reaching the finish line,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,VIC,Lilydale,great vic bike ride bicycle cycling riding healesville lilydale bicycle network abc south west victoria breakfast jeremy lee,-37.7596,145.3492,http://www.abc.net.au/local/photos/2014/12/07/4143974-mediarss.xml, The last day of this year Great Victorian Bike Ride was a wet one but the views were nice if not a little grey This morning therefore was a bit soggy in Healesville and the rain decided to stick with us pretty much all the way for the last part of our nine day adventure At least it was a little shorter than originally planned - as we learnt at dinner last night today route was listed as being 43 kilometers long but someone had made a mistake somewhere and it was actually only going to be 33 kilometers instead Despite the short distance we still managed a rest stop in the middle of the ride - and this particular rest stop just happened to coincide with a place full of chocolate so many of us left feeling extra charged on sugar for the last few kilometers A big part of the last day is of course crossing the finish line and once again today finish at Lilydale was great - there were plenty of people out early to welcome the riders and cheer as we came through the big blue gantry and faced the realisation another ride was over It been a very mixed experience this year of course - there have been some great highs and beautiful sections of riding there been all kinds of weather from hot humid days to cold wet ones and then of course there was the terrible tragedy in the middle of the ride which will stay with most of us for a very long time Although Trevor Pearce passing this week touched us all I'd imagine most people felt it would've been wrong to step off our bikes after that happened Cyclists are a persistent bunch and a strong force - despite the conditions we've endured this week pretty much everyone I spoke to was raving about the challenges of this year ride and the satisfaction of finishing Once again I'd like to thank all the Bicycle Network staff who assisted me this week with finding spaces to work carrying equipment and answering my questions A big thankyou as well to John Myers whose media help on this event is always greatly appreciated See you next year in the goldfields!     Sylvia and Rod wrap up day nine,"images/0054.png"
Day Eight - from Alexandra to Healesville via The Black Spur,http://www.abc.net.au/local/photos/2014/12/06/4143678.htm,6/12/2014,http://www.abc.net.au/reslib/201412/r1365595_19224944.jpg,Climbing the Black Spur,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,VIC,Healesville,great vic day eight great victorian bike ride riding cycling bicycle alexandra healesville black spur abc south west victoria breakfast jeremy lee,-37.6556,145.5149,http://www.abc.net.au/local/photos/2014/12/06/4143678-mediarss.xml, Today leg of the Great Victorian Bike Ride was wet sunny steep flat fast and slow In short we got everything including some beautiful scenery It was an absolute highlight and a beautiful way to end today ride but the lead up to it was less than perfect Earlier this morning pretty much right in the middle of breakfast our campsite at Alexandra was absolutely saturated by a thumping thunder storm Some clever people had packed their tents up before coming to breakfast thus avoiding having to pack a soggy tent Others er hadn't Anyway after giving the tent a good shake (possibly removing about half the water) and forcing it into my bag I headed off just in time to enjoy a light shower or ten as we headed to the first rest stop where the rain decided to set in It stopped for a bit as we headed to lunch at Marysville and then er started up again A few years ago not long after the Black Saturday bushfires the ride finished in Marysville and it was interesting seeing how different it looked today as we rode through tall green trees into the leafy centre of town The hills are still marked with stunted burnt trees but you can see the greenery reclaiming the hillsides all around From there we continued on to our next rest stop at Narbethong experiencing a great down hill run on the way Because the last part of the ride along the Black Spur involved a road closure we weren't allowed to leave Narbethong until 1130 The Police let riders go in largeish groups of around 50 - 100 riders at a time giving us plenty of space to make the short climb before enjoying a fabulous descent along the road lined with enormous gums and lush ferns It these sorts of experiences which make the Great Vic special - I couldn't imagine tackling the Black Spur without a road closure and Police support but having that section of road to ourselves today ensured we got the best possible experience from it There were a couple more climbs before we arrived in Healesville where we'll spend the last night of this year ride before making our way to Lilydale for the finish line tomorrow     Andy from Portland sums up day eight,"images/0054.png"
Day Seven - Mansfield to Alexandra via the rail trail,http://www.abc.net.au/local/photos/2014/12/05/4143294.htm,5/12/2014,http://www.abc.net.au/reslib/201412/r1365291_19218952.jpg,Crossing the bridge at Lake Eildon,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,VIC,Alexandra,great vic bike ride bicycle riding cycling alexandra mansfield abc south west victoria rail trail breakfast jeremy lee,-37.1928,145.7099,http://www.abc.net.au/local/photos/2014/12/05/4143294-mediarss.xml, Today route on the Great Victorian Bike Ride took an unexpected turn when we were directed off the road and onto the rail trail Things started routinely enough as we left Mansfield and headed to the rest stop at Bonnie Doon where we were met with a beautiful view of Lake Eildon After the rest stop we crossed the bridge and then not long after we were directed off the road and onto the Great Victorian Rail Trail There wasn't a whole lot of explanation given although a route marshall did say the Police wanted us off the road Later it transpired a group of riders had apparently exhibited some very dangerous riding - travelling four abreast along a road with an overtaking lane coming the other way with some riders crossing the double lines into the overtaking lane Needless to say the Police weren't impressed and decided given today route included some busy roads to pull us all off the road onto the nearby rail trail I'm sure the decision wasn't made lightly but it did certainly change today riding from a smooth road to a bumpy dusty trail for the majority of the trip Rail trails are great things - they've given new life to many communities and revitalised old pathways They also usually feature easy gradients and some picturesque country In the case of the Great Victorian Rail Trail which we rode on today it Victoria newest trail which has apparently had a lot of money spent on it It stretches from Tallarook to Mansfield with a line to Alexandra and covers around 130 kilometers It certainly very beautiful and features long stretches of tree lined riding but it still a rail trail and as such is probably best enjoyed on a hybrid or mountain bike with some sort of suspension It also probably more fun when there aren't a large number of cyclists trying to use it at the same time often riding in two lanes and trying to pass slower riders under occasionaly difficult circumstances In the end it made for a long trip to Alexandra and a very dusty one which saw us all being coated in dark brown dirt No doubt there'll be some discussion about the decision to send us on the trail at dinner tonight and hopefully tomorrow we'll be allowed back on the road for the second last day of this year ride - a longer day set to take us from Alexandra to Healesville with a lunch stop at Marysville After today ride I caught up with Paul Patteson - a blind rider from Darwin who riding on the back of a tandem I met Paul on the ride a few years ago and was glad to see him back - he had some very interesting observations about riding when you're blind and also spoke about how he enjoying this year ride even when wearing a large colourful wig and a giant oversized tie     Paul Patteson wraps up day seven,"images/0054.png"
Day Seven - Mansfield to Alexandra via the rail trail,http://www.abc.net.au/local/photos/2014/12/05/4143268.htm,5/12/2014,http://www.abc.net.au/reslib/201412/r1365291_19218952.jpg,Crossing the bridge at Lake Eildon,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,VIC,Alexandra,great vic day seven great victorian bike ride cycling riding bicycle mansfield alexandra rail trail abc south west victoria breakfast jeremy lee,-37.5928,145.9099,http://www.abc.net.au/local/photos/2014/12/05/4143268-mediarss.xml, Today stretch of the Great Vic Bike Ride ended up being largely on gravel as we found ourselves being directed onto the Great Victorian Rail Trail Things started routinely enough as we left Mansfield and headed to the rest stop at Bonnie Doon where we were met with a beautiful view of Lake Eildon After the rest stop we crossed the bridge and then not long after we were directed off the road and onto the Great Victorian Rail Trail There wasn't a whole lot of explanation given although a route marshall did say the Police wanted us off the road Later it transpired a group of riders had apparently exhibited some very dangerous riding - travelling four abreast along a road with an overtaking lane coming the other way with some riders crossing the double lines into the overtaking lane Needless to say the Police weren't impressed and decided given today route included some busy roads to pull us all off the road onto the nearby rail trail I'm sure the decision wasn't made lightly but it did certainly change today riding from a smooth road to a bumpy dusty trail for the majority of the trip Rail trails are great things - they've given new life to many communities and revitalised old pathways They also usually feature easy gradients and some picturesque country In the case of the Great Victorian Rail Trail which we rode on today it Victroria newest trail which has apparently had a lot of money spent on it It stretches from Tallarook to Mansfield with a line to Alexandra and covers around 130 kilometers It certainly very beautiful and features long stretches of tree lined riding but it still a rail trail and as such is probably best enjoyed on a hybrid or mountain bike with some sort of suspension It also probably more fun when there aren't a large number of cyclists trying to use it at the same time often riding in two lanes and trying to pass slower riders under occasionaly difficult circumstances In the end it made for a long trip to Alexandra and a very dusty one which saw us all being coated in dark brown dirt No doubt there'll be some discussion about the decision to send us on the trail at dinner tonight and hopefully tomorrow we'll be allowed back on the road for the second last day of this year ride - a longer day set to take us from Alexandra to Healesville with a lunch stop at Marysville After today ride I caught up with Paul Patteson - a blind rider from Darwin who riding on the back of a tandem I met Paul on the ride a few years ago and was glad to see him back - he had some very interesting observations about riding when you're blind and also spoke about how he enjoying this year ride even when wearing a large colourful wig and a giant oversized tie,"images/0054.png"
Bendigo beans means big business,http://www.abc.net.au/local/photos/2014/12/04/4142218.htm,4/12/2014,http://www.abc.net.au/reslib/201412/r1364659_19206283.jpg,Coffee beans are sourced from all around the world.,Copyright: ABC | Source: ABC Central Victoria | Byline: Corey Hague,"Business, Economics and Finance, Business, Economics and Finance:Small Business, Rural:Agricultural Crops:Tea/Coffee,",ABC Central Victoria,VIC,Bendigo,"grata coffee, custom coffee bendigo, bendigo coffee brewer, artisan coffee, small coffee brewers, free trade coffee, freetrade coffee beans, coffee blend, go",-36.7597,144.2789,http://www.abc.net.au/local/photos/2014/12/04/4142218-mediarss.xml, If you're a coffee lover chances are you've had one from Custom Coffee even if you don't know it In fact according to recent figures Australians consume almost three kilograms of coffee per capita annually Bendigo business Custom Coffees is doing their part to keep drinkers caffeinated roasting almost two tonnes per week from their warehouse and distributing their blends right across the country Australia has come a long way I think Melbourne and Victoria lead the world in most respects The influence of Italians back in the 60 and 70 has taught us what good coffee should be says Andrew McDonald director of Custom Coffees They've obviously learned a few things themselves having recently won awards at the Golden Bean National Roasters Competition It the world largest coffee roasting competition There were 1300 entrants and 200 judges We entered three coffees and came away with two medals so we're proud of that The beans come from around the world and then go through the process of roasting cooling blending and grinding It a system that doesn't change much from roaster to roaster but small differences can make huge differences to the final product The recent trend in coffee towards single origin beans is offered to customers but Andrew is a firm believer in the power of a good blend Many of our blends are made up of around ten different origins that go into it It has to be a very special bean to stand alone as a single origin coffee Most of our coffee is blended because you need a combination of flavour to get what you're after You don't bake a cake with one ingredient Being a smaller player in a big industry is a position that Andrew appreciates because it allows them to focus on quality rather than scale At the end of the day better coffee normally wins But it good competition means there will be a better product in the market,"images/0059.png"
Day Six - Resting up in Mansfield,http://www.abc.net.au/local/photos/2014/12/04/4142366.htm,4/12/2014,http://www.abc.net.au/reslib/201412/r1364739_19207941.jpg,A ghost town of tents,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,VIC,Mansfield,great vic bike ride cycling bicycle riding mansfield abc south west victoria breakfast jeremy lee,-37.0535,146.0872,http://www.abc.net.au/local/photos/2014/12/04/4142366-mediarss.xml, Today was the rest day on this year Great Victorian Bike Ride - a chance to relax and explore Mansfield It been a hot dry day in Mansfield with some cloud passing through but no rain Much of the campsite is covered with washing as people have taken advantage of the weather to rejuvenate their riding kits before the last three days of riding The site emptied out not long after breakfast as people headed into town to explore some of what Mansfield has to offer Walking up and down the main street the shops and cafes were all busy and a small market was taking place in the centre of town Most of those who've remained at the camp site seem to have spent the day sleeping under trees Yesterday tragic event is still reverberating - earlier today I heard a couple asking where they'd find the counsellors and there still much discussion about what happened and the sad randomness of it all Over 400 riders have left the ride today after completing the five day option and somewhere around the same number are now arriving to join us for the last three days As in previous years it easy to spot them because they look impossibly fresh and clean - unsullied by four days of challenging hot cycling Tomorrow we'll all head off again making our way to Alexandra It a relatively short ride of 61 kilometers with only gentle undulations here and there Yesterday after arriving in Mansfield I caught up with Prue Haugh (the rider who'd set up her tent closest to mine) to review the day She described day five as a tough day but an enjoyable one Prue is on her 12th ride and describes not having to worry about cooking and so on as a little bit of luxury We also discussed yesterday tragic events and as Prue said I have been knocked off by a car  it did make me a little more vulnerable  if I'm feeling iffy I go on footpaths  you just look out all the time     Prue Haugh wraps up day five of this year ride,"images/0059.png"
Day Five - a tragic day on the Great Victorian Bike Ride,http://www.abc.net.au/local/photos/2014/12/03/4141549.htm,3/12/2014,http://www.abc.net.au/reslib/201412/r1364229_19197375.jpg,The Police hold riders back at the lunch stop,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,VIC,Mansfield,great vic bike ride cycling bicycle riding moyhu mansfield breakfast abc south west victoria jeremy lee,-36.6535,146.3872,http://www.abc.net.au/local/photos/2014/12/03/4141549-mediarss.xml, Today on the Great Victorian Bike Ride something terrible happened - a rider was killed just near today destination of Mansfield Earlier today a 65 year old male cyclist on this year ride was killed after colliding with a truck - not on one of the windy steep corners which marked our descent but on a flat road just outside our destination of Mansfield According to ABC News the truck was travelling in the same direction and the rider fell into the path of the truck after his wheel was clipped It was a terrible end to the day with many riders in Mansfield visibly upset by what had happened The first most of us knew about it was at the lunch stop at Tolmie when some Bicycle Network route marshalls let us know there'd been an accident and the road to Mansfield was closed Soon after the Police started passing on information to the riders through their car PA letting us know the incident didn't involve a young person or a student and if we hadn't received a phone call not to worry Eventually riders were allowed to leave the lunch stop and continue to Mansfield although we took a different route involving some riding on gravel Coming into town I felt a little disembodied from what was happening - normally arriving in a new town is a great celebratory event and Mansfield looked ready to welcome us but many riders just wanted to head to camp to get set up and perhaps start to make some sense of what had happened Tonight I understand there may be some sort of service held in the camp to mark today awful events and no doubt many will take some time on tomorrow rest day to reflect a little on this loss On Friday we'll head off again for Day Seven travelling from Mansfield to Alexandra,"images/0059.png"
Ballarat celebrates the 160th anniversary of the Eureka Rebellion,http://www.abc.net.au/local/photos/2014/12/03/4141136.htm,3/12/2014,http://www.abc.net.au/reslib/201412/r1363960_19190572.jpg,The recreated Eureka flag flies above the crowd at Ballarat's Museum of Australian Democracy at Eureka.,Copyright: ABC | Source: ABC Local | Byline: Lily Partland,"Community and Society, Community and Society:History:19th Century, Community and Society:History,",ABC Ballarat,VIC,Ballarat,"Eureka Stockade, Eureka Rebellion, anniversary, history, community",-37.7675,143.9509,http://www.abc.net.au/local/photos/2014/12/03/4141136-mediarss.xml, Hundreds of people have gathered at the Museum of Australian Democracy at Eureka (MADE) to celebrate the 160th anniversary of the Eureka Rebellion in Ballarat A replica of the Eureka flag - stitched by members of the community and local craft groups - was raised and a memorial was unveiled for the Pikeman dog The designers of the memorial Joan and Charlie Smith told ABC Radio Prue Bentley it was an honour to be asked to be involved with the Eureka celebrations Mr Smith said the Irish Terrier master was one of the diggers who died during the rebellion The story goes that the dog refused to leave his dead master side The dog is a symbol of the sacrifice and the loyalty that led to the rebellion developing into Australian democracy he said Anarchist Dr Joe Toscano is a member of the Reclaim the Radical Spirit of the Eureka Rebellion group He believes the rebellion doesn't get enough attention locally Dr Toscano said the flag should be flown at council offices and Eureka Day should be a public holiday perhaps celebrated as an alternative to Australia Day In many regards Ballarat has been ashamed of its history People in authority were ashamed that we had an armed uprising against the colonial authortities in Ballarat that ended in bloodshed The group planned to celebrate all day with a range of events including a march through Ballarat Meanwhile a group of students from Ballarat High School performed a Eureka soundscape at the Ballarat Art Gallery by responding to the Eureka story using music and improvised sound The gallery Bob Allan said it was a good opportunity for the students to learn to use their instruments in different ways It really about the energy they bring through working with each other he said Student Katharine Burns who plays the alto saxophone said it was a fun and interesting way to spend a school day I think just the scale of improvisation for it figuring everything out on the day and performing it on that day has been a really good experience,"images/0059.png"
