Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
"Seagrass, the tiny plant at the heart of a community",http://www.abc.net.au/local/photos/2014/10/28/4116261.htm,28/10/2014,http://www.abc.net.au/reslib/201410/r1347880_18856480.jpg,Broome's community seagrass monitoring group walking off the mudflats of Roebuck Bay as the tide comes in. (27/10/14),Copyright: ABC | Source: ABC Local | Byline: Richard Dinnen,"Science and Technology:Biology:Marine Biology,",ABC Kimberley WA,WA,Broome,broome seagrass marine biology roebuck bay science environment water quality conservation wildlife seaweed Kimberley: Breakfast,-17.957,122.2395,http://www.abc.net.au/local/photos/2014/10/28/4116261-mediarss.xml, She regularly gets up at 430am to walk out onto the mudflats of Roebuck Bay to check how the seagrass has been growing Much of Broome seagrass meadows are only exposed on the lowest of tides and even then it doesn't look like much more than a soggy lawn in the sticky mud But Carla is in no doubt that the plant low profile belies its significance for people and the environment Seagrass is pretty important They are the food for a lot of creatures like dugongs and turtles They also are very important in that they capture a lot of the runoff that comes out of our sewerage; they keep the water clean The Yawuru Aboriginal traditional owners around Roebuck Bay have been enjoying the benefits of seagrass for millennia Fish dugong and sea turtles are still hunted and shellfish are collected from the mud Many of Broome non-Aboriginal residents also fish the waters and Roebuck Bay is an important attraction for the town tourism industry They are aspects of Broome that depend heavily on the inconspicuous plant Global perspective Len McKenzie is a seagrass researcher from James Cook University in North Queensland He works with volunteers around the world for the Global Seagrass Watch monitoring program and he impressed by Broome seagrass enthusiasts This is globally one of the better groups of volunteers we deal with They are a really enthusiastic group the calibre of volunteers and their skills are very very high Mr McKenzie said that much of what people love about living in Broome comes from seagrass Without seagrass you would not have a certain amount of fisheries you may not have as many fish to catch and you certainly wouldn't have things like dugongs and turtles he said Many Broome people will rarely see seagrass if they don't walk the mudflats of Roebuck Bay but they can still have an impact on this small plant that is so important to the local environment Things like what people put down their drains what sort of fertiliser they put on their yards; all those things wash down stormwater drains and go straight into Roebuck Bay Mr McKenzie said It this interconnectivity of people plants and animals that inspired Stacey to volunteer with the BCSMP It such an integral part of our community and you can't live here without understanding a little bit about how everything works she said Trouble with grass The BCSMP group was established in 2007 in response to concerns about the impact of poor water quality and blue-green algae on Broome seagrass Mr McKenzie says it a scenario being repeated around the world The biggest threat to seagrass is things such as water quality So things we do on the land are flowing off our land into our adjacent coastal areas which is reducing the water quality for seagrass to grow The world ever-expanding population particularly along coastlines is impacting the seemingly infinite oceans And like a canary in a coalmine the demise of seagrasses is signalling a growing problem They're disappearing globally at a rate of about two football fields per hour So this is quite a concern to people and certainly protecting seagrasses and making sure that they are no longer disappearing at this huge rate is really important Mr McKenzie said Coordinator of Broome monitoring group Julia Rau says a decline in the local seagrasses appears to be reversing Around 2012/13 we actually had quite a decline of seagrass here in the Bay We're not entirely sure why Now it starting to come back so that why we have to do this over a long period of time to get this long-term data she said Monitoring a marine ecosystem for almost a decade is a big job for a small community But as well as the pull of the importance of seagrass Ms Rau has another strategy that has kept the community heading out to the mudflats as the sun comes over the horizon Muffins and hot coffee in the mornings; that to bribe people a little Find out more about BCSMP on their Facebook page,"images/0002.png"
Photos of 2014 in the Goldfields-Esperance region,http://www.abc.net.au/local/photos/2014/12/24/4154398.htm,24/12/2014,http://www.abc.net.au/reslib/201411/r1362241_19156247.jpg,"Kalgoorlie and Leonora experienced their wettest January on record as a tropical low brought 36 hours of heavy rainfall to the region. It was a big year for spectacular storms, this lightening was captured over Kalgoorlie in November.",Copyright: ABC licensed | Source: Supplied | Byline: Dan Roissetter,"Community and Society,",ABC Goldfields WA,WA,Kalgoorlie,Year in Review 2014 ABC Goldfields Esperance Kalgoorlie Coolgardie Norseman Lake Ballard New,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/12/24/4154398-mediarss.xml, Some of the best photos and biggest stories from around the Goldfields-Esperance region in 2014 Thanks for reading listening and being part of our stories for 2014 From everyone at ABC Goldfields-Esperance have a safe and happy Christmas and New Year,"images/0003.png"
The stories and pictures of 2014 in the South West,http://www.abc.net.au/local/photos/2014/12/27/4154989.htm,27/12/2014,http://www.abc.net.au/reslib/201407/r1302732_17839915.jpg,The kids loved dressing up,Copyright: ABC | Source: ABC Local | Byline: SK,"Community and Society, Human Interest:People,",ABC South West WA,WA,Cowaramup,"southwest, year, pictures, gallery, 2014,",-33.85,115.0833,http://www.abc.net.au/local/photos/2014/12/27/4154989-mediarss.xml, News stories people and pictures of 2014 in the South West Also in January social media played a pivotal part in exposing what appeared to be a fraud involving home ultrasounds Shicara Linnett of Bunbury discovered that photos she believed were of her daughter were identical to other photos on the internet A woman was charged with making false and misleading representations over the matter In March as Belgian buglers visited Yarloop to play the last post The occasion honoured those who died defending Belgium at the Menin Gate on the way to Ypres There were several anniversaries throughout the region including 80 years of service by the Manjimup CWA in May Later in the year Northcliffe celebrated 90 years  Townsfolk brought out the finery for the traditional ball and dressed up for a parade down the main street on the following day In May Brunswick received the sad news that some processing at the historic Brunswick creamery would move to Perth and some people were made redundant Judy Talbot worked there in the 50s Just before Christmas a fire broke out at Nannup Timber Processing in the kiln heater which eventually destroyed kilns and infrastructure It may be the end of January before some dryers can be functional again and some workers may lose work In Mid-year probably the biggest event of 2014 was the Cowaramup attempt on the world record for the most number of people dressed as a cow in the one place There were smiles and laughter everywhere as 1352 black and white clad people were herded into the pen for the official count The world record was broken In August sightseers turned out when heavy rains flooded the Preston River  The flooding was evident in Donnybrook where orchards and bridges were inundated The following month the news that a convicted child sex offender was the father of a little girl born by surrogacy shocked the community Griffin Coal continued to struggle as parent company Lanco Infratech faced its own financial difficulty Problems surfaced again later in the year when Carna Civil terminated its contract with Griffin and removed machinery from the mine In October Vasse went to the polls following the resignation of Troy Buswell Liberal Libby Mettam replaced him A new staff member at Bunbury Police station attracted a lot of attention in April Geoffrey the police dog and his handler First Class Constable Jake Carruthers proved their worth even before taking up official duties That month there was also good news for the Babaie family who came to Australia from Iraq In 2013 the refugee family found a welcome in Collie and in April received the news that they would be granted a further bridging visa A year of art The artist year began with the South West survey the annual exhibition displaying the best from the region One of the loveliest images was Masked Owl by Kay Gibson In April CinefestOz announced a film prize of $100000 the biggest in Australia Joel Edgerton was one of the festival guests Sophie Armstrong of Balingup took out the Cine-snaps short film competition with Kinetic happiness In film Leslie Rouvray had a wonderful career as a makeup artist in film and television One of her specialities is making fake blood It even edible! The Leschenault Men Shed were busy making things for the community and at the same time providing a space for men to share talk and resolve The movement has gained ground in the South West with a new shed opening in Bunbury Finally enjoy some images of the reasons so many people love to live here the beaches the rivers and the forests,"images/0003.png"
In pictures: 2014 in the Kimberley,http://www.abc.net.au/local/photos/2014/12/16/4149962.htm,16/12/2014,http://www.abc.net.au/news/image/5895294-16x9-700x394.jpg,Broome man Adrian Dodson-Shaw with his New York marathon medal on November 16.,Copyright: Audience submitted | Source: | Byline: Supplied: Adrian Dodson-Shaw,"Arts and Entertainment:Photography, Community and Society:Regional,",ABC Kimberley WA,WA,Broome,2014 kimberley pictures photo photography broome Derby Halls Creek Fitzroy Crossing Kununurra,-17.957,122.2395,http://www.abc.net.au/local/photos/2014/12/16/4149962-mediarss.xml, The pictures that defined the spectacular Kimberley in 2014 Kununurra started the year with flooding that caused an estimated $5 million damage with around 20 homes inundated and water and sewerage infrastructure damaged Scott Loxley created an unusual site on Cable Beach riding a camel in a storm trooper costume to raise money for the Monash Children Hospital And Jimmy Chi shared his story of living with mental illness for the ABC Mental As project in support of Mental Health Week These were just some of the stories behind the Kimberley most powerful images of 2014,"images/0003.png"
The happy hermit: wishing you a very lonely Christmas,http://www.abc.net.au/local/photos/2014/12/19/4152435.htm,19/12/2014,http://www.abc.net.au/reslib/201412/r1370999_19339186.jpg,"Barry lives a simple life, squatting in an abandoned house in the West Kimberley. (15/12/14)",Copyright: ABC | Source: ABC Local | Byline: Ben Collins,"Lifestyle and Leisure:Lifestyle,",ABC Kimberley WA,WA,Waterbank,hermit christmas kimberley bush lonely barry broome,-17.7833,122.2333,http://www.abc.net.au/local/photos/2014/12/19/4152435-mediarss.xml, It is billed as a time to spend with family and friends but Barry lives a life of solitude in the Kimberley and this Christmas he looking forward to spending the day in the company of no one but himself Then veer off where a couple of wheel marks trail through the wattles As you come past the gnarled bloodwood you'll see a deserted old house; this is Barry home at least for now From the track the only clue that someone might live here is the unusual tidiness of what otherwise looks like a green fibro home being reclaimed by the encroaching woodland Around the back a four-wheel-drive parked in the carport surrounded by a meticulously raked dusty yard confirms that someone has set up camp But the apparently temporary nature of the makeshift kitchen and simple bed gives little clue that Barry has lived here alone in the Kimberley bush for over three years I've shared places lived in a share house but most of my time I'm just at my happiest I really am when I'm by myself he said For someone who readily accepts being described as a hermit Barry can be very sociable He chats enthusiastically as he makes a pot of herbal tea on a camping stove in his simple but immaculately tidy home I've always enjoyed being with people but there comes a time when I just want to go home and be by myself A life lived alone Growing up with four siblings in suburban Melbourne Barry sought out solitude from an early age He enjoyed the company of his friends and siblings but this paled in comparison to the joy he found in being truly alone Even as a kid when I used to hitchhike I'd hitchhike and walk out into the middle of nowhere and camp by myself he said Now 62 the comfort of isolation has become like the company of an old friend He is satisfied and content when he with his life partner of solitude Just the enjoyment that you get out of being absorbed in watching an insect or an animal or being a part of nature; that what I just love here he said To suggest to Barry that Christmas alone is in any way sad or undesirable is equivalent to telling a family man that Christmas with the kids is a drag His friendly and relaxed demeanour shifts for just a minute as he expresses his irritation with the commonly held attitude to the festive season It really annoys me when I hear people say that Christmas can be a lonely time I love being alone at Christmas I wouldn't want it any other way Having nothing having everything When most Australians will be tearing wrapping paper off the latest gadgets on Christmas morning Barry will be making a coffee with water from a plastic container while the dawn light shines through the holes in the corrugated iron roof Most of the holes are in the ridges so not much rain comes in he said It is part of Barry philosophy of minimal materialism that has evolved through his desire to be alone Rather than having to work to pay for life luxuries he'd rather do without and spend his time out bush It more important for me to have the time off than to make money Now as a self-funded retiree he spends his day listening to birds calling and the wind in the trees as he goes about his chores Without interruption he finds contentment in the contemplation of the qualities of simple activities If it sweeping the floor it well swept; if I'm making something it well made  I wasn't artistic in terms of drawing or painting things my art has always been what I do he said Squatting in the abandoned house in this lonely corner of the Kimberley Barry has found his perfect niche As long as he can quietly go about his simple life Christmas will be just a momentary thought before Barry attention is distracted by a gecko chasing a moth or a dollarbird croaking outside I'm very content just to be I well understand that we're all just passing through at this stage We all get the same amount of time on Earth basically he said Some people insist on buying and owning quite a big slab of it other people have nothing of it I enjoy all of it; that how it is for me,"images/0016.png"
Kalgoorlie's best Christmas lights displays,http://www.abc.net.au/local/photos/2014/12/22/4153246.htm,22/12/2014,http://www.abc.net.au/reslib/201412/r1371522_19350024.JPG,Mr Elf and Madison enjoy the snow in front of their Christmas lights display on Jarvis Street in Hannans.,Copyright: ABC | Source: ABC Goldfields | Byline: Rebecca Brewin,"Community and Society,",ABC Goldfields WA,WA,Kalgoorlie,Kalgoorlie Boulder Goldfields Christmas Lights Decorations Display Festive Season Best lights,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/12/22/4153246-mediarss.xml, A handful of some of the most festive Christmas lights displays in Kalgoorlie-Boulder Fake snow is a highlight at 9 Jarvis Place where a high-pitched elf and his helper will greet you with lollies Noel Clarke at Parry Way in Boulder has been dressing as Santa Claus to greet passersby for eight years He said he loved bringing some cheer to the faces of people stopping for a look Another notable display is on Lyall Street where tuning your car radio into the right frequency results in a well-executed synchronised lights and music show There are plenty more around town let us know where on Facebook,"images/0018.png"
Christmas lights up Bunbury,http://www.abc.net.au/local/photos/2014/12/19/4152540.htm,19/12/2014,http://www.abc.net.au/reslib/201412/r1370976_19338678.jpg,The treats start at the gingerbread house. The display raises money for cancer treatment,Copyright: ABC | Source: ABC Local | Byline: SK,"Human Interest:People, Community and Society:Religion and Beliefs:Christianity,",ABC South West WA,WA,Bunbury,"southwest, christmas, lights,",-33.3267,115.6347,http://www.abc.net.au/local/photos/2014/12/19/4152540-mediarss.xml, The best Christmas decorated street in Bunbury isn't the main street but Dunstan Street in South Bunbury where the residents turned their neighbourhood into a magnificent illumination Every year it seems that the display becomes bigger and better Every second house is lit it appears and a steady stream of cars drives round once the night sets in Another popular destination is in Forum Way Santa visits and hands out sweets and money is raised for cancer treatment Or if you're in Binningup you can enjoy the Herberts house Tom Coull chatted to Ronnie Herbert on South West Breakfast about how the display seems to grow every year Two favourite shots are the reindeer in Manjimup and the statue at Yallingup If you have photos of your town in Christmas dress up post them on our Facebook page at ABC South West  However you celebrate Christmas we hope you have as much fun and joy as showed on the faces of the children watching the Christmas lights,"images/0022.png"
Indigenous education: Bidyadanga's Frankie Shoveller celebrated for 25 years of service,http://www.abc.net.au/local/photos/2014/12/16/4149914.htm,16/12/2014,http://www.abc.net.au/reslib/201012/r683274_5070374.JPG,Frankie Shoveller has been celebrated for his 25 years of sevice to education across the West Kimberley. (file),Copyright: ABC | Source: ABC Local | Byline: Robert Mailer,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Education:Community Education,",ABC Kimberley WA,WA,Lagrange,frankie shoveller family band bidyadanga broome west Kimberley: Breakfast Aboriginal Indigenous education teacher teaching,-18.7,121.9833,http://www.abc.net.au/local/photos/2014/12/16/4149914-mediarss.xml, Frankie Shoveller is known throughout the West Kimberley for tireless contributions to music education and family Well all those schools that I've been to like Nulungu College Halls Creek District High School and also at Bidyadanga/La Grange I teach a lot of music and the kids all sort of like music he told Richard Dinnen on ABC Kimberley Local Radio Frankie is best known for his work at the Bidyadanga Aboriginal community south of Broome where he lives with his family who join together as the Family Shoveller Band  The band is a staple at camping grounds communities and music events across the West Kimberley For decades Mr Shoveller has used the power of music to bring people together build positive attitudes and teach a range of skills We've got a recording studio here at La Grange school and the kids come in here and I teach them a bit of stuff on the computers he said Positive change Mr Shoveller has announced the end of an era with his decision to retire from Bidyadanga La Grange Remote Community School ending a quarter-of-a-century of service with the Department of Education He said that through this time he has learnt as much from the kids and other teachers as he has been able to teach them It been a good learning experience for me right along the way right up to where I am now he said La Grange School Deputy Bronwyn Wright said Mr Shoveller has taught more than just music helping other teachers adapt to the remote community school By sharing his cultural and personal understandings about how to best cater for our students his input has been greatly valued by the colleagues he has worked alongside she said The Department of Education awarded Mr Shoveller a 25-years-of-service medal Despite it being such a big turning point in his life Mr Shoveller is philosophical about his plans to try his hand at being a tourism operator in the future There no harm in trying different things all the time you know Make it happen <iframe width=350 height=197 src=//wwwyoutubecom/embed/y3EQyERoNkU?rel=0 frameborder=0 allowfullscreen></iframe>,"images/0031.png"
WWI memorial plaque unearthed in Kalgoorlie backyard,http://www.abc.net.au/local/photos/2014/12/17/4150733.htm,17/12/2014,,,,"Community and Society:History:World War 1,",ABC Goldfields WA,WA,Kalgoorlie,WWI Kalgoorlie Dead Mans Penny Memorial Plaque Roy William Gogan,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/12/17/4150733-mediarss.xml, Kalgoorlie Police are searching for the family of a WWI soldier whose memorial plaque known as a dead man penny was found recently while gardening According to a WA Police social media post Gogan was killed in action in Belgium in 1917 His two brothers who also enlisted did not return either Gogan enlistment papers state the soldier was not married and his parents were listed as his next of kin The parents address on the papers was listed as Kanowna which was later crossed out and a Wilson Street address added History and archives development officer with the City of Kalgoorlie-Boulder Tim Moore said the plaques were once a family heirloom prized as highly as medals They were given to families of fallen soldiers after the end of the war along with a certificate from the King commiserating about their death and commending the soldier service to the country They were a lasting reminder of the sacrifice that the person made The Goldfields War Museum has seven dead man pennies in its collection Mr Moore said while many war artefacts had been lost over time their significance is starting to be recognised again with the Anzac Centenary and renewed interest in WWI Sometimes they go missing or disappear in the backs of cupboards it all depends on the family At that generation they were very important but then time goes by It only starting to peak again the importance of these things They were a family heirloom along with medals Kalgoorlie Police are keen to reunite the penny with family members of the Gogan if you have information that could assist call 9071 9777,"images/0031.png"
From Kalgoorlie to cruise ships: how one Goldfields dancer landed her dream job,http://www.abc.net.au/local/photos/2014/12/16/4149963.htm,16/12/2014,http://www.abc.net.au/reslib/201412/r1369510_19306797.JPG,"Rebecca Borromei began dancing in Kalgoorlie aged 3, in January she will debut as a cruise ship performer.",Copyright: ABC | Source: ABC Goldfields | Byline: Rebecca Brewin,"Arts and Entertainment:Dance,",ABC Goldfields WA,WA,Kalgoorlie,Rebecca Borromei Dance Dancer Dancing Kalgoorlie Boulder Goldfields Cruise Ship Performer,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/12/16/4149963-mediarss.xml, Rebecca Borromei love of dance began as a young child and next month the 19-year-old will begin a career performing on cruise ships around the world My parents enrolled me and my Mum tells me all the time that I since the first time I went she could tell I loved it by the look on my face Rebecca said I've been dancing ever since Rebecca will turn her passion into a career next month having landed a contract with a cruise ship entertainment act called Cameo Rascale The act contains dancing cabaret juggling comedy and circus My co-performer James and I will be doing this act on various cruise ships around the world We'll start on Australian cruises porting from Sydney and then hopefully from about May next year we will take it to Europe around the Mediterranean Rebecca did years of jazz tap ballet contemporary and some Highland dancing at the Katie Virgo Dance Academy in Kalgoorlie Moving to Perth to complete her studies at the Principal Academy of Dance where she danced 50 hours a week for two years Rebecca discovered career opportunities outside teaching It really opened my eyes up to all the opportunities out there in this industry because obviously coming from a small town you don't really hear or see much It will be good to do something for myself I can always come back to teaching which I absolutely love Rebecca has been to Europe once before and is looking forward to seeing more of Australia and then the rest of the world I had so many mixed emotions when it first happened as my family were still in Kalgoorlie so I didn't have them around me I was a bit nervous and stressed about the big changes it would bring But now I've had time to let it sink in and now I'm so excited because it what I've always wanted to do Doing what you love and getting to see the world it just a dream job for me,"images/0036.png"
